"correspondents_id","name_in_edition","Beginning of correspondence with Erasmus","End of the correspondence with Erasmus"
"accardo_mariano_viaf_90314047","Mariano ACCARDO [COE] // Mariano Accardo [CWE] // Accard, Marian [ALLEN]","1517-03-01","1517-04-01"
"adrianus_[corpus_era]_viaf_unknown","ADRIANUS [COE] // Adrian of Saint-Omer [CWE] // Adrian of St. Omer [ALLEN]","1501-09-01","1501-09-01"
"adrian_vi_ pope_ viaf_76430137","Pope ADRIAN VI [COE] // Adrian VI [CWE] // Adrian VI, Pope (Adrian of Utrecht) [ALLEN]","1522-08-01","1523-03-22"
"affenstein_ wolfgang_von_viaf_231943211","Wolfgang von AFFENSTEIN [COE] // Wolfgang von Affenstein [CWE] // Affenstein, Wolfgang von [ALLEN]","1526-12-28","1526-12-28"
"afinius_ henricus_viaf_220463086","Henricus AFINIUS [COE] // Henricus Afinius [CWE] // Afinius, Henricus [ALLEN]","1517-02-01","1518-03-13"
"aggaeus_augustinus_viaf_30349638","Augustijn AGGE [COE] // Augustinus Aggeus [CWE] // Agge, Augustinus (Aggeus) [ALLEN]","1517-01-10","1517-01-10"
"agricola_georg_viaf_100164815","Georgius AGRICOLA [COE] // Georgius Agricola [CWE] // Agricola, Georgius [ALLEN]","1531-08-29","1534-04-01"
"agricola_johann_viaf_72187518","Johannes AGRICOLA [COE] // Johannes Agricola [CWE] // Agricola, John [ALLEN]","1533-05-03","1533-05-03"
"agrippa_von_nettsheim_heinrich_cornelius_viaf_24596804","Henricus Cornelius AGRIPPA [COE] // Henricus Cornelius Agrippa [CWE] // Agrippa, Cornelius (von Nettesheim) [ALLEN]","1531-09-19","1533-04-21"
"aiazza_girolamo_viaf_unknown","Girolamo AIAZZA [COE] // Girolamo Aiazza [CWE] // Agathius, Jerome [ALLEN]","1528-08-05","1528-09-02"
"alardet_amblard_viaf_unknown","Amblard ALARDET [COE] // Amblard Alardet [CWE] // Alardet, Ambolard [ALLEN]","1527-10-18","1527-10-18"
"alardet_claude_louis_viaf_314873892","Claude-Louis ALARDET [COE] // Claude-Louis Alardet [CWE] // Alardet, Louis [ALLEN]","1527-08-03","1527-10-18"
"alardus_amstelredamus_viaf_85054604","ALAARD of Amsterdam [COE] // Alaard of Amsterdam [CWE] // Alard of Amsteram [ALLEN]","1516-07-01","1517-01-01"
"albert_of_brandenburg_archbischop_and_elector_of_mainz_cardinal_viaf_42631444","Albert of BRANDENBURG [COE] // Albert of Brandenburg [CWE] // Brandenburg, Albert of [ALLEN]","1517-09-13","1523-06-01"
"albon_antoine_de_viaf_304010662","Antoine d'ALBON [COE] // Antoine d'Albon [CWE] // Dalban, Antony [ALLEN]","1530-11-27","1531-04-01"
"alciati_andrea_viaf_51699991","Andrea ALCIATI [COE] // Andrea Alciati [CWE] // Alciati, Andrea [ALLEN]","1521-12-14","1531-03-31"
"aldrich_robert_viaf_14638314","Robert ALDRIDGE [COE] // Robert Aldridge [CWE] // Aldridge, Robert [ALLEN]","1525-12-25","1527-08-23"
"aleandro_girolamo_viaf_17319843","Girolamo ALEANDRO [COE] // Girolamo Aleandro [CWE] // Aleander, Jerome [ALLEN]","1512-02-20","1532-07-04"
"amelius_georg_viaf_57427674","Georgius AMELIUS [COE] // Georgius Amelius [CWE] // Amelius, Georgius [ALLEN]","1529-02-03","1529-02-03"
"amerbach_basilius_viaf_3283723","Basilius AMERBACH [COE] // Basilius Amerbach [CWE] // Amerbach, Basilius [ALLEN]","1521-05-30","1521-05-30"
"amerbach_bonifacius_viaf_34528701","Bonifacius AMERBACH [COE] // Bonifacius Amerbach [CWE] // Amerbach, Boniface [ALLEN]","1516-05-12","1536-02-14"
"amerbach_bruno_viaf_56641742","Bruno AMERBACH [COE] // Bruno Amerbach [CWE] // Amberbach, Bruno [ALLEN]","1515-05-01","1518-11-04"
"ammonius_jean_viaf_122081603","Johannes AMMONIUS [COE] // Johannes Ammonius [CWE] // Harcaneus, J. / Hérinnes, John of, [ALLEN]","1517-04-06","1517-04-06"
"ammonius_levinus_viaf_unknown","Levinus AMMONIUS [COE] // Levinus Ammonius [CWE] // Ammonius, Levinus (Livinus) [ALLEN]","1524-07-04","1533-06-09"
"andreis_franjo_trankvil_viaf_22294763","Tranquillus ANDRONICUS Parthenius [COE] // Tranquillus Andronicus Parthenius [CWE] // Andronicus, Tranquillus [ALLEN]","1519-06-28","1519-06-28"
"andrelini_publio_fausto_viaf_32016421","Fausto ANDRELINI [COE] // Fausto Andrelini [CWE] // Andrelini, Fausto [ALLEN]","1499-05-01","1500-11-20"
"angleberme_jean_pyrrhus_de_viaf_59228519","Jean Pyrrhus d'ANGLEBERME [COE] // Jean Pyrrhus d'Angleberme [CWE] // Angleberme, John Phyrus d' [ALLEN]","1517-11-30","1517-11-30"
"angleberme_pierre_de_viaf_unknown","Pierre d'ANGLEBERME [COE] // Pierre d'Angleberme [CWE] // Angleberme, Peter d' [ALLEN]","1500-12-13","1500-12-13"
"angst_wolfgang_viaf_107637903","Wolfgang ANGST [COE] // Wolfgang Angst [CWE] // Angst, Wolfgang [ALLEN]","1515-10-19","1517-08-24"
"anshelm_thomas_viaf_100386946","Thomas ANSHELM [COE] // Thomas Anshelm [CWE] // Anshelm, Thomas [ALLEN]","1516-04-01","1516-04-01"
"antonin_jan_viaf_300229095","Jan ANTONIN [COE] // Jan Antonin [CWE] // John Antoninus [ALLEN]","1525-08-28","1536-08-09"
"antonius_of_luxembourg_viaf_unknown","ANTONIUS of Luxembourg [COE] // Antonius of Luxembourg [CWE] // Luxemburg, Antony of [ALLEN]","1500-12-11","1518-03-05"
"anton_gurk_bischof_viaf_80560287","Antonio HOYOS de Salamanca [COE] // Antonio Hoyos de Salamanca [CWE] // Salamanca, Antonius of [ALLEN]","1529-02-06","1529-03-10"
"an_unsuccessful_candidate_for_the_latin_chair_viaf_unknown","[An Unsuccessful Candidate for the Latin Chair] [COE] // An Unsuccessful Candidate for the Latin Chair [CWE]","1519-12-07","1519-12-07"
"apocellus_jacobus_viaf_unknown","Jacobus APOCELLUS [COE] // Jacobus Apocellus [CWE] // Apocellus [ALLEN]","1525-10-09","1525-10-09"
"armagnac_georges_de_viaf_59219003","Georges d'ARMAGNAC [COE] // Georges d'Armagnac [CWE] // Armagnac, Georges d' [ALLEN]","1531-11-19","1531-11-19"
"arsenios_archbischop_of_monemvasia_viaf_24636751","Arsenius APOSTOLIUS [COE] // Arsenius Apostolius [CWE] // not included in the ALLEN corpus]","1521-08-31","1521-08-31"
"artolf_hieronymus_viaf_unknown","Hieronymus ARTOLF [COE] // Hieronymus Artolf [CWE] // Artolbius, Hieronymus of Chur (Rhetus, Rethus) [ALLEN]","1528-07-22","1528-07-22"
"assendelft_gerrit_van_viaf_285766245","Gerrit van ASSENDELFT [COE] // Gerrit van Assendelft [CWE] // Assendelft, Gerard of [ALLEN]","1532-10-29","1532-10-29"
"auerbach_heinrich_viaf_69872391","Heinrich STROMER [COE] // Heinrich Stromer [CWE] // Stromer, Henry [ALLEN]","1517-04-30","1525-04-08"
"aychlerus_stanislaus_viaf_10659193","Stanislaw AICHLER [COE] // Stanislaw Aichler [CWE] // Aychler, Stanislas [ALLEN]","1531-09-19","1532-09-09"
"aytta_bernhard_bucho_van_viaf_unknown","Bernard Bucho van AYTTA [COE] // Bernard Bucho van Aytta [CWE] // Bucho, Bernard [ALLEN]","1521-09-24","1521-09-24"
"aytta_wigle_van_viaf_56619243","Viglius ZUICHEMUS [COE] // Viglius Zuichemus [CWE] // Zuichemus, Viglius [ALLEN]","1529-02-15","1536-04-15"
"a_friend_viaf_unknown","[A Friend] [COE] // A Friend [CWE] // Friend, A [ALLEN]","1489-01-01","1522-02-09"
"a_monk_viaf_unknown","[A Monk] [COE] // A Monk [CWE] // A Monk [ALLEN]","1527-10-15","1527-10-15"
"a_physician_viaf_unknown","[A Physician] [COE] // A Physician [CWE] // A Physician [ALLEN]","1500-09-10","1500-09-10"
"baarland_adriaan_van_viaf_19701114","Adrianus Cornelii BARLANDUS [COE] // Adrianus Cornelii Barlandus [CWE] // Barland, Adr. [ALLEN]","1517-01-01","1528-08-14"
"babham_john_viaf_unknown","John BABHAM [COE] // John Babham [CWE] // Babham, John [ALLEN]","1512-04-12","1512-04-12"
"bachuus_gerard_viaf_unknown","Gerard BACHUUS [COE] // Gerard Bachuus [CWE] // Bacchusius [ALLEN]","1522-05-27","1522-05-27"
"badius_josse_viaf_44352439","Josse BADE [COE] // Josse Bade [CWE] // Bade, Josse [ALLEN]","1505-03-07","1518-04-17"
"baer_ludwig_viaf_57525097","Ludwig BAER [COE] // Ludwig Baer [CWE] // Ber, Louis [ALLEN]","1516-11-12","1535-09-21"
"baïf_lazare_de_viaf_12351164","Lazare de BAÏF [COE] // Lazare de Baïf [CWE] // Baif, Lazarus [ALLEN]","1528-03-01","1531-03-13"
"baldung_hieronymus_pius_viaf_18035013","Pius Hieronymus BALDUNG [COE] // Pius Hieronymus Baldung [CWE] // Baldung, Jerome [ALLEN]","1516-04-24","1516-04-24"
"balthasar_konstanz_bischof_viaf_42723378","Balthasar MERKLIN [COE] // Balthasar Merklin [CWE] // Mercklin, Balthasar [ALLEN]","1529-03-15","1530-03-15"
"bannicius_jacobus_viaf_72207021","Jacopo BANNISIO [COE] // Jacopo Bannisio [CWE] // Banisius, Jacobus [ALLEN]","1517-11-03","1519-05-21"
"barbier_nicolas_viaf_unknown","Nicolas BARBIER [COE] // Nicolas Barbier [CWE] // Barbirius, Nicolaus [ALLEN]","1517-07-24","1517-07-24"
"barbier_pierre_viaf_unknown","Pierre BARBIER [COE] // Pierre Barbier [CWE] // Barbirius, Petrus (Barbier) [ALLEN]","1516-07-18","1533-07-09"
"barlandus_hubertus_viaf_9990971","Hubertus BARLANDUS [COE] // Hubertus Barlandus [CWE] // Barland, Hubert of [ALLEN]","1528-12-30","1529-06-08"
"bartolini_lorenzo_di_bartolomeo_viaf_38444988","Lorenzo BARTOLINI Salimbeni [COE] // Lorenzo Bartolini [CWE] // Bartolini, Lorenzo [ALLEN]","1521-03-01","1521-03-01"
"bartolini_riccardo_viaf_15583224","Riccardo BARTOLINI [COE] // Riccardo Bartolini [CWE] // Bartholinus, Richardus [ALLEN]","1517-03-01","1517-03-10"
"basellius_nikolaus_viaf_30349975","Nicolaus BASELLIUS [COE] // Nikolaus Basellius [CWE] // Basell, Nicholas [ALLEN]","1516-02-01","1516-02-01"
"basel_town_council_of_viaf_not_applicable","[Town Council of Basel] [COE] // The Town Council of Basel [CWE] // Basle Town Council [ALLEN]","1523-11-01","1525-10-01"
"bathodius_lukas_der_ältere_viaf_825429","Lucas BATHODIUS [COE] // Lucas Bathodius [CWE] // Bathodius, Lucas [ALLEN]","1525-10-01","1525-10-01"
"batt_cornelis_viaf_unknown","Cornelis BATT [COE] // Cornelis Batt [CWE] // Batt, Cornelius [ALLEN]","1517-04-22","1518-04-29"
"batt_jacob_viaf_291974564","Jacob BATT [COE] // Jacob Batt [CWE] // Batt, James [ALLEN]","1495-01-01","1501-08-01"
"baumgärtner_david_viaf_38023220","David PAUMGARTNER [COE] // David Paumgartner [CWE] // Paungartner, David [ALLEN]","1535-02-13","1535-02-13"
"bebel_heinrich_viaf_24719906","Heinrich BEBEL [COE] // Heinrich Bebel [CWE] // Bebel, Henry [ALLEN]","1515-01-20","1515-01-20"
"bechyně_petr_viaf_unknown","Petr BECHYNĚ [COE] // Petr Bechyně [CWE] // Bechinius, Peter [ALLEN]","1535-06-24","1535-06-24"
"becker_jan_viaf_unknown","Jan BECKER [COE] // Jan Becker of Borsele [CWE] // Becar, John, of Borsselen [ALLEN]","1514-04-19","1528-03-25"
"béda_noël_viaf_54135945","Noël BÉDA [COE] // Noël Béda [CWE] // Beda, Natalis (Bédier) [ALLEN]","1525-04-28","1527-11-16"
"bedyll_thomas_viaf_unknown","Thomas BEDYLL [COE] // Thomas Bedyll [CWE] // Bedill, Thomas [ALLEN]","1516-02-10","1535-09-14"
"beere_richard_viaf_32827049","Richard BERE [COE] // Richard Bere [CWE] // Bere, Richard [ALLEN]","1524-09-04","1524-09-04"
"bembo_pietro_viaf_54144140","Pietro BEMBO [COE] // Pietro Bembo [CWE] // Bembo, Pietro [ALLEN]","1529-02-22","1535-06-20"
"bensrott_nikolaus_viaf_unknown","Nikolaus BENSROTT [COE] // Nikolas Bensrott [CWE] // Bensrott, Nicholas [ALLEN]","1501-07-17","1501-07-18"
"béraud_nicolas_viaf_9955323","Nicolas BÉRAULT [COE] // Nicolas Bérault [CWE] // Beraldus, Nicolaus (Bérault) [ALLEN]","1519-03-16","1536-01-24"
"bercin_antoine_viaf_unknown","Antoine BERCIN [COE] // Antoine Bercin [CWE] // Bercin, Anthony [ALLEN]","1529-04-01","1529-04-12"
"bergen_antoon_(1)_van_viaf_unknown","Antoon (I) van BERGEN [COE] // Antoon van Bergen [CWE] // Bergen, Antony of, senior [ALLEN]","1501-01-14","1518-01-14"
"bergen_antoon_(3)_van_viaf_unknown","Antoon (III) van BERGEN [COE] // Antoon, son of Jan van Bergen [CWE] // Bergen, Antony of, junior [ALLEN]","1518-01-13","1519-05-20"
"bergen_jan_(3)_van_viaf_unknown","Jan (III) van BERGEN [COE] // Jan van Bergen [CWE] // Bergen, John of [ALLEN]","1517-12-12","1517-12-12"
"berquin_louis_de_viaf_61541805","Louis de BERQUIN [COE] // Louis de Berquin [CWE] // Berquin, Louis de [ALLEN]","1525-08-25","1528-12-23"
"berselius_paschasius_viaf_unknown","Paschasius BERSELIUS [COE] // Paschasius Berselius [CWE] // Berselius, Paschasius [ALLEN]","1517-09-17","1520-03-08"
"bertulphus_hilarius_viaf_208867782","Hilarius BERTHOLF [COE] // Hilarius Bertholf [CWE] // Bertulphus, Hilarius [ALLEN]","1526-05-16","1531-12-10"
"besançon_senate_of_viaf_not_applicable","[not included in COE] // Senate of Besançon [CWE] // Besançon, Senate of [ALLEN]","1531-07-26","1533-03-12"
"beyer_christian_viaf_42894682","Christian BEYER [COE] // Christian Beyer // Bayer, Christian (Bowarius) [ALLEN]","1532-02-18","1532-02-18"
"beyming_heinrich_viaf_unknown","Heinrich BEYMING [COE] // Heinrich Beyming [CWE] // Bemyng, Henry [ALLEN]","1518-10-17","1518-10-17"
"bibaucus_guilielmus_viaf_74763357","Willem BIBAUT [COE] // Willem Bibaut [CWE] // Bibaucius, William [ALLEN]","1526-04-07","1526-04-07"
"biétry_thiébaut_viaf_unknown","Thiébaut BIÉTRY [COE] // Thiébaut Biétry [CWE] // Bietricius, Theobaldus [ALLEN]","1523-10-01","1526-10-11"
"bijl_jan_viaf_unknown","Jan BIJL [COE] // Jan Bijl [CWE] // John of Louvain [ALLEN]","1518-01-02","1518-01-02"
"blarer_thomas_viaf_50052742","Thomas BLARER [COE] // Thomas Blarer [CWE] // Blaurer, Thomas [ALLEN]","1523-11-17","1523-11-17"
"blount_charles_v_baron_de_mountjoy_viaf_188706808","Charles BLOUNT [COE] // Charles Blount [CWE] // Mountjoy, Baron (Charles Blount) [ALLEN]","1528-08-13","1536-02-09"
"blount_william_viaf_212831990","William BLOUNT [COE] // William Blount, Lord Mountjoy [CWE] // Mountjoy, Baron (William Blount) [ALLEN]","1498-11-01","1531-03-18"
"boece_hector_viaf_17337454","Hector BOECE [COE] // Hector Boece [CWE] // Boece, Hector [ALLEN]","1495-11-08","1530-03-15"
"boerio_bernardo_viaf_unknown","Bernardo BOERIO [COE] // Bernardo Boerio [CWE] // Boerio, Bernard [ALLEN]","1530-01-13","1531-04-11"
"boerio_giovanni_battista_viaf_unknown","Giovanni Battista BOERIO [COE] // Giovanni Battista Boerio [CWE] // Boerio, John Baptista [ALLEN]","1512-11-11","1512-11-11"
"boerio_giovanni_viaf_unknown","Giovanni BOERIO [COE] // Giovanni Boerio [CWE] // Boerio, John [ALLEN]","1530-01-13","1530-01-13"
"bogbinder_hans_viaf_unknown","Hans BOGBINDER [COE] // Hans Bogbinder [CWE] // Bibliopegus, Joannes (Danus) [ALLEN]","1527-10-07","1527-10-07"
"boleyn_thomas_viaf_28246375","Thomas BOLEYN [COE] // Thomas Boleyn [CWE] // Boleyn, Thomas [ALLEN]","1530-02-01","1533-12-01"
"bollart_willem_viaf_unknown","Willem BOLLART [COE] // Willem Bollart [CWE] // Bollart, William [ALLEN]","1517-09-16","1517-11-20"
"bombace_paolo_viaf_69786324","Paolo BOMBACE [COE] // Paolo Bombace [CWE] // Bombasius, Paulus (Bombace Paolo) [ALLEN]","1508-04-06","1525-10-09"
"boner_jan_viaf_163357497","Jan BONER [COE] // Jan Boner [CWE] // Boner, Jan [ALLEN]","1531-09-20","1532-09-09"
"boner_seweryn_viaf_23296558","Seweryn BONER [COE] // Seweryn Boner [CWE] // Boner, Severinus [ALLEN]","1531-09-01","1535-04-12"
"boner_stanislaw_viaf_163161362","Stanislaw BONER [COE] // Stanislaw Boner [CWE] // Boner, Stanislas [ALLEN]","1531-12-12","1531-12-12"
"bonfiglio_luca_viaf_43031726","Luca BONFIGLIO [COE] // Luca Bonfiglio [CWE] // Bonfius, Lucas [ALLEN]","1530-07-09","1530-07-09"
"bonvalot_françois_viaf_unknown","François BONVALOT [COE] // François Bonvalot [CWE] // Bonvalot, François [ALLEN]","1529-04-01","1536-05-17"
