"recipient_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"007b1451-07a0-4a17-b430-58a8bee94202","Georgius LOXANUS [COE] // Georgius Loxanus [CWE] // Loxanus, George [ALLEN]","1534-01-01","1534-01-01"
"00dc7284-3fae-4578-8278-ab0aff03a50a","Luis Núñez CORONEL [COE] // Luis Núñez Coronel [CWE] // Coronel, Luis [ALLEN]","1522-04-21","1522-04-21"
"0142569f-c057-49ed-bb82-5dfc953675b2","Willem BOLLART [COE] // Willem Bollart [CWE] // Bollart, William [ALLEN]","1517-09-16","1517-11-20"
"0235d3d2-1490-4a5d-bc9b-32b82ace7456","Adolf van der NOOT [COE] // Adolf van der Noot [CWE] // Vander Noot, Adolphus [ALLEN]","1536-05-29","1536-05-29"
"03f9ed99-60ea-44e2-af17-f1e97fc3c2ba","Vincent CORNELISSEN van Mierop [COE] // Vincent Cornelissen van Mierop [CWE] // Cornelissen, Vincent [ALLEN]","1533-06-12","1534-04-23"
"05c68323-6534-4612-9718-fd5e0c3808f9","[A Patron] [COE] // A Patron, perhaps in The Hague [CWE] // ? [ALLEN]","1520-12-01","1520-12-01"
"06e48a89-e03a-4ca9-8935-109c6c6a1fb5","MARGARET of Angoulême [COE] // Margaret of Angoulême [CWE] // Margaret of Valois [ALLEN]","1525-09-28","1527-08-13"
"06f95c0a-b750-4fbf-8dbc-2b767b34c096","Anna van BORSSELE [COE] // Anna van Borssele [CWE] // Veere, Anna, Lady of [ALLEN]","1501-01-27","1501-01-27"
"08c73995-cef1-4e39-98e8-7aa61b03a43f","Jacopo CANTA [COE] // Jacopo Canta [CWE] // Canta, James [ALLEN]","1532-03-01","1532-03-01"
"0a64ec99-aab1-41c1-ae1a-0aeea806429e","Alonso MANRIQUE de Lara [COE] // Alonso Manrique de Lara [CWE] // Manrique, Alonso [ALLEN]","1527-08-26","1530-03-31"
"0aa0cbad-e837-452d-8214-8742bb4dc70b","Lazarus a PARENTIBUS [COE] // Lazarus a Parentibus [CWE] // Parentibus, Lazarus a [ALLEN]","1527-05-11","1527-05-11"
"0b477328-56bc-47b5-ac8d-2ba1355ed4c4","Bernard Bucho van AYTTA [COE] // Bernard Bucho van Aytta [CWE] // Bucho, Bernard [ALLEN]","1521-09-24","1521-09-24"
"0bdfbc4c-1c63-4dc4-9506-4db786b3df99","Maximiliaan van HORN [COE] // Maximiliaan van Horn [CWE] // Hornes, Maximilian of [ALLEN]","1521-05-31","1521-05-31"
"0c46141f-93bb-487f-b40c-5e27986aeee7","Jacob CANTER [COE] // Jacob Canter [CWE] // Canter, James [ALLEN]","1489-11-01","1489-11-01"
"0c6622ba-5318-4c10-bc59-42dd9007b40a","Christopher URSWICK [COE] // Christopher Urswick [CWE] // Urswick, Christopher [ALLEN]","1506-06-01","1516-06-05"
"0c903d0a-2dd7-4df0-b528-ae5801a0adb9","Antoon (I) van BERGEN [COE] // Antoon van Bergen [CWE] // Bergen, Antony of, senior [ALLEN]","1501-01-14","1518-01-14"
"0ca5ee6b-278e-4d35-a0ab-68f98a65a789","Jean LALEMAND [COE] // Jean Lalemand [CWE] // Lallemand, Jean [ALLEN]","1525-02-24","1525-02-24"
"0cd708c9-5619-46da-b5c7-c7fc7f66c835","John, elector of SAXONY [COE] // Duke John of Saxony [CWE] // John of Saxony [ALLEN]","1526-03-02","1526-03-02"
"0d5c3d9c-c42a-4cdd-96e5-38633716c32d","[Faculty of Theology at Paris] [COE] // The Faculty of Theology of Paris [CWE] // Paris Theologians [ALLEN]","1526-02-06","1527-11-12"
"0f0ebd37-0f93-4645-a73a-3c9be94677ef","[Theologians of Louvain] [COE] // The Theologians of Louvain [CWE] // Louvain, Theologians [ALLEN]","1521-06-01","1525-09-06"
"0fd75b3e-57a7-4fe3-b04f-ca68500e764a","Jan van WINCKELE [COE] // Jan van Winckele [CWE] // Jan van Winckele [ALLEN]","1519-10-01","1519-10-01"
"10427a78-3d92-4ab3-b6c0-dbfdfef56aee","Hieronymus FROBEN [COE] // Hieronymus Froben [CWE] // Froben, Hieronymus [ALLEN]","1521-08-14","1530-12-15"
"1052d303-becb-4853-a277-f166b6abb923","Floris van EGMOND [COE] // Floris van Egmond [CWE] // Egmont, Florentius of (Egmondanus, Florentinus) [ALLEN]","1519-10-02","1519-10-02"
"1056ebe4-a8ec-405c-b6ec-bfb08aa77288","Felipe NICOLA [COE] // Felipe Nicola [CWE] // Nicola, Philip [ALLEN]","1526-04-29","1526-04-29"
"112cc39a-f02b-4994-845f-0c7681dc4f29","Jacobus THEODERICI [COE] // Jacobus Theodorici of Hoorn [CWE] // Theodorici, J. of Hoorn [ALLEN]","1519-04-17","1519-04-17"
"11c32760-97fe-4d23-9326-e54c54ba625c","Daniël TAYSPIL [COE] // Daniël Tayspil [CWE] // Tayspil, Daniel [ALLEN]","1521-07-05","1521-07-05"
"12013642-804a-46f6-8a75-33e60b495401","Felix TROPHINUS [COE] // Felix Trophinus [CWE] // Trophinus, Felix [ALLEN]","1525-05-13","1525-05-13"
"149bf71a-530d-4e97-aa6c-b021ef871a27","Thomas HALSEY [COE] // Thomas Halsey [CWE] // Halsey, Thomas [ALLEN]","1512-02-08","1512-02-08"
"15602199-6bbe-4300-a70e-fb4b77b3d99c","Martin HUNE [COE] // Martin Hune [CWE] // Hune, Martin [ALLEN]","1524-07-03","1526-06-06"
"15ea8ccf-b26d-4884-a523-1faa753fa5a1","David PAUMGARTNER [COE] // David Paumgartner [CWE] // Paungartner, David [ALLEN]","1535-02-13","1535-02-13"
"1646bd57-ed82-4a33-bbea-da1139218274","Lorenzo BARTOLINI Salimbeni [COE] // Lorenzo Bartolini [CWE] // Bartolini, Lorenzo [ALLEN]","1521-03-01","1521-03-01"
"16addb5e-74b8-4418-b9e4-5a5103bd5731","Jan (I) SUCKET [COE] // Jan Sucket [CWE] // Sucquet, John [ALLEN]","1525-02-01","1525-02-01"
"17414ef1-be4c-4c45-ae1c-fd7454222cf5","Amblard ALARDET [COE] // Amblard Alardet [CWE] // Alardet, Ambolard [ALLEN]","1527-10-18","1527-10-18"
"1751ceec-3e10-4ceb-aba2-0feb64c48e5a","Joost van der NOOT [COE] // Joost van der Noot [CWE] // Vander Noot, Jodocus [ALLEN]","1520-01-07","1520-01-07"
