"sender_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"3bac408c-12d2-4a66-a566-c5f8d048c1c2","Aonio PALEARIO [COE] // not included in CWE // not included in ALLEN","1534-12-05","1534-12-05"
"0f1d8faa-dd28-4b15-8fa6-bf747560fb1c","Philipp ENGELBRECHT [COE] // Philipp Engelbrecht [CWE] // Engelbrecht, Philip (Engentinus, Philippus) [ALLEN]","1520-05-24","1520-05-24"
"3fe2dd32-36f1-40e7-896f-64ba2d25bcc9","Georg SCHIRN [COE] // Georg Schirn [CWE] // Schirn, George [ALLEN]","1520-09-10","1520-09-10"
"ab2c289d-79f7-4f1c-992f-7ea1afb6fa1f","Basilius AMERBACH [COE] // Basilius Amerbach [CWE] // Amerbach, Basilius [ALLEN]","1521-05-30","1521-05-30"
"5473f315-77da-4b76-9d54-9493de118054","Arsenius APOSTOLIUS [COE] // Arsenius Apostolius [CWE] // not included in ALLEN","1521-08-31","1521-08-31"
"6914dc8d-6f89-4a11-96d6-cf2b24e5615c","William TATE [COE] // William Tate [CWE] // Tate, William [ALLEN]","1521-12-04","1521-12-04"
"8defe3cc-a123-4f0d-9ba5-09267e4d6809","Battista CASALI [COE] // Battista Casali [CWE] // Casalius, Baptista [ALLEN]","1522-04-02","1522-04-02"
"5fc7b5ba-15e5-4b6c-a90d-14ecb734b9ea","Leonhard MÜLLER [COE] // Leonhard Müller [CWE] // Muller, Leonard [ALLEN]","1522-05-07","1522-05-07"
"38695a47-fe76-4441-94e5-119c8c2c06c4","Gerard BACHUUS [COE] // Gerard Bachuus [CWE] // Bacchusius [ALLEN]","1522-05-27","1522-05-27"
"9bff044e-f4cb-405b-8084-616d634ca030","Johannes GALLINARIUS [COE] // Johannes Gallinarius [CWE] // Gallinarius, Joannes [ALLEN]","1522-08-15","1522-08-15"
"6a49315c-d60d-4bdf-b0cd-1a1c7daa3394","Jan STERCKE [COE] // Jan Stercke [CWE] // Stercke, J. [ALLEN]","1522-11-24","1522-11-24"
"6e75d4d4-b66f-4221-a4c6-728e5862c253","Claude LE MARLET [COE] // Claude Le Marlet [CWE] // Morelet du Museau, Claude [ALLEN]","1523-03-01","1523-03-01"
"3839275e-ba66-4c75-b156-d2fd1fb8fc74","Bartolomeo VILLANI [COE] // Bartolomeo Villani [CWE] // Villanus, Bortholomeus [ALLEN]","1523-07-03","1523-07-03"
"f2d4ab7f-2198-4386-94e9-ca7e4638243c","Thomas BLARER [COE] // Thomas Blarer [CWE] // Blaurer, Thomas [ALLEN]","1523-11-17","1523-11-17"
"234c3605-b18b-40b1-b3d0-2a921bb9df2f","Jean LANGE [COE] // Jean Lange [CWE] // Angelus, John [ALLEN]","1524-01-01","1524-01-01"
"dd3ea504-4cca-4c6a-a051-93ded58f3b9f","Philibert de LUCINGE [COE] // Philibert de Lucinge [CWE] // Lucinges, Philibert of [ALLEN]","1524-01-20","1524-01-20"
"ff26220a-617a-494e-8b55-6a2d10e0efc8","Johann HANER [COE] // Johann Haner [CWE] // Haner, John [ALLEN]","1524-02-17","1524-02-17"
"09191beb-c405-4c19-afe3-efc0459c1c9a","Kilian PRAUS [COE] // Kilian Praus [CWE] // Chilianus, Clemens (Praüs) [ALLEN]","1524-05-27","1524-05-27"
"62272faa-e848-4077-9cbb-0cf6d7cf2468","Pieter de CORTE [COE] // Pieter de Corte [CWE] // Curtius, P. [ALLEN]","1525-01-21","1525-01-21"
"2664f782-3e78-47fb-b52f-1a50251f5f03","Lucas BATHODIUS [COE] // Lucas Bathodius [CWE] // Bathodius, Lucas [ALLEN]","1525-10-01","1525-10-01"
"1f577ff6-42b7-433c-86c9-75ae360d61ed","Johann Matthäus SCHAD [COE] // Johann Matthäus Schad [CWE] // Schad, Matthew [ALLEN]","1525-11-19","1525-11-19"
"0646adba-87ac-490b-b45b-aa9828bd5c9a","Matthias PISTOR [COE] // Matthias Pistor [CWE] // Pistor, Mathias [ALLEN]","1526-01-01","1526-01-01"
"4fc15ea9-5286-47c1-a687-91ce96547c29","Jacobus FABER [COE] // Jacob Faber [CWE] // Faber, J., of Deventer [ALLEN]","1503-07-09","1503-07-09"
"9931b683-2365-4892-8c3f-9b467a93bc3d","Justus DIEMUS [COE] // Justus Diemus [CWE] // Diemus, Justus [ALLEN]","1526-10-22","1526-10-22"
"5b39e0da-fbc0-467e-a65b-901353f35879","Wolfgang von AFFENSTEIN [COE] // Wolfgang von Affenstein [CWE] // Affenstein, Wolfgang von [ALLEN]","1526-12-28","1526-12-28"
"369e5f37-97da-4a79-b414-f957856f72ed","Jacobus SOBIUS [COE] // Jacobus Sobius [CWE] // Sobius, Jacobus [Sobbe] [ALLEN]","1526-12-28","1526-12-28"
