"Correspondent","name_in_edition","Beginning of the correspondence","End of the correspondence"
"010c346f-88f4-485a-ba7f-fefe691d42b9","John WATSON [COE] // John Watson [CWE] // Watson, John [ALLEN]","1516-08-13","1517-04-01"
"0216328b-ac6c-4f90-bbca-75da6e336f6d","Otto BRUNFELS [COE] // Otto von Brunfels [CWE] // Brunfels, Otho [ALLEN]","1523-12-01","1525-09-01"
"036eacb5-6f53-4ecf-8cf4-128173fb022a","Christoph von STADION [COE] // Christoph von Stadion [CWE] // Stadion, Christoph von [ALLEN]","1528-08-26","1535-11-27"
"048e0147-58cf-45e5-8312-f52998ca0ee4","Hieronymus EMSER [COE] // Hieronymus Emser [CWE] // Emser, Hieronymus [ALLEN]","1517-03-15","1527-12-29"
"05e04600-4dc6-4755-a00c-a62a348647e0","Willem HERMANS [COE] // Willem Hermans [CWE] // Herman, William [ALLEN]","1493-01-01","1503-09-27"
"07190f7e-4013-46ce-b85e-0ed68362c0b8","Wolfgang ANGST [COE] // Wolfgang Angst [CWE] // Angst, Wolfgang [ALLEN]","1515-10-19","1517-08-24"
"075e0070-ef23-438d-87ca-00e333653086","Johannes SAPIDUS [COE] // Johannes Sapidus [CWE] // Sapidus, Joannes (Witz) [ALLEN]","1515-01-31","1521-12-30"
"07b5c6de-a62a-43de-8a14-77715805617e","Stanislaus THURZO [COE] // Stanislaus Thurzo [CWE] // Turzo, Stanislas [ALLEN]","1521-11-20","1532-08-08"
"07f829e7-d396-4363-bd82-900d30d00ebd","Wilhelm NESEN [COE] // Wilhelm Nesen [CWE] // Nesen, Wilhelm [ALLEN]","1515-04-17","1519-03-21"
"092caa16-2b04-4fb8-b132-a236074b2b2c","Edward LEE [COE] // Edward Lee [CWE] // Lee, Edward [ALLEN]","1518-01-01","1520-02-01"
"0d9180cf-ba7f-4ae9-a184-40f159fc4d53","Thomas BOLEYN [COE] // Thomas Boleyn [CWE] // Boleyn, Thomas [ALLEN]","1530-02-01","1533-12-01"
"0e4e8fa7-0b57-4eee-a00c-72589f5f2a22","Jan (II) ŁASKI [COE] // Jan (II) Łaski [CWE] // Lasky, John, The Reformer [ALLEN]","1526-03-08","1534-03-05"
"0ec03581-0e29-4e21-88cd-139033fd0f9e","BEATUS Rhenanus [COE] // Beatus Rhenanus [CWE] // Beatus Rhenanus (Beat Bild) [ALLEN]","1515-04-13","1528-02-03"
"0f7bc43b-c60d-4261-a19a-e1e559dc8873","Cuthbert TUNSTALL [COE] // Cuthbert Tunstall [CWE] // Tunstall, Cuthbert [ALLEN]","1517-04-22","1530-01-31"
"10117a4a-fafc-49e2-8a08-af0206b28af5","Ludwig BAER [COE] // Ludwig Baer [CWE] // Ber, Louis [ALLEN]","1516-11-12","1535-09-21"
