"letters_id","sender_id","recipient_id","send_date_computable1","source_loc_id","SourceLAT","SourceLNG","target_loc_id","TargetLAT","TargetLNG"
"era_allen_2357","melanchthon_philipp_viaf_76319978","erasmus_desiderius_viaf_95982394","1530-08-01","augsburg_DE_gid_2954172","48.37154","10.89851","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2360","vlatten_johann_von_viaf_192938582","erasmus_desiderius_viaf_95982394","1530-08-09","augsburg_DE_gid_2954172","48.37154","10.89851","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2364","schetz_erasmus_viaf_101339450","erasmus_desiderius_viaf_95982394","1530-08-13","antwerpen_BE_gid_2803138","51.21989","4.40346","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2369","goclenius_conrad_viaf_100370860","erasmus_desiderius_viaf_95982394","1530-08-28","leuven_BE_gid_2792482","50.87959","4.70093","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2372","amerbach_bonifacius_viaf_34528701","erasmus_desiderius_viaf_95982394","1530-08-31","basel_CH_gid_2661604","47.5584","7.57327","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2373","sucket_karel_viaf_unknown","erasmus_desiderius_viaf_95982394","1530-08-31","bourges_FR_gid_3031005","47.08333","2.4","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2374","fabri_johann_viaf_73844870","erasmus_desiderius_viaf_95982394","1530-09-01","augsburg_DE_gid_2954172","48.37154","10.89851","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2384","koler_johann_viaf_84557599","erasmus_desiderius_viaf_95982394","1530-09-10","augsburg_DE_gid_2954172","48.37154","10.89851","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2385","sadoleto_jacopo_viaf_76326881","erasmus_desiderius_viaf_95982394","1530-09-17","carpentras_FR_gid_3028542","44.05","5.05","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2386","vlatten_johann_von_viaf_192938582","erasmus_desiderius_viaf_95982394","1530-09-17","augsburg_DE_gid_2954172","48.37154","10.89851","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2387","eck_johann_viaf_100185986","erasmus_desiderius_viaf_95982394","1530-09-18","augsburg_DE_gid_2954172","48.37154","10.89851","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2388","du_chastel_pierre_viaf_46920623","erasmus_desiderius_viaf_95982394","1530-09-19","arc_en_barrois_FR_gid_3037229","47.94766","5.00807","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2389","montfoort_pieter_van_viaf_uncertain","erasmus_desiderius_viaf_95982394","1530-09-20","augsburg_DE_gid_2954172","48.37154","10.89851","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2390","oláh_miklós_viaf_9923869","erasmus_desiderius_viaf_95982394","1530-09-20","augsburg_DE_gid_2954172","48.37154","10.89851","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2391","oláh_miklós_viaf_9923869","erasmus_desiderius_viaf_95982394","1530-09-21","augsburg_DE_gid_2954172","48.37154","10.89851","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2392","henckel_johannes_viaf_42653796","erasmus_desiderius_viaf_95982394","1530-10-01","augsburg_DE_gid_2954172","48.37154","10.89851","freiburg_DE_gid_2925177","47.9959","7.85222"
"era_allen_2394","alciati_andrea_viaf_51699991","erasmus_desiderius_viaf_95982394","1530-10-07","bourges_FR_gid_3031005","47.08333","2.4","freiburg_DE_gid_2925177","47.9959","7.85222"
