"target_loc_id","TargetNameModern","TargetLAT","TargetLNG","source_loc_id","SourceNameModern","SourceLAT","SourceLNG"
"erfurt_DE_gid_2929670","Erfurt","50.9787","11.03283","antwerpen_BE_gid_2803138","Antwerp","51.21989","4.40346"
"unknown_location_in_germany_DE_gid_unknown","Unknown Location in Germany","NULL","NULL","antwerpen_BE_gid_2803138","Antwerp","51.21989","4.40346"
"tournehem_sur_la_hem_FR_gid_2972235","Tournehem-sur-la-Hem","50.8","2.05","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"murano_IT_gid_3172456","Murano","45.45857","12.35683","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"unknown_location_in_the_netherlands_NL_gid_unknown","Unknown Location in the Netherlands","NULL","NULL","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"unknown_location_in_germany_DE_gid_unknown","Unknown Location in Germany","NULL","NULL","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"unknown_location_in_france_FR_gid_unknown","Unknown Location in France","NULL","NULL","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"emmerich_DE_gid_2930509","Emmerich","51.83933","6.24792","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"erfurt_DE_gid_2929670","Erfurt","50.9787","11.03283","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"winchester_GB_gid_2633858","Winchester","51.06513","-1.3187","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"schneeberg_DE_gid_2837470","Schneeberg","50.59465","12.64139","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"leiden_NL_gid_2751773","Leiden","52.15833","4.49306","brussels_BE_gid_2800866","Brussels","50.85045","4.34878"
"gorinchem_NL_gid_2755434","Gorinchem","51.83652","4.97243","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"unknown_location_in_spain_ES_gid_unknown","Unknown Location in Spain","NULL","NULL","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"erfurt_DE_gid_2929670","Erfurt","50.9787","11.03283","köln_DE_gid_2886242","Cologne","50.93333","6.95"
"altomünster_abbey_DE_gid_unknown","Altomünster Abbey","48.38844","11.2573","köln_DE_gid_2886242","Cologne","50.93333","6.95"
"trzebiatów_PL_gid_3083145","Trzebiatów","54.06147","15.26475","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
