"Location Name Modern","Latitude","Longitude","Number of correspondents who received at this location letters from Erasmus"
"Paris","48.85341","2.3488","46"
"Leuven","50.87959","4.70093","45"
"Rome","41.89193","12.51133","36"
"Basel","47.5584","7.57327","30"
"London","51.50853","-0.12574","28"
"Augsburg","48.37154","10.89851","27"
"Brussels","50.85045","4.34878","20"
"Antwerp","51.21989","4.40346","14"
"Cologne","50.93333","6.95","13"
"Strasbourg","48.58342","7.74296","13"
"Freiburg im Breisgau","47.9959","7.85222","12"
"Besançon","47.24878","6.01815","11"
"Krakow","50.06143","19.93658","11"
"Mechelen","51.02574","4.47762","11"
"Padua","45.40797","11.88586","11"
"Erfurt","50.9787","11.03283","10"
"Ghent","51.05","3.71667","9"
"Nuremberg","49.45421","11.07752","9"
"Bruges","51.20892","3.22424","8"
"Mainz","49.98419","8.2791","7"
"Milan","45.46427","9.18951","7"
"Oxford","51.75222","-1.25596","7"
"Worms","49.63278","8.35916","7"
"Cambridge","52.2","0.11667","6"
"The Hague","52.07667","4.29861","6"
"Zurich","47.36667","8.55","6"
"Frankfurt am Main","50.11552","8.68417","5"
"Greenwich","51.47785","-0.01176","5"
"Liège","50.63373","5.56749","5"
"Speyer","49.32083","8.43111","5"
"Venice","45.43713","12.33265","5"
"Altenburg","50.98763","12.43684","4"
"Bourges","47.08333","2.4","4"
"Calais","50.95194","1.85635","4"
"Gouda","52.01667","4.70833","4"
"Leipzig","51.33962","12.37129","4"
"Saint-Omer","50.75","2.25","4"
"Steyn Monastery","52.002977","4.764632","4"
"Tournai","50.60715","3.38932","4"
"Tournehem-sur-la-Hem","50.8","2.05","4"
"Vienna","48.20849","16.37208","4"
"Wittenberg","51.8661","12.64973","4"
"Avignon","43.94834","4.80892","3"
"Cambrai","50.16667","3.23333","3"
"Carpentras","44.05","5.05","3"
"Chambéry","45.56667","5.93333","3"
"Dole","47.1","5.5","3"
"Genoa","44.4264","8.91519","3"
"Heidelberg","49.40768","8.69079","3"
"Ingolstadt","48.76508","11.42372","3"
"Konstanz","47.66033","9.17582","3"
