"Year","Average number of letters sent per correspondent to Erasmus this year"
"","1.0000"
"1489","4.0000"
"1493","2.0000"
"1495","3.0000"
"1497","1.0000"
"1498","1.0000"
"1499","2.0000"
"1500","1.0000"
"1503","1.0000"
"1505","1.0000"
"1506","1.0000"
"1507","1.0000"
"1508","1.0000"
"1509","1.0000"
"1511","2.0000"
"1512","1.0000"
"1513","1.0000"
"1514","1.4000"
"1515","1.8500"
"1516","1.4706"
"1517","1.5238"
"1518","1.2000"
"1519","1.3846"
"1520","1.1429"
"1521","1.0000"
"1522","1.1935"
"1523","1.2273"
"1524","1.2667"
"1525","1.3077"
"1526","1.3667"
"1527","1.2791"
"1528","1.1277"
"1529","1.4419"
"1530","1.5455"
"1531","1.6585"
"1532","1.8182"
"1533","1.6500"
"1534","1.5455"
"1535","1.4872"
"1536","1.1071"
