"Year","Number of correspondents to whom Erasmus wrote this year","Number of letters sent by Erasmus this year"
"1484","1","1"
"1487","4","9"
"1488","3","6"
"1489","3","13"
"1494","3","4"
"1495","3","3"
"1496","2","2"
"1497","10","16"
"1498","15","18"
"1499","11","25"
"1500","9","20"
"1501","15","25"
"1502","4","4"
"1503","5","5"
"1504","3","3"
"1505","4","4"
"1506","15","18"
"1507","2","3"
"1508","2","3"
"1511","5","20"
"1512","9","11"
"1513","8","15"
"1514","15","21"
"1515","16","22"
"1516","33","47"
"1517","76","138"
"1518","85","141"
"1519","75","107"
"1520","74","98"
"1521","44","61"
"1522","36","45"
"1523","35","43"
"1524","65","91"
"1525","65","90"
"1526","62","73"
"1527","75","95"
"1528","77","102"
"1529","65","99"
"1530","73","106"
"1531","69","107"
"1532","41","77"
"1533","47","76"
"1534","23","41"
"1535","24","39"
"1536","16","19"
