"Year","Number of correspondents writing letters to Erasmus this year","Number of letters sent to Erasmus this year"
"1489","1","4"
"1493","1","2"
"1495","1","3"
"1497","1","1"
"1498","1","1"
"1499","3","6"
"1500","1","1"
"1503","1","1"
"1505","1","1"
"1506","1","1"
"1507","1","1"
"1508","1","1"
"1509","4","4"
"1511","8","16"
"1512","5","5"
"1513","1","1"
"1514","10","14"
"1515","20","37"
"1516","51","75"
"1517","63","96"
"1518","20","24"
"1519","26","36"
"1520","21","24"
"1521","15","15"
"1522","31","37"
"1523","22","27"
"1524","30","38"
"1525","26","34"
"1526","30","41"
"1527","43","55"
"1528","47","53"
"1529","43","62"
"1530","44","68"
"1531","42","69"
"1532","44","80"
"1533","41","66"
"1534","33","50"
"1535","39","59"
"1536","28","31"
