"Year","Number of correspondents Erasmus writes to this year","Number of correspondents writing letters to Erasmus this year"
"NULL","NULL","NULL"
"1484","1","NULL"
"1487","4","NULL"
"1488","3","NULL"
"1489","3","1"
"1493","NULL","1"
"1494","3","NULL"
"1495","3","1"
"1496","2","NULL"
"1497","10","1"
"1498","15","1"
"1499","11","3"
"1500","9","1"
"1501","15","NULL"
"1502","4","NULL"
"1503","5","1"
"1504","3","NULL"
"1505","4","1"
"1506","15","1"
"1507","2","1"
"1508","2","1"
"1509","NULL","4"
"1511","5","8"
"1512","9","5"
"1513","8","1"
"1514","15","10"
"1515","16","20"
"1516","33","51"
"1517","76","63"
"1518","85","20"
"1519","75","26"
"1520","74","21"
"1521","44","15"
"1522","35","31"
"1523","36","22"
"1524","65","30"
"1525","65","26"
"1526","62","30"
"1527","75","43"
"1528","77","47"
"1529","65","43"
"1530","73","44"
"1531","69","41"
"1532","41","44"
"1533","47","40"
"1534","23","33"
"1535","24","39"
"1536","16","28"
