"YEAR","NewCorrReceivingFromEra"
"NULL","0"
"NULL","0"
"1484","1"
"1487","4"
"1488","2"
"1489","2"
"NULL","0"
"1494","1"
"1495","3"
"1496","2"
"1497","7"
"1498","4"
"1499","8"
"1500","6"
"1501","10"
"1502","1"
"1503","3"
"1504","1"
"1505","2"
"1506","9"
"1507","1"
"NULL","0"
"NULL","0"
"1511","2"
"1512","3"
"1513","3"
"1514","8"
"1515","9"
"1516","18"
"1517","49"
"1518","41"
"1519","39"
"1520","36"
"1521","23"
"1522","16"
"1523","15"
"1524","22"
"1525","40"
"1526","22"
"1527","34"
"1528","26"
"1529","25"
"1530","22"
"1531","24"
"1532","15"
"1533","17"
"1534","3"
"1535","9"
"1536","4"
