"YEAR","NewCorrWritingToEra"
"NULL","0"
"NULL","0"
"NULL","0"
"1489","1"
"1493","1"
"NULL","0"
"1495","1"
"NULL","0"
"1497","1"
"NULL","0"
"1499","3"
"NULL","0"
"NULL","0"
"NULL","0"
"1503","1"
"NULL","0"
"1505","1"
"1506","1"
"1507","1"
"1508","1"
"1509","4"
"1511","4"
"1512","2"
"NULL","0"
"1514","7"
"1515","15"
"1516","33"
"1517","37"
"1518","10"
"1519","14"
"1520","9"
"1521","7"
"1522","19"
"1523","11"
"1524","17"
"1525","15"
"1526","11"
"1527","21"
"1528","23"
"1529","20"
"1530","22"
"1531","17"
"1532","14"
"1533","12"
"1534","12"
"1535","14"
"1536","9"
