"Year","Number of correspondents Erasmus writes to this year"
"1484","1"
"1487","4"
"1488","3"
"1489","3"
"1494","3"
"1495","3"
"1496","2"
"1497","10"
"1498","15"
"1499","11"
"1500","9"
"1501","15"
"1502","4"
"1503","5"
"1504","3"
"1505","4"
"1506","15"
"1507","2"
"1508","2"
"1511","5"
"1512","9"
"1513","8"
"1514","15"
"1515","16"
"1516","33"
"1517","76"
"1518","85"
"1519","75"
"1520","74"
"1521","44"
"1522","35"
"1523","36"
"1524","65"
"1525","65"
"1526","62"
"1527","75"
"1528","77"
"1529","65"
"1530","73"
"1531","69"
"1532","41"
"1533","47"
"1534","23"
"1535","24"
"1536","16"
