"Year","Number of correspondents writing letters to Erasmus this year"
"NULL","1"
"1489","1"
"1493","1"
"1495","1"
"1497","1"
"1498","1"
"1499","3"
"1500","1"
"1503","1"
"1505","1"
"1506","1"
"1507","1"
"1508","1"
"1509","4"
"1511","8"
"1512","5"
"1513","1"
"1514","10"
"1515","20"
"1516","51"
"1517","63"
"1518","20"
"1519","26"
"1520","21"
"1521","15"
"1522","31"
"1523","22"
"1524","30"
"1525","26"
"1526","30"
"1527","43"
"1528","47"
"1529","43"
"1530","44"
"1531","42"
"1532","44"
"1533","41"
"1534","33"
"1535","39"
"1536","28"
