"correspondents_id","NoEPPfromEra","NoEPPtoEra"
"grapheus_cornelius_scribonius_viaf_24593400","2","1"
"julius_ii_pope_viaf_51697938","NULL","1"
"catharine_of_aragon_queen_consort_of_henry_viii_king_of_england_viaf_13102140","2","NULL"
"ferdinand_i_holy_roman_emperor_viaf_51698517","6","4"
"gois_damião_ de_viaf_29543090","9","4"
"albert_of_brandenburg_archbischop_and_elector_of_mainz_cardinal_viaf_42631444","7","2"
"alciati_andrea_viaf_51699991","6","4"
"alardus_amstelredamus_viaf_85054604","1","2"
"crocus_cornelius_viaf_8306045","1","1"
"kan_nicolaas_viaf_unknown","1","NULL"
"omphalius_jakob_viaf_37733878","NULL","1"
"marguerite_queen_consort_of_henry_ii_king_of_navarre_viaf_89797196","2","NULL"
"chapuys_eustache_viaf_229692087","1","1"
"dilfus_franciscus_viaf_292009844","3","1"
"gillis_pierre_viaf_12425170","25","6"
"rivulo_adrianus_a_viaf_unknown","1","NULL"
"schetz_gaspar_viaf_77246028","1","NULL"
"voecht_jacob_de_viaf_283116155","5","NULL"
"lópez_de_mendoza_y_zúñiga_iñigo_viaf_unknown","NULL","1"
"du_chastel_pierre_viaf_46920623","3","4"
"gualtieri_pietro_paolo_viaf_89729847","NULL","1"
"jespersen_jacob_viaf_67282045","NULL","2"
"busleyden_gilles_de_viaf_unknown","6","1"
"busleyden_jérome_de_viaf_13120229","2","2"
"latomus_bartholomaeus_viaf_73868162","1","1"
"montanus_philippus_viaf_61904259","NULL","1"
"barbier_nicolas_viaf_unknown","NULL","1"
"barbier_pierre_viaf_unknown","16","7"
"caduceator_henricus_viaf_unknown","1","1"
"torresanus_andreas_de_asula_viaf_29587053","1","1"
"badius_josse_viaf_44352439","2","5"
"canta_jacobo_viaf_unknown","1","NULL"
"papin_antoine_viaf_unknown","1","1"
"auerbach_heinrich_viaf_69872391","4","4"
"baumgärtner_david_viaf_38023220","2","NULL"
"fugger_anton_viaf_806644","6","1"
"gering_christoph_viaf_unknown","NULL","3"
"paumgartner_johann_(ii)_viaf_281100987","3","3"
"paumgartner_johann_georg_viaf_unknown","3","NULL"
"peutinger_konrad_viaf_56776766","1","1"
"brie_germain_de_viaf_227062191","12","8"
"baarland_adriaan_van_viaf_19701114","6","3"
"barlandus_hubertus_viaf_9990971","1","1"
"basellius_nikolaus_viaf_30349975","NULL","1"
"hessele_jacob_viaf_unknown","NULL","1"
"reisch_gregor_viaf_9989194","1","1"
"camerarius_joachim_viaf_2495607","2","1"
