"sender_id","name_in_edition","Number of letters sent to Erasmus from this correspondent"
"d86e9fb0-c6d2-406a-a352-63a6fa4237dc","Bonifacius AMERBACH [COE] // Bonifacius Amerbach [CWE] // Amerbach, Boniface [ALLEN]","61"
"92949edf-ce34-48b4-bfac-ad19b198cd5d","Erasmus SCHETS [COE] // Erasmus Schets [CWE] // Schets, Erasmus [ALLEN]","36"
"763f4d64-dffb-40eb-bc45-2fde4992223e","Thomas MORE [COE] // Thomas More [CWE] // More, Sir Thomas [ALLEN]","24"
"9ec0993f-cd01-4455-88d1-f15d6d7c736d","Bernhard von CLES [COE] // Bernhard von Cles [CWE] // Cles, Bernard of [ALLEN]","23"
"c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume BUDÉ [COE] // Guillaume Budé [CWE] // Budaeus, Guilhelmus (Budé, Guillaume) [ALLEN]","23"
"d930e446-fbaa-4d3c-b1ec-707930f35a5b","Viglius ZUICHEMUS [COE] // Viglius Zuichemus [CWE] // Zuichemus, Viglius [ALLEN]","23"
"eea0c13d-d6d4-4152-a5bb-e504157bde14","Ambrosius PELARGUS [COE] // Ambrosius Pelargus [CWE] // Pelargus, Ambrosius [ALLEN]","21"
"a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","Juan Luis VIVES [COE] // Juan Luis Vives [CWE] // Vives, John Louis [ALLEN]","20"
"a9779b0b-cb2b-4a48-84c4-940449ef5c3c","Udalricus ZASIUS [COE] // Udalricus Zasius [CWE] // Zasius, Ulrich [ALLEN]","19"
"3a5d3120-bccc-4763-ab3f-7d5400358f8c","Conradus GOCLENIUS [COE] // Conradus Goclenius [CWE] // Goclenius, Conradus [ALLEN]","18"
"cac0c676-2dc8-49c8-86f0-719a5195e160","Johann von BOTZHEIM [COE] // Johann von Botzheim [CWE] // Botzheim, Johann [ALLEN]","18"
"816bf9f9-40f2-4aa8-8e06-3b075e0974f3","Nicolaus OLAHUS [COE] // Nicolaus Olahus [CWE] // Olah, Nicolaus (Holachus) [ALLEN]","17"
"d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald PIRCKHEIMER [COE] // Willibald Pirckheimer [CWE] // Pirckheimer, Willibald [ALLEN]","15"
"658736d9-240b-4cfc-9042-13e3f9a08613","Johann KOLER [COE] // Johann Koler [CWE] // Choler, John [ALLEN]","14"
"e2e52f17-4ec3-4693-9a63-c6f8e5b1cd33","Andrea AMMONIO [COE] // Andrea Ammonio [CWE] // Ammonius, Andrea [ALLEN]","14"
"313d5e42-31ce-44fe-9832-eb4da2e49fcb","Wolfgang Faber CAPITO [COE] // Wolfgang Capito [CWE] // Capito, Wolfgang Fabricius (Köpfel) [ALLEN]","10"
"dabeac1b-7e7b-4670-a2b2-479f6a330876","George, duke of SAXONY [COE] // Duke George of Saxony [CWE] // George of Saxony, Duke [ALLEN]","10"
"51e6d4f5-2b99-45c7-aab9-0bb8f4caec2b","Jan BECKER [COE] // Jan Becker of Borsele [CWE] // Becar, John, of Borsselen [ALLEN]","9"
"96a63010-6201-4f01-a82f-e6108cb30f08","Jacopo SADOLETO [COE] // Jacopo Sadoleto [CWE] // Sadoleto, Jacopo [ALLEN]","9"
"a402f204-dc31-4ccd-8b92-57986fc96d78","Johann von VLATTEN [COE] // Johann von Vlatten [CWE] // Vlatten, John [ALLEN]","9"
"aae78701-5318-483d-b1c7-35c7a0f6a06d","Johannes FABRI [COE] // Johannes Fabri [CWE] // Faber, John [ALLEN]","9"
"0ec03581-0e29-4e21-88cd-139033fd0f9e","BEATUS Rhenanus [COE] // Beatus Rhenanus [CWE] // Beatus Rhenanus (Beat Bild) [ALLEN]","8"
"2bf9cc2d-d91a-4d46-b38a-c2c0584f1ab0","Philippus MELANCHTHON [COE] // Philippus Melanchthon [CWE] // Melanchthon, Philip [ALLEN]","8"
"2e8f7e81-e0bc-454a-bb7b-19d692b58280","Paolo BOMBACE [COE] // Paolo Bombace [CWE] // Bombasius, Paulus (Bombace Paolo) [ALLEN]","8"
"4de6dad8-84ae-4acd-9b76-0e2064602f71","Germain de BRIE [COE] // Germain de Brie [CWE] // Brie, Germain de [ALLEN]","8"
"1faa67ba-9b05-46e9-9690-8b6b3bc29829","Pierre BARBIER [COE] // Pierre Barbier [CWE] // Barbirius, Petrus (Barbier) [ALLEN]","7"
"68e9f7d5-7c19-4579-bcfb-1205839871dd","Nikolaus GERBEL [COE] // Nikolaus Gerbel [CWE] // Gerbell, Nicholas [ALLEN]","7"
"970aec7e-c773-4c16-8ac1-fb12315b9d1c","John COLET [COE] // John Colet [CWE] // Colet, John [ALLEN]","7"
"036eacb5-6f53-4ecf-8cf4-128173fb022a","Christoph von STADION [COE] // Christoph von Stadion [CWE] // Stadion, Christoph von [ALLEN]","6"
"10117a4a-fafc-49e2-8a08-af0206b28af5","Ludwig BAER [COE] // Ludwig Baer [CWE] // Ber, Louis [ALLEN]","6"
"14f05533-45b4-4b87-a313-d16b5c8506ae","Paul VOLZ [COE] // Paul Volz [CWE] // Volz, Paul [ALLEN]","6"
"209003e9-81b5-4414-afd7-03e8c2f44b53","Levinus AMMONIUS [COE] // Levinus Ammonius [CWE] // Ammonius, Levinus (Livinus) [ALLEN]","6"
"20d5dcfe-959c-482b-a8ed-255fdc56890c","Johannes CAESARIUS [COE] // Johannes Caesarius [CWE] // Caesarius, Joannes [ALLEN]","6"
"285e3bbd-d087-46d6-ad31-2e07a29fa69e","Maarten LIPS [COE] // Maarten Lips [CWE] // Lypsius, Martin [ALLEN]","6"
"2b33f692-a515-4aeb-8397-04c88fd45b36","Tielmannus GRAVIUS [COE] // Tielmannus Gravius [CWE] // Gravius, Tielmann (a Fossa) [ALLEN]","6"
"547cb195-d235-4083-9124-286a87bdc9b2","William WARHAM [COE] // William Warham [CWE] // Warham, William [ALLEN]","6"
"6fc3d197-6ece-40c4-829a-fb63f2ed1ea3","Ulrich von HUTTEN [COE] // Ulrich von Hutten [CWE] // Hutten, Ulrich von [ALLEN]","6"
"7f518b08-f2e6-4b50-841d-241067830f86","Pieter GILLIS [COE] // Pieter Gillis [CWE] // Gilles, Peter (Aegidius, Petrus) [ALLEN]","6"
