"Location Name","Latitude","Longitude","Number of correspondents Erasmus writes to","Number of letters written by Erasmus","Average Number of letters per correspondent"
"Paris","48.85341","2.3488","46","126","2.7391"
"Leuven","50.87959","4.70093","45","121","2.6889"
"Rome","41.89193","12.51133","36","71","1.9722"
"Basel","47.5584","7.57327","30","169","5.6333"
"London","51.50853","-0.12574","28","127","4.5357"
"Augsburg","48.37154","10.89851","27","57","2.1111"
"Brussels","50.85045","4.34878","20","34","1.7000"
"Antwerp","51.21989","4.40346","14","89","6.3571"
"Cologne","50.93333","6.95","13","31","2.3846"
"Strasbourg","48.58342","7.74296","13","22","1.6923"
"Freiburg im Breisgau","47.9959","7.85222","12","36","3.0000"
"Besançon","47.24878","6.01815","11","19","1.7273"
"Krakow","50.06143","19.93658","11","37","3.3636"
"Mechelen","51.02574","4.47762","11","28","2.5455"
"Padua","45.40797","11.88586","11","30","2.7273"
"Erfurt","50.9787","11.03283","10","19","1.9000"
"Ghent","51.05","3.71667","9","17","1.8889"
"Nuremberg","49.45421","11.07752","9","52","5.7778"
"Bruges","51.20892","3.22424","8","24","3.0000"
"Milan","45.46427","9.18951","7","7","1.0000"
"Oxford","51.75222","-1.25596","7","15","2.1429"
"Worms","49.63278","8.35916","7","10","1.4286"
"Cambridge","52.2","0.11667","6","11","1.8333"
"Mainz","49.98419","8.2791","6","9","1.5000"
"The Hague","52.07667","4.29861","6","7","1.1667"
"Zurich","47.36667","8.55","6","11","1.8333"
"Frankfurt am Main","50.11552","8.68417","5","6","1.2000"
"Greenwich","51.47785","-0.01176","5","30","6.0000"
"Liège","50.63373","5.56749","5","13","2.6000"
"Speyer","49.32083","8.43111","5","12","2.4000"
"Venice","45.43713","12.33265","5","17","3.4000"
"Altenburg","50.98763","12.43684","4","17","4.2500"
"Bourges","47.08333","2.4","4","7","1.7500"
"Calais","50.95194","1.85635","4","4","1.0000"
"Gouda","52.01667","4.70833","4","6","1.5000"
"Leipzig","51.33962","12.37129","4","10","2.5000"
"Saint-Omer","50.75","2.25","4","17","4.2500"
"Steyn Monastery","52.002977","4.764632","4","27","6.7500"
"Tournai","50.60715","3.38932","4","4","1.0000"
"Tournehem-sur-la-Hem","50.8","2.05","4","24","6.0000"
"Vienna","48.20849","16.37208","4","6","1.5000"
"Wittenberg","51.8661","12.64973","4","12","3.0000"
"Avignon","43.94834","4.80892","3","6","2.0000"
"Cambrai","50.16667","3.23333","3","4","1.3333"
"Carpentras","44.05","5.05","3","7","2.3333"
"Chambéry","45.56667","5.93333","3","3","1.0000"
"Dole","47.1","5.5","3","3","1.0000"
"Genoa","44.4264","8.91519","3","4","1.3333"
"Heidelberg","49.40768","8.69079","3","3","1.0000"
"Ingolstadt","48.76508","11.42372","3","3","1.0000"
"Konstanz","47.66033","9.17582","3","10","3.3333"
"Middelburg","51.5","3.61389","3","4","1.3333"
"Orléans","47.90289","1.90389","3","7","2.3333"
"Prague","50.08804","14.42076","3","3","1.0000"
"Sélestat","48.26667","7.45","3","7","2.3333"
"Torgau","51.56016","12.99617","3","3","1.0000"
"Tübingen","48.52266","9.05222","3","3","1.0000"
"Wroclaw","51.1","17.03333","3","4","1.3333"
"Würzburg","49.79391","9.95121","3","9","3.0000"
"Aachen","50.77664","6.08342","2","3","1.5000"
"Alcalá de Henares","40.4165","-3.70256","2","7","3.5000"
"Amsterdam","52.37403","4.88969","2","2","1.0000"
