"Location Name","Latitude","Longitude","Number of years Erasmus writes letters from this location","Number of letters written by Erasmus from this location","Average Number of Letters written by Erasmus from this location per year"
"Basel","47.5584","7.57327","15","672","44.8000"
"Paris","48.85341","2.3488","11","73","6.6364"
"London","51.50853","-0.12574","10","33","3.3000"
"Antwerp","51.21989","4.40346","9","88","9.7778"
"Brussels","50.85045","4.34878","8","28","3.5000"
"Leuven","50.87959","4.70093","8","401","50.1250"
"Freiburg im Breisgau","47.9959","7.85222","7","481","68.7143"
"Cambridge","52.2","0.11667","5","33","6.6000"
"Steyn Monastery","52.002977","4.764632","4","28","7.0000"
"Saint-Omer","50.75","2.25","4","11","2.7500"
"Hammes // Hammes castle","50.88178","1.84338","2","4","2.0000"
"Tournehem-sur-la-Hem","50.8","2.05","2","11","5.5000"
"Mechelen","51.02574","4.47762","2","5","2.5000"
"Cologne","50.93333","6.95","2","7","3.5000"
"Bologna","44.49381","11.33875","2","6","3.0000"
"Gouda","52.01667","4.70833","2","2","1.0000"
"Courtebourne","50.79147","1.94752","2","4","2.0000"
"Orléans","47.90289","1.90389","1","11","11.0000"
"Venice","45.43713","12.33265","1","1","1.0000"
"Bruges","51.20892","3.22424","1","9","9.0000"
"Calais","50.95194","1.85635","1","1","1.0000"
"Rochester","51.38764","0.50546","1","3","3.0000"
"Padua","45.40797","11.88586","1","2","2.0000"
"Oxford","51.75222","-1.25596","1","10","10.0000"
"Greenwich","51.47785","-0.01176","1","1","1.0000"
"Dover","51.13333","1.3","1","1","1.0000"
"Florence","43.77925","11.24626","1","3","3.0000"
"Liège","50.63373","5.56749","1","1","1.0000"
"Frankfurt am Main","50.11552","8.68417","1","1","1.0000"
"Landbeach","52.26448","0.16226","1","2","2.0000"
"Anderlecht","50.83619","4.31454","1","21","21.0000"
"Halsteren","51.52834","4.26785","1","1","1.0000"
