"LocationName","Latitude","Longitude","NoLettersWrittenTOErasmus","NoLettersWrittenBYErasmusTO"
"Basel","47.5584","7.57327","108","167"
"Paris","48.85341","2.3488","65","125"
"Leuven","50.87959","4.70093","59","120"
"London","51.50853","-0.12574","55","127"
"Antwerpen","51.21989","4.40346","51","87"
"Freiburg","47.9959","7.85222","50","34"
"Augsburg","48.37154","10.89851","48","57"
"Rome","41.89193","12.51133","40","71"
"Brussels","50.85045","4.34878","33","34"
"Padova","45.40797","11.88586","25","30"
"Strasbourg","48.58342","7.74296","24","22"
"Brugge","51.20892","3.22424","22","24"
"Köln","50.93333","6.95","21","31"
"Nürnberg","49.45421","11.07752","20","52"
"Konstanz","47.66033","9.17582","19","10"
"Speyer","49.32083","8.43111","17","12"
"Kraków","50.06143","19.93658","17","36"
"Dresden","51.05089","13.73832","13","8"
"Frankfurt am Main","50.11552","8.68417","12","6"
"Vienna","48.20849","16.37208","11","6"
"Regensburg","49.01513","12.10161","11","3"
"Leipzig","51.33962","12.37129","11","10"
"Sélestat","48.26667","7.45","11","7"
"Mechelen","51.02574","4.47762","10","28"
"Besançon","47.24878","6.01815","9","19"
"Gent","51.05","3.71667","9","17"
"Carpentras","44.05","5.05","8","7"
"Greenwich","51.47785","-0.01176","8","30"
"Tournai","50.60715","3.38932","8","4"
"Valladolid","41.65518","-4.72372","7","1"
"Überlingen","47.76977","9.17136","7","5"
"Venice","45.43713","12.33265","7","17"
"Dillingen an der Donau","48.58153","10.49528","6","3"
"Mainz","49.98419","8.2791","6","9"
"Prague","50.08804","14.42076","6","3"
"Cambridge","52.2","0.11667","6","10"
"Milano","45.46427","9.18951","6","6"
"City of Westminster","51.5","-0.11667","6","8"
"Burgos","42.35022","-3.67527","6","4"
"Monastery Bois-Saint-Martin //  St Maartensbos","50.80371","3.82541","5","2"
"Wittenberg","51.8661","12.64973","5","12"
"Tübingen","48.52266","9.05222","5","3"
"Oxford","51.75222","-1.25596","5","15"
"Toulouse","43.60426","1.44367","5","4"
"Nozeroy","46.77457","6.03636","5","2"
"Innsbruck","47.26266","11.39454","5","3"
"Linz","48.30639","14.28611","5","2"
"Monastery Lopsen","52.18","4.46944","4","14"
"Ferrara","44.84346","11.60868","4","2"
"Buda","47.5","19.03333","4","2"
"Bourges","47.08333","2.4","4","6"
"Lyon","45.74846","4.84671","4","1"
"Liège","50.63373","5.56749","4","13"
"Chelsea","51.48755","-0.16936","4","2"
"Stuttgart","48.78232","9.17702","4","5"
"Wrocław","51.1","17.03333","4","4"
"Würzburg","49.79391","9.95121","3","9"
"Porrentruy","47.41533","7.07522","3","4"
"Calais","50.95194","1.85635","3","4"
"Dole","47.1","5.5","3","3"
"Zwolle","52.5125","6.09444","3","3"
"Worms","49.63278","8.35916","3","10"
"Napoli","40.85631","14.24641","3","1"
"Bologna","44.49381","11.33875","3","1"
"Piotrków Trybunalski","51.40547","19.70321","3","6"
"Otford","51.31283","0.19046","3","1"
"Vollenhove","52.68083","5.95417","2","11"
"Lens St. Croix","50.51894","5.23284","2","1"
"Torgau","51.56016","12.99617","2","3"
"Steyn Monastery","52.00333","4.78194","2","27"
"Zürich","47.36667","8.55","2","11"
"Boppard","50.23085","7.58992","2","3"
"Siena","43.31822","11.33064","2","1"
"Como","45.80079","9.08065","2","2"
"Mussy-sur-Seine","47.97791","4.49743","2","5"
"Brescia","45.53558","10.21472","2","1"
"Jena","50.92878","11.5899","2","1"
"Chambéry","45.56667","5.93333","2","2"
"Kroměříž","49.29785","17.39312","2","5"
"Monastery Hugshofen","48.3494","7.2828","2","4"
"Koblenz","50.35357","7.57884","2","2"
"Arlon","49.68333","5.81667","2","1"
"Leeuwarden","53.20139","5.80859","2","5"
"Alcalá de Henares","40.4165","-3.70256","2","7"
"The Hague","52.07667","4.29861","2","7"
"Schloss Steinheim","50.11298","8.90734","2","1"
"Zeitz","51.04962","12.1369","2","3"
"Kortrijk","50.82803","3.26487","2","7"
"Middelburg","51.5","3.61389","2","4"
"Rochester","51.38764","0.50546","2","12"
"Gentilly","48.81294","2.3417","2","3"
"Canterbury","51.27904","1.07992","2","1"
"Bonn","50.73438","7.09548","2","1"
"Houtem","51.01077","2.60946","2","3"
"Aachen","50.77664","6.08342","2","3"
"Montbéliard","47.51667","6.8","1","1"
"Reggio nell'Emilia","44.69825","10.63125","1","1"
"Schloss Hambach","50.89903","6.44452","1","1"
"Genève","46.20222","6.14569","1","2"
"Saint-Bel Castle","45.811363","4.601599","1","1"
"Vic-sur-Seille","48.78204","6.53081","1","1"
"Langenargen","47.59858","9.54163","1","2"
"Aberdeen","57.14369","-2.09814","1","1"
"Glarus","47.04057","9.06804","1","1"
"Metz","49.11911","6.17269","1","1"
"Ensisheim","47.86695","7.35212","1","1"
"Avignon","43.94834","4.80892","1","6"
"Heidelberg","49.40768","8.69079","1","3"
"Amsterdam","52.37403","4.88969","1","2"
"Passau","48.5665","13.43122","1","2"
"Genoa","44.4264","8.91519","1","3"
"Ingolstadt","48.76508","11.42372","1","3"
"Lochau","51.39738","12.05303","1","12"
"Gotha","50.94823","10.70193","1","2"
"Frombork","54.35766","19.68029","1","1"
"Veere","51.54833","3.66667","1","1"
"Holyrood Palace in Edinburgh","55.9526083","-3.1718239","1","1"
"Büderich","51.63","6.57959","1","5"
"Bourg-en-Bresse","46.20574","5.2258","1","2"
"Sopron","47.68501","16.59049","1","1"
"Franeker","53.18546","5.54123","1","1"
"Saint-Germain-des-Près","48.85377","2.33331","1","3"
"Altenburg","50.98763","12.43684","1","17"
"Palencia","42.00955","-4.52406","1","1"
"Gouda","52.01667","4.70833","1","6"
"Brühl","50.82928","6.90499","1","1"
"Gembloux","50.56149","4.69889","1","1"
"Znojmo","48.8555","16.0488","1","1"
"Kostelec nad Labem","50.22653","14.58552","1","2"
"Weinsberg","49.15127","9.28762","1","2"
"Ottobeuren","47.9413","10.29971","1","2"
"Trier","49.75565","6.63935","1","1"
"Groningen","53.21917","6.56667","1","2"
"Lambeth","51.49635","-0.11152","1","3"
