"LocationName","Latitude","Longitude","NoLettersWrittenByErasmusTO","NoLettersWrittenByErasmusAT"
"Basel","47.5584","7.57327","108","672"
"Paris","48.85341","2.3488","65","73"
"Leuven","50.87959","4.70093","59","401"
"London","51.50853","-0.12574","55","33"
"Antwerpen","51.21989","4.40346","51","88"
"Freiburg","47.9959","7.85222","50","481"
"Brussels","50.85045","4.34878","33","28"
"Padova","45.40797","11.88586","25","2"
"Brugge","51.20892","3.22424","22","9"
"Köln","50.93333","6.95","21","7"
"Frankfurt am Main","50.11552","8.68417","12","1"
"Mechelen","51.02574","4.47762","10","5"
"Greenwich","51.47785","-0.01176","8","1"
"Unknown Location","0","0","7","1"
"Venice","45.43713","12.33265","7","1"
"Cambridge","52.2","0.11667","6","33"
"Oxford","51.75222","-1.25596","5","10"
"Liège","50.63373","5.56749","4","1"
"Calais","50.95194","1.85635","3","1"
"Bologna","44.49381","11.33875","3","6"
"Steyn Monastery","52.00333","4.78194","2","28"
"Rochester","51.38764","0.50546","2","3"
"Unknown Location in England","0","0","2","2"
"Florence","43.77925","11.24626","1","3"
"Gouda","52.01667","4.70833","1","2"
