"Location Name","Number of letters sent to this location by Erasmus"
"Basel","168"
"London","127"
"Paris","126"
"Leuven","121"
"Antwerp","89"
"Rome","71"
"Augsburg","57"
"Nuremberg","52"
"Krakow","37"
"Freiburg im Breisgau","36"
"Brussels","34"
"Cologne","31"
"Greenwich","30"
"Padua","30"
"Mechelen","28"
"Steyn Monastery","27"
"Tournehem-sur-la-Hem","24"
"Bruges","24"
"Strasbourg","22"
"Erfurt","19"
"Besançon","19"
"Ghent","17"
"Venice","17"
"Saint-Omer","17"
"Altenburg","17"
"Oxford","15"
"Monastery Lopsen","14"
"Liège","13"
"Rochester","12"
"Wittenberg","12"
"Lochau","12"
"Speyer","12"
"Vollenhove","11"
"Zurich","11"
"Cambridge","11"
"Mainz","10"
"Konstanz","10"
"Leipzig","10"
"Worms","10"
"Würzburg","9"
"City of Westminster","8"
"Dresden","8"
"Sélestat","7"
"The Hague","7"
"Orléans","7"
"Kortrijk","7"
"Milan","7"
"Alcalá de Henares","7"
"Carpentras","7"
"Bourges","7"
"Landbeach","7"
"Gouda","6"
"Avignon","6"
"Vienna","6"
"Frankfurt am Main","6"
"Piotrkow Trybunalski","6"
"Kroměříž","5"
"Mussy-sur-Seine","5"
"Überlingen","5"
"Leeuwarden","5"
"Büderich","5"
"Stuttgart","5"
"Monastery Hugshofen","4"
"Calais","4"
"Wroclaw","4"
"Tournai","4"
"Porrentruy","4"
"Haarlem","4"
"Burgos","4"
"Genoa","4"
"Płock","4"
"Cambrai","4"
"Seville","4"
"Toulouse","4"
"Middelburg","4"
"Torgau","3"
"Zwolle","3"
"Winchester","3"
"Tübingen","3"
"Aachen","3"
"Ingolstadt","3"
"Blois","3"
"Innsbruck","3"
"Houtem","3"
"Heidelberg","3"
"Gentilly","3"
"Lambeth","3"
"Chambéry","3"
"Dole","3"
"Prague","3"
"Dillingen an der Donau","3"
"Saint Sulpice Abbey","3"
"Chemnitz","3"
"Regensburg","3"
"Zeitz","3"
"Boppard","3"
"Saint-Germain-des-Prés","3"
"Saint-Amand Abbey","3"
"Lübeck","3"
"Kostelec nad Labem","2"
"Groningen","2"
"Ottobeuren Abbey","2"
"Easthampstead","2"
"Chelsea","2"
"Gotha","2"
"Windsor Castle","2"
"Passau","2"
"Ferrara","2"
"Buda","2"
"Como","2"
"Arras","2"
"Koblenz","2"
"Lisbon","2"
"Gniezno","2"
"Geneva","2"
"Bourg-en-Bresse","2"
"Montpellier","2"
"Monastery Bois-Saint-Martin //  St Maartensbos","2"
"Linz","2"
"Amsterdam","2"
"Abbey Saint-Martin-de-l'Île-Barbe","2"
"Munich","2"
"Nozeroy","2"
"Langenargen","2"
"Bergen op Zoom","2"
"Saint Séverin Abbey of Château Landon","2"
"Weinsberg","2"
"Wesel","2"
"Veere","1"
"Murano","1"
"Emmerich","1"
"Schneeberg","1"
"Leiden","1"
"Gorinchem","1"
"Altomünster Abbey","1"
"Trzebiatów","1"
"Znojmo","1"
"Perugia","1"
"Saint-Augustin-lès-Thérouanne Abbey","1"
"Anderlecht","1"
"Hampton Court Palace","1"
"Bern","1"
"Mulhouse","1"
"Lützel Abbey","1"
"The More Palace","1"
"Glastonbury Abbey","1"
"Montbéliard","1"
"Abbaye de Cluny","1"
"Vic-sur-Seille","1"
"Naples","1"
"Bologna","1"
"Grande Chartreuse","1"
"Courtebourne","1"
"Baden","1"
"Angoulême","1"
"Bratislava","1"
"Marburg an der Lahn","1"
"Grandson","1"
"Salamanca","1"
"Ensisheim","1"
"Denny Abbey","1"
"Brixen","1"
"Jena","1"
"Manoir la Cour-des-Pins","1"
"Palencia","1"
"Brühl","1"
"Chartres","1"
"Lens St. Croix","1"
"Sopron","1"
"Brescia","1"
"Aberdeen","1"
"Waldburg Castle","1"
"Reggio nell'Emilia","1"
"Saint-Bel Castle","1"
"Valladolid","1"
"Franeker","1"
"Lyon","1"
"Bonn","1"
"Ordingen","1"
"Schloss Hambach","1"
"Holyrood Palace in Edinburgh","1"
"Otford","1"
"Siena","1"
"Trier","1"
"Sion Abbey","1"
"Frombork","1"
"Woking","1"
"Glarus","1"
"Bayeux","1"
"Canterbury","1"
"Schloss Steinheim","1"
"Woodstock","1"
"Butzbach","1"
"Saint-Hubert Abbey","1"
"Arlon","1"
"Gembloux","1"
"Metz","1"
