"Location Name","Number of letters sent to this location"
"Basel","615"
"Freiburg","425"
"Leuven","242"
"Antwerpen","151"
"London","150"
"Paris","137"
"Brussels","76"
"Rome","71"
"Augsburg","57"
"Nürnberg","52"
"Kraków","36"
"Köln","31"
"Steyn Monastery","31"
"Padova","30"
"Greenwich","30"
"Mechelen","29"
"Cambridge","27"
"Brugge","24"
"Tournehem-sur-la-Hem","24"
"Strasbourg","22"
"Besançon","19"
"Erfurt","19"
"Saint-Omer","19"
"Oxford","18"
"Venice","18"
"Gent","17"
"Altenburg","17"
"Monastery Lopsen","14"
"Liège","13"
"Rochester","13"
"Speyer","12"
"Wittenberg","12"
"Lochau","12"
"Vollenhove","11"
"Zürich","11"
"Konstanz","10"
"Worms","10"
"Leipzig","10"
"Mainz","9"
"Würzburg","9"
"Dresden","8"
"City of Westminster","8"
"Sélestat","7"
"The Hague","7"
"Orléans","7"
"Alcalá de Henares","7"
"Kortrijk","7"
"Carpentras","7"
"Landbeach","7"
"Frankfurt am Main","7"
"Bourges","6"
"Vienna","6"
"Piotrków Trybunalski","6"
"Milano","6"
"Gouda","6"
"Avignon","6"
"Büderich","5"
"Stuttgart","5"
"Leeuwarden","5"
"Überlingen","5"
"Kroměříž","5"
"Anderlecht","5"
"Mussy-sur-Seine","5"
"Monastery Hugshofen","4"
"Płock","4"
"Cambrai","4"
"Tournai","4"
"Middelburg","4"
"Burgos","4"
"Porrentruy","4"
"Wrocław","4"
"Haarlem","4"
"Calais","4"
"Toulouse","4"
"Boppard","3"
"Tübingen","3"
"Dole","3"
"Ingolstadt","3"
"Gentilly","3"
"Zeitz","3"
"Regensburg","3"
"Saint Sulpice Abbey","3"
"Blois","3"
"Saint-Germain-des-Près","3"
"Innsbruck","3"
"Saint-Amand Abbey","3"
"Sevilla","3"
"Winchester","3"
"Heidelberg","3"
"Lambeth","3"
"Chemnitz","3"
"Lübeck","3"
"Torgau","3"
"Prague","3"
"Zwolle","3"
"Dillingen an der Donau","3"
"Houtem","3"
"Genoa","3"
"Aachen","3"
"Weinsberg","2"
"Koblenz","2"
"Saint Séverin Abbey of Château Landon","2"
"Gniezno","2"
"Munich","2"
"Abbey Saint-Martin-de-l'Île-Barbe","2"
"Wesel","2"
"Como","2"
"Amsterdam","2"
"Chelsea","2"
"Arras","2"
"Bourg-en-Bresse","2"
"Ferrara","2"
"Montpellier","2"
"Gotha","2"
"Linz","2"
"Bologna","2"
"Easthampstead","2"
"Groningen","2"
"Windsor Castle","2"
"Bergen op Zoom","2"
"Lisbon","2"
"Genève","2"
"Ottobeuren","2"
"Monastery Bois-Saint-Martin //  St Maartensbos","2"
"Kostelec nad Labem","2"
"Passau","2"
"Chambéry","2"
"Nozeroy","2"
"Buda","2"
"Langenargen","2"
"Schneeberg","1"
"Ensisheim","1"
"Baden","1"
"Cluny Abbey","1"
"Schloss Hambach","1"
"Lyon","1"
"Altomünster Abbey","1"
"Bressanone","1"
"Sopron","1"
"Woking","1"
"Saint-Bel Castle","1"
"Vic-sur-Seille","1"
"Metz","1"
"Perugia","1"
"Chartres","1"
"Grandson","1"
"Arlon","1"
"Montbéliard","1"
"Hampton Court Palace","1"
"Gorinchem","1"
"Frombork","1"
"Woodstock","1"
"Murano","1"
"Ordingen","1"
"Znojmo","1"
"Leiden","1"
"Aberdeen","1"
"Bayeux","1"
"Reggio nell'Emilia","1"
"Courtebourne","1"
"Valladolid","1"
"Manoir la Cour-des-Pins","1"
"Palencia","1"
"Canterbury","1"
"Brühl","1"
"Schloss Steinheim","1"
"Gembloux","1"
"Jena","1"
"Trier","1"
"Butzbach","1"
"Saint-Augustin-lès-Thérouanne Abbey","1"
"Glarus","1"
"Bratislava","1"
"Siena","1"
"Franeker","1"
"The More Palace","1"
"Denny Abbey","1"
"Veere","1"
"Holyrood Palace in Edinburgh","1"
"Marburg an der Lahn","1"
"Angoulême","1"
"Napoli","1"
"Bonn","1"
"Salamanca","1"
"Emmerich","1"
"Waldburg Castle","1"
"Trzebiatów","1"
"Lützel Abbey","1"
"Otford","1"
"Saint-Hubert Abbey","1"
"Glastonbury Abbey","1"
"Lens St. Croix","1"
"Brescia","1"
"Sion Abbey","1"
"Mulhouse","1"
"Bern","1"
"Grande Chartreuse","1"
