"locations_name_modern","YEAR","COUNT"
"Antwerpen","1517","8"
"Antwerpen","1518","2"
"Antwerpen","1523","1"
"Antwerpen","1525","4"
"Antwerpen","1526","7"
"Antwerpen","1527","2"
"Antwerpen","1528","5"
"Antwerpen","1529","4"
"Antwerpen","1530","4"
"Antwerpen","1531","5"
"Antwerpen","1532","2"
"Antwerpen","1533","1"
"Antwerpen","1535","5"
"Antwerpen","1536","1"
"Augsburg","1518","1"
"Augsburg","1521","1"
"Augsburg","1529","1"
"Augsburg","1530","23"
"Augsburg","1531","6"
"Augsburg","1532","1"
"Augsburg","1533","3"
"Augsburg","1534","8"
"Augsburg","1535","3"
"Augsburg","1536","1"
"Basel","1514","1"
"Basel","1515","5"
"Basel","1516","8"
"Basel","1517","11"
"Basel","1518","1"
"Basel","1519","2"
"Basel","1520","2"
"Basel","1521","2"
"Basel","1524","1"
"Basel","1525","2"
"Basel","1526","1"
"Basel","1527","1"
"Basel","1528","1"
"Basel","1529","9"
"Basel","1530","8"
"Basel","1531","21"
"Basel","1532","10"
"Basel","1533","10"
"Basel","1534","9"
"Basel","1535","3"
"Besançon","1528","2"
"Besançon","1529","2"
"Besançon","1530","1"
"Besançon","1534","1"
"Besançon","1536","3"
"Brugge","1517","1"
"Brugge","1520","2"
"Brugge","1521","1"
"Brugge","1522","4"
"Brugge","1523","1"
"Brugge","1524","1"
"Brugge","1525","1"
"Brugge","1526","2"
"Brugge","1527","4"
"Brugge","1528","1"
"Brugge","1529","1"
"Brugge","1530","1"
"Brugge","1531","1"
"Brugge","1534","1"
"Brussels","1516","4"
"Brussels","1517","4"
"Brussels","1519","1"
"Brussels","1521","1"
"Brussels","1522","3"
"Brussels","1524","1"
"Brussels","1531","4"
"Brussels","1532","3"
"Brussels","1533","8"
"Brussels","1534","4"
"Dresden","1517","1"
"Dresden","1522","1"
"Dresden","1523","1"
"Dresden","1524","3"
"Dresden","1525","2"
"Dresden","1526","1"
"Dresden","1527","1"
"Dresden","1528","1"
"Dresden","1529","2"
"Frankfurt am Main","1514","1"
"Frankfurt am Main","1516","1"
"Frankfurt am Main","1517","1"
"Frankfurt am Main","1518","2"
"Frankfurt am Main","1519","1"
"Frankfurt am Main","1527","1"
"Frankfurt am Main","1529","1"
"Frankfurt am Main","1530","1"
"Frankfurt am Main","1532","2"
"Frankfurt am Main","1533","1"
"Freiburg","1514","6"
"Freiburg","1515","5"
"Freiburg","1516","2"
"Freiburg","1518","1"
"Freiburg","1520","3"
"Freiburg","1522","1"
"Freiburg","1529","6"
"Freiburg","1530","1"
"Freiburg","1531","2"
"Freiburg","1532","12"
"Freiburg","1533","7"
"Freiburg","1534","1"
"Freiburg","1535","3"
"Gent","1517","5"
"Gent","1522","1"
"Gent","1523","1"
"Gent","1531","1"
"Gent","1533","1"
"Köln","1515","1"
"Köln","1516","1"
"Köln","1517","3"
"Köln","1518","1"
"Köln","1520","1"
"Köln","1522","1"
"Köln","1526","1"
"Köln","1528","1"
"Köln","1530","1"
"Köln","1532","1"
"Köln","1533","2"
"Köln","1534","1"
"Köln","1535","5"
"Köln","1536","1"
"Konstanz","1517","1"
"Konstanz","1519","1"
