"Location Name","Number of letters sent from this location from Erasmus"
"Basel","672"
"Freiburg","481"
"Leuven","401"
"Antwerpen","88"
"Paris","73"
"Cambridge","33"
"London","33"
"Steyn Monastery","28"
"Brussels","28"
"Anderlecht","21"
"Tournehem-sur-la-Hem","11"
"Orléans","11"
"Saint-Omer","11"
"Oxford","10"
"Brugge","9"
"Köln","7"
"Bologna","6"
"Mechelen","5"
"Hammes // Hammes castle","4"
"Courtebourne","4"
"Florence","3"
"Rochester","3"
"Padova","2"
"Unknown Location in England","2"
"Gouda","2"
"Landbeach","2"
"Venice","1"
"Halsteren","1"
"Calais","1"
"Liège","1"
"Frankfurt am Main","1"
"Dover","1"
"Unknown Location","1"
"Greenwich","1"
