"locations_name_modern","YEAR","COUNT"
"Antwerp","1519","22"
"Antwerp","1520","14"
"Antwerp","1521","2"
"Antwerp","1504","2"
"Antwerp","1515","1"
"Antwerp","1516","12"
"Antwerp","1517","28"
"Antwerp","1518","6"
"Antwerp","1499","1"
"Basel","1524","90"
"Basel","1521","7"
"Basel","1522","45"
"Basel","1523","43"
"Basel","1525","90"
"Basel","1526","72"
"Basel","1527","94"
"Basel","1528","103"
"Basel","1529","39"
"Basel","1514","8"
"Basel","1535","22"
"Basel","1536","19"
"Basel","1515","15"
"Basel","1516","13"
"Basel","1518","13"
"Freiburg im Breisgau","1529","60"
"Freiburg im Breisgau","1530","105"
"Freiburg im Breisgau","1531","106"
"Freiburg im Breisgau","1532","77"
"Freiburg im Breisgau","1533","76"
"Freiburg im Breisgau","1534","41"
"Freiburg im Breisgau","1535","16"
"Leuven","1519","79"
"Leuven","1518","120"
"Leuven","1520","75"
"Leuven","1521","20"
"Leuven","1502","2"
"Leuven","1503","5"
"Leuven","1514","1"
"Leuven","1517","99"
"Paris","1499","7"
"Paris","1500","10"
"Paris","1501","10"
"Paris","1504","1"
"Paris","1505","2"
"Paris","1506","5"
"Paris","1511","2"
"Paris","1495","2"
"Paris","1496","2"
"Paris","1497","16"
"Paris","1498","16"
