"Location Name","Latitude","Longitude","Number of letters sent from this location from Erasmus"
"Basel","47.5584","7.57327","672"
"Freiburg","47.9959","7.85222","481"
"Leuven","50.87959","4.70093","401"
"Antwerpen","51.21989","4.40346","88"
"Paris","48.85341","2.3488","73"
"London","51.50853","-0.12574","33"
"Cambridge","52.2","0.11667","33"
"Steyn Monastery","52.00333","4.78194","28"
"Brussels","50.85045","4.34878","28"
"Anderlecht","50.83619","4.31454","21"
"Tournehem-sur-la-Hem","50.8","2.05","11"
"Orléans","47.90289","1.90389","11"
"Saint-Omer","50.75","2.25","11"
"Oxford","51.75222","-1.25596","10"
"Brugge","51.20892","3.22424","9"
"Köln","50.93333","6.95","7"
"Bologna","44.49381","11.33875","6"
"Mechelen","51.02574","4.47762","5"
"Courtebourne","50.79147","1.94752","4"
"Hammes // Hammes castle","50.88178","1.84338","4"
"Rochester","51.38764","0.50546","3"
"Florence","43.77925","11.24626","3"
"Padova","45.40797","11.88586","2"
"Landbeach","52.26448","0.16226","2"
"Gouda","52.01667","4.70833","2"
"Frankfurt am Main","50.11552","8.68417","1"
"Halsteren","51.52834","4.26785","1"
"Dover","51.13333","1.3","1"
"Liège","50.63373","5.56749","1"
"Calais","50.95194","1.85635","1"
"Venice","45.43713","12.33265","1"
"Greenwich","51.47785","-0.01176","1"
