"ModernState","Year","NoEppSentFromEra","NoEppSentToEra"
"Netherlands","1524","NULL","NULL"
"Switzerland","1524","5","4"
"Czech Republic","1524","NULL","NULL"
"Germany","1524","27","17"
"Spain","1524","2","NULL"
"Poland","1524","NULL","NULL"
"United Kingdom","1524","15","1"
"Austria","1524","2","1"
"France","1524","16","6"
"Italy","1524","10","4"
"Unknown","1524","2","NULL"
"Belgium","1524","12","5"
"Hungary","1524","NULL","NULL"
"Portugal","1524","NULL","NULL"
"Slovakia","1524","NULL","NULL"
"Netherlands","1530","3","1"
"Switzerland","1530","12","8"
"Czech Republic","1530","NULL","NULL"
"Germany","1530","42","31"
"Spain","1530","10","1"
"Poland","1530","3","NULL"
"United Kingdom","1530","5","NULL"
"Austria","1530","1","2"
"France","1530","10","8"
"Italy","1530","6","1"
"Unknown","1530","4","3"
"Belgium","1530","9","13"
"Hungary","1530","NULL","NULL"
"Portugal","1530","NULL","NULL"
"Slovakia","1530","NULL","NULL"
"Netherlands","1531","1","NULL"
"Switzerland","1531","26","21"
"Czech Republic","1531","NULL","1"
"Germany","1531","26","16"
"Spain","1531","1","2"
"Poland","1531","1","2"
"United Kingdom","1531","5","1"
"Austria","1531","2","5"
"France","1531","17","5"
"Italy","1531","4","2"
"Unknown","1531","5","NULL"
"Belgium","1531","19","13"
"Hungary","1531","NULL","NULL"
"Portugal","1531","NULL","NULL"
"Slovakia","1531","NULL","NULL"
"Netherlands","1532","4","1"
"Switzerland","1532","20","12"
"Czech Republic","1532","1","1"
"Germany","1532","22","34"
"Spain","1532","NULL","NULL"
"Poland","1532","2","2"
"United Kingdom","1532","1","2"
"Austria","1532","1","3"
"France","1532","8","6"
"Italy","1532","10","12"
"Unknown","1532","1","1"
"Belgium","1532","7","6"
"Hungary","1532","NULL","NULL"
"Portugal","1532","NULL","NULL"
"Slovakia","1532","NULL","NULL"
"Netherlands","1533","2","3"
"Switzerland","1533","18","10"
"Czech Republic","1533","NULL","NULL"
"Germany","1533","12","19"
"Spain","1533","2","NULL"
"Poland","1533","4","3"
"United Kingdom","1533","4","4"
"Austria","1533","1","4"
"France","1533","11","1"
"Italy","1533","4","8"
"Unknown","1533","1","NULL"
"Belgium","1533","17","14"
"Hungary","1533","NULL","NULL"
"Portugal","1533","NULL","NULL"
"Slovakia","1533","NULL","NULL"
"Netherlands","1534","1","NULL"
"Switzerland","1534","7","9"
"Czech Republic","1534","NULL","2"
"Germany","1534","5","18"
"Spain","1534","1","NULL"
"Poland","1534","2","1"
