"Modern State","Number of letters Erasmus sent to this modern state this year","send_date_year1"
"Netherlands","1","1484"
"Netherlands","9","1487"
"Unknown","1","1488"
"Netherlands","5","1488"
"Netherlands","11","1489"
"Unknown","1","1489"
"Belgium","1","1489"
"Netherlands","4","1494"
"Netherlands","1","1495"
"France","2","1495"
"Netherlands","1","1496"
"France","1","1496"
"Netherlands","1","1497"
"France","10","1497"
"Unknown","4","1497"
"Belgium","1","1497"
"Unknown","2","1498"
"Belgium","1","1498"
"Netherlands","5","1498"
"Germany","3","1498"
"France","7","1498"
"France","11","1499"
"Italy","1","1499"
"United Kingdom","13","1499"
"Belgium","1","1500"
"United Kingdom","1","1500"
"France","17","1500"
"Unknown","2","1500"
"France","20","1501"
"Belgium","2","1501"
"United Kingdom","1","1501"
"Unknown","2","1501"
"Netherlands","2","1502"
"France","2","1502"
"France","1","1503"
"Netherlands","2","1503"
"Belgium","2","1503"
"Belgium","1","1504"
"United Kingdom","1","1504"
"France","1","1504"
"Belgium","1","1505"
"United Kingdom","1","1505"
"Netherlands","2","1505"
"Belgium","2","1506"
"France","1","1506"
"United Kingdom","9","1506"
"Netherlands","6","1506"
"Italy","2","1507"
"United Kingdom","1","1507"
"Italy","2","1508"
"United Kingdom","1","1508"
"United Kingdom","20","1511"
"France","2","1512"
"Italy","2","1512"
"United Kingdom","5","1512"
"Belgium","2","1512"
"United Kingdom","15","1513"
"Germany","4","1514"
"Netherlands","1","1514"
"Belgium","5","1514"
"France","3","1514"
"United Kingdom","8","1514"
"Switzerland","1","1515"
"Germany","8","1515"
"United Kingdom","5","1515"
"France","1","1515"
"Belgium","3","1515"
"Italy","3","1515"
"Unknown","1","1515"
"Italy","3","1516"
"France","5","1516"
"Germany","8","1516"
"Belgium","9","1516"
"United Kingdom","16","1516"
"Switzerland","6","1516"
"France","27","1517"
"Netherlands","10","1517"
"Germany","14","1517"
"Italy","5","1517"
"Spain","2","1517"
"Belgium","44","1517"
"United Kingdom","17","1517"
"Switzerland","19","1517"
"Netherlands","8","1518"
"Spain","6","1518"
"Belgium","32","1518"
"United Kingdom","35","1518"
"Germany","22","1518"
"Italy","6","1518"
"France","22","1518"
"Switzerland","10","1518"
"Poland","2","1519"
"Italy","4","1519"
"Belgium","33","1519"
"Germany","24","1519"
"France","14","1519"
"Netherlands","4","1519"
"Switzerland","1","1519"
"United Kingdom","20","1519"
"Czech Republic","2","1519"
"Unknown","3","1519"
"Spain","1","1520"
"Poland","2","1520"
"Netherlands","4","1520"
"Unknown","2","1520"
"France","8","1520"
"Germany","36","1520"
"Switzerland","2","1520"
"Italy","7","1520"
"United Kingdom","13","1520"
"Belgium","23","1520"
"Belgium","22","1521"
"Netherlands","2","1521"
"Unknown","1","1521"
"Switzerland","3","1521"
"United Kingdom","9","1521"
"Spain","2","1521"
"France","5","1521"
"Czech Republic","3","1521"
"Italy","4","1521"
"Germany","10","1521"
"United Kingdom","2","1522"
"Czech Republic","1","1522"
"Italy","7","1522"
"Spain","2","1522"
"France","4","1522"
"Switzerland","5","1522"
"Unknown","1","1522"
"Belgium","9","1522"
"Germany","14","1522"
"Italy","5","1523"
"France","4","1523"
"Poland","1","1523"
"Spain","1","1523"
"United Kingdom","5","1523"
"Belgium","5","1523"
"Germany","15","1523"
"Switzerland","7","1523"
"Belgium","12","1524"
"Spain","2","1524"
"Austria","2","1524"
"Unknown","2","1524"
"United Kingdom","15","1524"
"Switzerland","5","1524"
"Italy","10","1524"
"Germany","27","1524"
"France","16","1524"
"Poland","3","1525"
"Czech Republic","1","1525"
"Belgium","19","1525"
"Spain","3","1525"
"Italy","21","1525"
"France","15","1525"
"Netherlands","1","1525"
"Unknown","3","1525"
"Hungary","1","1525"
"Switzerland","6","1525"
"Germany","15","1525"
"United Kingdom","3","1525"
"France","16","1526"
"Switzerland","2","1526"
"Belgium","12","1526"
"Italy","8","1526"
"Unknown","3","1526"
"United Kingdom","7","1526"
"Spain","6","1526"
"Poland","4","1526"
"Slovakia","1","1526"
"Hungary","1","1526"
"Germany","13","1526"
"United Kingdom","10","1527"
"Unknown","3","1527"
"Germany","11","1527"
"Switzerland","7","1527"
"Poland","12","1527"
"Belgium","16","1527"
"Portugal","1","1527"
"Italy","1","1527"
"Spain","14","1527"
"France","20","1527"
"Spain","11","1528"
"Poland","6","1528"
"Czech Republic","3","1528"
"Netherlands","2","1528"
"Unknown","2","1528"
"United Kingdom","7","1528"
"France","26","1528"
"Italy","3","1528"
"Switzerland","3","1528"
"Belgium","17","1528"
"Germany","23","1528"
"Poland","8","1529"
"Spain","7","1529"
"Netherlands","1","1529"
"Switzerland","23","1529"
"Unknown","1","1529"
"Italy","5","1529"
"Austria","3","1529"
"Germany","26","1529"
"France","18","1529"
"Hungary","1","1529"
"Belgium","4","1529"
"United Kingdom","2","1529"
"Italy","7","1530"
"Spain","10","1530"
"Switzerland","12","1530"
"Netherlands","3","1530"
"Belgium","9","1530"
"United Kingdom","6","1530"
"Unknown","3","1530"
"Germany","43","1530"
"France","11","1530"
"Austria","1","1530"
"Poland","3","1530"
"Italy","4","1531"
"Netherlands","1","1531"
"Poland","2","1531"
"Spain","1","1531"
"Belgium","19","1531"
"Austria","2","1531"
"Unknown","5","1531"
"United Kingdom","5","1531"
"Switzerland","25","1531"
"France","17","1531"
"Germany","26","1531"
"Austria","1","1532"
"United Kingdom","1","1532"
"Netherlands","4","1532"
"Unknown","1","1532"
"Belgium","7","1532"
"Czech Republic","1","1532"
"Italy","10","1532"
"Germany","22","1532"
"Poland","2","1532"
"France","8","1532"
"Switzerland","20","1532"
"Switzerland","18","1533"
"France","11","1533"
"Spain","3","1533"
"Unknown","1","1533"
"Austria","1","1533"
"Italy","4","1533"
"Netherlands","2","1533"
"Poland","4","1533"
"United Kingdom","4","1533"
"Belgium","17","1533"
"Germany","12","1533"
"Netherlands","1","1534"
"Portugal","1","1534"
"Poland","2","1534"
"Germany","5","1534"
"Spain","1","1534"
"France","2","1534"
"Unknown","1","1534"
"Italy","7","1534"
"Switzerland","8","1534"
"Belgium","13","1534"
"France","4","1535"
"Poland","3","1535"
"Belgium","4","1535"
"Germany","9","1535"
"Switzerland","7","1535"
"Italy","12","1535"
"Switzerland","3","1536"
"Germany","3","1536"
"Austria","1","1536"
"Poland","2","1536"
"United Kingdom","3","1536"
"France","4","1536"
"Belgium","3","1536"
