"Modern State","Number of letters sent from this modern state to Erasmus this year","send_date_year1"
"Unknown","1","NULL"
"Netherlands","4","1489"
"Netherlands","2","1493"
"France","3","1495"
"Unknown","1","1497"
"France","1","1498"
"United Kingdom","3","1499"
"France","3","1499"
"France","1","1500"
"Netherlands","1","1503"
"France","1","1505"
"Italy","1","1506"
"United Kingdom","1","1507"
"Italy","1","1508"
"Italy","2","1509"
"United Kingdom","2","1509"
"Italy","3","1511"
"United Kingdom","11","1511"
"Belgium","1","1511"
"France","1","1511"
"United Kingdom","2","1512"
"Italy","1","1512"
"France","2","1512"
"United Kingdom","1","1513"
"Switzerland","1","1514"
"Germany","7","1514"
"Belgium","1","1514"
"United Kingdom","2","1514"
"Netherlands","1","1514"
"France","2","1514"
"Belgium","4","1515"
"Switzerland","5","1515"
"Germany","12","1515"
"France","13","1515"
"United Kingdom","1","1515"
"Italy","2","1515"
"France","15","1516"
"Switzerland","9","1516"
"Belgium","11","1516"
"United Kingdom","24","1516"
"Germany","11","1516"
"Netherlands","4","1516"
"Unknown","1","1516"
"Germany","20","1517"
"Belgium","26","1517"
"Switzerland","12","1517"
"France","15","1517"
"United Kingdom","14","1517"
"Netherlands","4","1517"
"Italy","5","1517"
"Belgium","6","1518"
"Germany","6","1518"
"Switzerland","1","1518"
"United Kingdom","2","1518"
"France","3","1518"
"Italy","4","1518"
"Poland","2","1518"
"Germany","9","1519"
"Switzerland","2","1519"
"Belgium","7","1519"
"Czech Republic","1","1519"
"United Kingdom","2","1519"
"France","11","1519"
"Italy","1","1519"
"Netherlands","2","1519"
"Poland","1","1519"
"Switzerland","2","1520"
"Belgium","5","1520"
"United Kingdom","5","1520"
"Germany","8","1520"
"France","2","1520"
"Italy","1","1520"
"Czech Republic","1","1520"
"Germany","4","1521"
"Switzerland","2","1521"
"Belgium","3","1521"
"Italy","3","1521"
"United Kingdom","1","1521"
"France","1","1521"
"Spain","1","1521"
"France","4","1522"
"Germany","10","1522"
"Belgium","15","1522"
"Czech Republic","2","1522"
"Italy","4","1522"
"Austria","2","1522"
"Belgium","6","1523"
"France","7","1523"
"Germany","10","1523"
"Switzerland","1","1523"
"United Kingdom","2","1523"
"Italy","1","1523"
"Switzerland","4","1524"
"Belgium","5","1524"
"Germany","17","1524"
"United Kingdom","1","1524"
"France","6","1524"
"Italy","4","1524"
"Austria","1","1524"
"Germany","5","1525"
"Belgium","6","1525"
"Switzerland","2","1525"
"Hungary","2","1525"
"Italy","9","1525"
"Poland","1","1525"
"United Kingdom","1","1525"
"France","6","1525"
"Spain","1","1525"
"Austria","1","1525"
"Belgium","12","1526"
"Germany","14","1526"
"Switzerland","2","1526"
"Hungary","1","1526"
"Spain","3","1526"
"United Kingdom","4","1526"
"France","3","1526"
"Poland","1","1526"
"Italy","1","1526"
"Germany","7","1527"
"Belgium","19","1527"
"Switzerland","1","1527"
"Spain","13","1527"
"France","6","1527"
"Hungary","1","1527"
"United Kingdom","3","1527"
"Poland","3","1527"
"Czech Republic","1","1527"
"Austria","1","1527"
"United Kingdom","4","1528"
"Belgium","15","1528"
"Germany","12","1528"
"Switzerland","2","1528"
"France","11","1528"
"Hungary","2","1528"
"Poland","4","1528"
"Spain","2","1528"
"Czech Republic","1","1528"
"Belgium","10","1529"
"Germany","18","1529"
"Spain","4","1529"
"Switzerland","9","1529"
"France","9","1529"
"Italy","3","1529"
"United Kingdom","6","1529"
"Austria","2","1529"
"Czech Republic","1","1529"
"Netherlands","1","1530"
"Belgium","13","1530"
"France","9","1530"
"Germany","31","1530"
"Switzerland","8","1530"
"Austria","2","1530"
"Spain","1","1530"
"Unknown","2","1530"
"Italy","1","1530"
"Spain","2","1531"
"Belgium","14","1531"
"Germany","16","1531"
"Switzerland","21","1531"
"Austria","5","1531"
"Poland","2","1531"
"United Kingdom","1","1531"
"Italy","2","1531"
"France","5","1531"
"Czech Republic","1","1531"
"Belgium","6","1532"
"Germany","34","1532"
"Switzerland","12","1532"
"France","6","1532"
"United Kingdom","2","1532"
"Netherlands","1","1532"
"Austria","3","1532"
"Poland","2","1532"
"Czech Republic","1","1532"
"Italy","12","1532"
"Unknown","1","1532"
"Belgium","14","1533"
"Germany","18","1533"
"Switzerland","10","1533"
"France","1","1533"
"United Kingdom","4","1533"
"Italy","8","1533"
"Poland","3","1533"
"Netherlands","3","1533"
"Spain","1","1533"
"Austria","4","1533"
"Germany","18","1534"
"Switzerland","8","1534"
"France","6","1534"
"Belgium","6","1534"
"Italy","8","1534"
"United Kingdom","1","1534"
"Poland","1","1534"
"Czech Republic","2","1534"
"Belgium","8","1535"
"Germany","18","1535"
"Switzerland","6","1535"
"Italy","16","1535"
"Poland","3","1535"
"United Kingdom","1","1535"
"France","6","1535"
"Austria","1","1535"
"Belgium","2","1536"
"Germany","7","1536"
"France","10","1536"
"Italy","7","1536"
"Poland","3","1536"
"United Kingdom","1","1536"
"Austria","1","1536"
