"Year","Number of letters with inferred send date","Number of letters with non-inferred send date"
"NULL","NULL","NULL"
"1484","1","NULL"
"1487","9","NULL"
"1488","6","NULL"
"1489","13","NULL"
"1493","NULL","NULL"
"1494","4","NULL"
"1495","3","NULL"
"1496","1","1"
"1497","16","NULL"
"1498","16","2"
"1499","22","3"
"1500","20","1"
"1501","23","2"
"1502","4","NULL"
"1503","3","2"
"1504","3","NULL"
"1505","4","NULL"
"1506","14","4"
"1507","3","NULL"
"1508","3","NULL"
"1509","NULL","NULL"
"1511","13","7"
"1512","8","3"
"1513","12","2"
"1514","15","6"
"1515","18","4"
"1516","34","13"
"1517","89","46"
"1518","81","60"
"1519","37","70"
"1520","43","54"
"1521","24","37"
"1522","7","38"
"1523","19","24"
"1524","17","74"
"1525","18","72"
"1526","12","61"
"1527","15","79"
"1528","20","83"
"1529","17","82"
"1530","27","78"
"1531","20","87"
"1532","28","49"
"1533","13","63"
"1534","5","35"
"1535","10","26"
"1536","2","18"
