"Year","Number of letters with inferred send date","Number of letters with non-inferred send date"
"","NULL","1"
"1484","NULL","NULL"
"1487","NULL","NULL"
"1488","NULL","NULL"
"1489","4","NULL"
"1493","2","NULL"
"1494","NULL","NULL"
"1495","3","NULL"
"1496","NULL","NULL"
"1497","1","NULL"
"1498","1","NULL"
"1499","6","NULL"
"1500","NULL","1"
"1501","NULL","NULL"
"1502","NULL","NULL"
"1503","NULL","1"
"1504","NULL","NULL"
"1505","NULL","1"
"1506","NULL","1"
"1507","1","NULL"
"1508","NULL","1"
"1509","2","2"
"1511","11","5"
"1512","4","1"
"1513","1","NULL"
"1514","5","9"
"1515","12","25"
"1516","47","28"
"1517","52","44"
"1518","13","11"
"1519","20","16"
"1520","14","10"
"1521","3","12"
"1522","12","25"
"1523","7","20"
"1524","6","32"
"1525","5","29"
"1526","8","33"
"1527","18","37"
"1528","11","42"
"1529","16","46"
"1530","10","58"
"1531","18","50"
"1532","23","57"
"1533","17","49"
"1534","10","41"
"1535","10","48"
"1536","6","25"
