"send_date_year1","NoEppSentFromEra","NoEppSentToEra"
"","NULL","1"
"1484","1","NULL"
"1487","9","NULL"
"1488","7","NULL"
"1489","12","4"
"1493","NULL","2"
"1494","4","NULL"
"1495","3","3"
"1496","2","NULL"
"1497","16","1"
"1498","18","1"
"1499","25","6"
"1500","21","1"
"1501","25","NULL"
"1502","4","NULL"
"1503","5","1"
"1504","3","NULL"
"1505","4","1"
"1506","18","1"
"1507","3","1"
"1508","3","1"
"1509","NULL","4"
"1511","20","16"
"1512","11","5"
"1513","14","1"
"1514","21","14"
"1515","22","37"
"1516","47","75"
"1517","135","96"
"1518","141","24"
"1519","107","36"
"1520","97","24"
"1521","61","15"
"1522","44","37"
"1523","44","27"
"1524","91","38"
"1525","90","34"
"1526","73","41"
"1527","94","55"
"1528","103","53"
"1529","99","62"
"1530","105","68"
"1531","107","68"
"1532","77","80"
"1533","76","66"
"1534","40","51"
"1535","36","58"
"1536","20","31"
