"send_date_computable1","NoEppSentFromEra"
"1524-03-01","3"
"1484-11-01","1"
"1487-01-01","9"
"1519-07-31","1"
"1519-07-01","2"
"1519-08-07","1"
"1519-08-09","3"
"1519-08-10","1"
"1519-08-11","1"
"1519-08-13","2"
"1519-08-15","1"
"1499-05-01","4"
"1519-09-09","1"
"1519-09-10","1"
"1519-09-11","1"
"1519-09-01","2"
"1519-10-02","3"
"1518-11-01","4"
"1519-09-15","1"
"1519-10-15","2"
"1519-10-16","5"
"1499-06-01","1"
"1519-10-17","2"
"1519-10-18","1"
"1519-10-19","1"
"1519-10-20","1"
"1519-11-01","2"
"1499-09-01","1"
"1519-10-01","2"
"1519-12-01","3"
"1519-01-01","4"
"1499-10-01","5"
"1519-12-07","1"
"1519-12-13","1"
"1519-12-19","1"
"1520-01-01","5"
"1520-01-07","1"
"1519-12-15","1"
"1520-02-01","2"
"1520-02-05","3"
"1520-02-16","1"
"1520-02-17","1"
"1520-02-21","1"
"1520-02-23","2"
"1520-02-20","1"
"1520-03-01","1"
"1520-03-07","1"
"1520-03-15","4"
"1520-03-19","1"
"1520-03-20","1"
"1520-04-09","1"
"1520-04-13","1"
"1520-04-17","1"
"1520-04-26","1"
"1520-05-02","1"
"1520-05-03","1"
"1520-05-05","1"
"1488-01-01","6"
"1520-05-15","2"
"1520-05-16","1"
"1520-04-01","1"
"1520-06-01","3"
"1520-05-01","1"
"1520-06-05","1"
"1520-06-15","1"
"1520-06-21","3"
"1520-06-25","2"
"1520-07-06","1"
"1520-07-30","1"
"1520-07-31","5"
"1520-08-01","2"
"1520-08-02","2"
"1499-10-28","2"
"1518-01-01","5"
"1520-08-07","1"
"1520-08-09","1"
"1520-08-13","1"
"1520-08-31","1"
"1520-09-01","1"
"1520-09-05","1"
"1520-09-09","2"
"1520-09-13","2"
"1520-09-26","1"
"1520-10-01","2"
"1520-10-03","1"
"1499-11-01","3"
"1520-10-04","1"
"1520-10-08","2"
"1520-10-18","1"
"1520-11-08","1"
"1520-11-09","1"
"1520-11-11","2"
"1520-11-13","1"
"1520-11-01","2"
"1520-11-30","1"
"1520-12-01","2"
"1520-12-06","2"
"1520-12-13","2"
"1520-12-16","2"
"1520-12-18","1"
"1520-12-20","1"
"1520-12-23","1"
"1520-12-31","2"
"1521-01-06","1"
"1499-12-05","1"
"1521-01-17","1"
"1521-01-26","1"
"1521-01-28","1"
"1521-02-16","2"
"1521-02-25","1"
"1521-03-01","4"
"1500-02-02","1"
"1521-01-01","1"
"1521-03-13","2"
"1521-03-25","1"
"1521-03-10","1"
"1521-04-15","1"
"1521-04-30","1"
"1521-05-10","1"
"1521-05-14","1"
"1521-05-01","1"
"1521-05-24","1"
"1521-05-27","1"
"1521-05-31","1"
"1521-06-08","1"
"1500-03-01","4"
"1521-06-11","1"
