"send_date_computable1","NoEppSentToEra"
"1530-08-01","1"
"1530-08-09","1"
"1530-08-13","1"
"1530-08-28","1"
"1530-08-31","2"
"1530-09-01","1"
"1530-09-10","1"
"1530-09-17","2"
"1530-09-18","1"
"1530-09-19","1"
"1530-09-20","2"
"1530-09-21","1"
"1530-10-01","1"
"1530-10-07","1"
"1530-10-13","1"
"1530-10-19","1"
"1530-10-25","1"
"1530-10-26","1"
"1530-10-27","1"
"1530-10-29","1"
"1530-11-01","1"
"1530-11-08","1"
"1530-11-14","1"
"1530-11-16","1"
"1530-11-19","1"
"1530-12-18","1"
"1530-01-01","2"
"1531-01-27","1"
"1531-02-01","2"
"1531-02-02","1"
"1531-02-22","1"
"1531-03-01","1"
"1531-03-02","1"
"1531-03-03","2"
"1531-03-25","1"
"1531-03-20","1"
"1531-04-03","2"
"1531-04-04","1"
"1531-04-10","1"
"1531-04-01","1"
"1531-05-02","1"
"1531-05-12","1"
"1531-05-16","1"
"1531-06-01","1"
"1531-06-06","1"
"1531-06-08","1"
"1531-06-12","1"
"1531-06-21","1"
"1531-06-25","1"
"1531-06-26","1"
"1531-06-28","1"
"1531-07-06","1"
"1531-07-12","1"
"1531-07-25","1"
"1531-07-01","1"
"1531-08-14","1"
"1531-08-17","2"
"1531-08-21","1"
"1531-08-28","1"
"1531-09-06","1"
"1531-09-15","2"
"1531-09-14","1"
"1531-09-19","2"
"1531-09-20","2"
"1531-09-25","1"
"1531-09-27","1"
"1531-10-09","2"
"1531-10-18","1"
"1531-10-19","2"
"1531-10-31","2"
"1531-11-01","2"
"1531-11-17","1"
"1531-11-18","1"
"1531-11-19","2"
"1531-11-23","3"
"1531-12-09","1"
"1531-12-20","1"
"1531-12-27","1"
"1531-12-30","1"
"1532-01-02","1"
"1532-01-16","1"
"1532-01-17","2"
"1532-01-24","1"
"1532-02-04","1"
"1532-02-06","1"
"1532-02-10","1"
"1532-02-12","1"
"1532-02-18","2"
"1532-03-01","1"
"1532-03-07","1"
"1532-03-16","2"
"1532-03-17","2"
"1532-03-20","1"
"1532-03-22","1"
"1532-03-28","1"
"1532-03-30","2"
"1532-04-01","3"
"1532-04-06","1"
"1532-04-15","1"
"1532-05-08","1"
"1532-05-15","1"
"1532-06-01","2"
"1532-06-05","1"
"1532-06-07","1"
"1532-06-08","2"
"1532-06-14","1"
"1532-06-16","1"
"1532-06-19","1"
"1532-06-26","1"
"1532-07-01","8"
"1532-07-04","1"
"1532-07-07","1"
"1532-07-09","1"
"1532-07-10","1"
"1532-07-19","1"
"1532-07-26","1"
"1532-08-01","1"
"1532-08-08","1"
"1532-08-28","1"
"1532-08-29","2"
"1532-09-02","2"
"1532-09-08","2"
"1532-09-09","2"
"1532-09-17","1"
"1532-09-01","3"
"1532-10-01","1"
"1532-10-15","1"
"1532-10-19","1"
"1532-10-25","1"
"1532-11-13","2"
"1532-11-22","1"
"1532-11-26","2"
"1532-11-30","1"
"1532-12-03","1"
"1532-12-07","1"
"1533-01-04","1"
"1533-01-14","1"
"1533-01-22","1"
"1533-01-31","1"
"1533-02-13","2"
"1533-02-15","1"
"1533-02-22","1"
"1533-02-01","1"
"1533-03-27","1"
"1533-03-29","1"
"1533-03-30","1"
"1533-04-04","1"
"1533-04-10","1"
"1533-04-17","1"
"1533-04-21","1"
"1533-04-27","1"
"1533-04-01","1"
"1533-05-03","1"
"1533-05-05","1"
"1533-05-11","1"
"1533-05-15","1"
"1533-06-05","1"
"1533-06-08","1"
"1533-06-09","2"
"1533-06-13","1"
"1533-06-14","1"
"1533-06-16","1"
"1533-06-18","1"
"1533-06-19","1"
"1533-06-20","5"
"1533-06-21","1"
"1533-06-24","1"
"1533-06-26","1"
"1533-06-01","1"
"1533-07-01","1"
"1533-07-07","1"
"1533-07-09","1"
"1533-07-12","1"
"1533-07-14","1"
"1533-07-25","2"
"1533-07-26","1"
"1533-08-02","1"
"1533-08-06","1"
"1533-08-08","1"
"1533-08-11","1"
"1533-08-01","1"
"1533-08-25","2"
"1533-09-02","1"
"1533-09-17","1"
"1533-10-13","1"
"1533-10-23","1"
"1533-11-28","1"
"1533-12-05","1"
"1533-12-10","1"
"1533-12-14","1"
"1533-12-24","1"
"1533-12-26","1"
"1534-01-04","1"
"1534-01-30","1"
"1534-02-11","1"
"1534-02-23","1"
"1534-03-01","1"
"1534-03-08","1"
"1534-03-12","1"
"1534-03-17","1"
"1534-04-20","3"
"1534-04-29","1"
"1534-05-10","1"
"1534-05-16","1"
"1534-05-22","1"
"1534-05-25","1"
"1534-05-23","1"
"1534-05-26","1"
"1534-06-04","1"
"1534-06-05","1"
"1534-06-09","1"
"1534-06-13","1"
"1534-06-24","1"
"1534-06-25","1"
"1534-06-26","1"
"1534-07-01","1"
"1534-07-19","1"
"1534-07-25","1"
"1534-07-27","1"
"1534-08-12","1"
"1534-08-20","1"
"1534-08-21","1"
"1534-08-22","1"
"1534-08-30","1"
"1534-09-01","1"
"1534-09-16","1"
"1534-10-01","1"
"1534-11-01","3"
"1534-11-04","1"
"1534-11-11","1"
"1534-11-20","1"
"1534-11-22","1"
"1534-12-09","1"
"1534-12-10","1"
