"send_date_year1","Total number of letters sent this year"
"1524","129"
"1534","91"
"1484","1"
"1487","9"
"1499","31"
"1519","143"
"1518","165"
"1520","121"
"1488","6"
"1521","76"
"1500","22"
"1522","82"
"1523","70"
"1501","25"
"1525","124"
"1526","114"
"1502","4"
"1489","17"
"1503","6"
"1527","149"
"1504","3"
"1505","5"
"NULL","1"
"1506","19"
"1528","156"
"1507","4"
"1529","161"
"1508","4"
"1509","4"
"1511","36"
"1530","173"
"1531","175"
"1512","16"
"1532","157"
"1513","15"
"1533","142"
"1514","35"
"1535","97"
"1536","50"
"1515","59"
"1493","2"
"1494","4"
"1516","122"
"1495","6"
"1496","2"
"1497","17"
"1517","231"
"1498","19"
