"send_date_year1","Total number of letters sent by Erasmus this year"
"1484","1"
"1487","9"
"1488","6"
"1489","13"
"1494","4"
"1495","3"
"1496","2"
"1497","16"
"1498","18"
"1499","25"
"1500","21"
"1501","25"
"1502","4"
"1503","5"
"1504","3"
"1505","4"
"1506","18"
"1507","3"
"1508","3"
"1511","20"
"1512","11"
"1513","14"
"1514","21"
"1515","22"
"1516","47"
"1517","135"
"1518","141"
"1519","107"
"1520","97"
"1521","61"
"1522","45"
"1523","43"
"1524","91"
"1525","90"
"1526","73"
"1527","94"
"1528","103"
"1529","99"
"1530","105"
"1531","106"
"1532","77"
"1533","76"
"1534","41"
"1535","38"
"1536","19"
