"send_date_year1","Total number of letters sent to Erasmus this year"
"1534","50"
"1499","6"
"1519","36"
"1520","24"
"1521","15"
"1522","37"
"1500","1"
"1523","27"
"1524","38"
"1525","34"
"1526","41"
"1503","1"
"1527","55"
"1505","1"
"NULL","1"
"1506","1"
"1489","4"
"1528","53"
"1507","1"
"1529","62"
"1508","1"
"1509","4"
"1511","16"
"1530","68"
"1531","69"
"1512","5"
"1532","80"
"1533","67"
"1513","1"
"1514","14"
"1535","59"
"1536","31"
"1515","37"
"1493","2"
"1516","75"
"1495","3"
"1517","96"
"1497","1"
"1498","1"
"1518","24"
