"Year","Number of letters with inferred send date sent this year"
"1524","23"
"1530","37"
"1531","38"
"1532","51"
"1533","30"
"1534","15"
"1535","20"
"1536","8"
"1484","1"
"1487","9"
"1499","28"
"1519","57"
"1518","94"
"1520","57"
"1488","6"
"1521","27"
"1500","20"
"1522","19"
"1523","26"
"1501","23"
"1525","23"
"1526","20"
"1502","4"
"1489","17"
"1503","3"
"1527","33"
"1504","3"
"1505","4"
"1506","14"
"1528","31"
"1507","4"
"1529","33"
"1508","3"
"1509","2"
"1511","24"
"1512","12"
"1513","13"
"1514","20"
"1515","30"
"1493","2"
"1494","4"
"1516","81"
"1495","6"
"1496","1"
"1497","17"
"1517","141"
"1498","17"
