"correspondents_id","name_in_allen_index_volume"
"6f63bbd3-e2ca-4c88-abca-8cd5c2be51c3","Accard, Marian"
"8e337b13-a43c-4100-81c0-7ee324f61eb0","Adrian VI, Pope (Adrian of Utrecht)"
"d0f24494-1fdc-4f1f-af62-eaa39fb9f1dd","Adrian of St. Omer"
"5b39e0da-fbc0-467e-a65b-901353f35879","Affenstein, Wolfgang von"
"7503a7be-c746-42ac-a313-58effb67965a","Afinius, Henricus"
"fa00c782-da06-4d8d-a604-6fdd8bd83540","Agge, Augustinus (Aggeus)"
"57cbdc43-7883-4d6a-9621-8c3645d470b7","Agricola, Georgius"
"7fa3f278-2bf3-4364-a825-bf51ef2bd8da","Agricola, John"
"f23d4906-b75d-4e3a-8835-02ef28238cd3","Agrippa, Cornelius (von Nettesheim)"
"114e993b-10b8-40d1-b547-f6157671e1ec","Agathius, Jerome"
"17414ef1-be4c-4c45-ae1c-fd7454222cf5","Alardet, Ambolard"
"418c8216-9942-4bed-a0ab-e647caa99fe7","Alardet, Louis"
"3b36145e-510a-4c4e-b786-45e5eb962ce3","Alard of Amsteram"
"7f27a8d3-dcd2-47ff-a8eb-8476f8d29c30","Brandenburg, Albert of"
"4d1cc198-928c-46e6-8d8e-ad240639f5c3","Dalban, Antony"
"639f3ce8-be9f-4993-b200-3fcde3a3b4e9","Alciati, Andrea"
"a1ee55e4-208d-4150-8b1e-8848f8dba7c8","Aldridge, Robert"
"bdba997b-1e7c-485c-b8c1-8a9a12fe9986","Aleander, Jerome"
"69f6d19c-a959-4777-bb5b-baaf425da484","Amelius, Georgius"
"ab2c289d-79f7-4f1c-992f-7ea1afb6fa1f","Amerbach, Basilius"
"d86e9fb0-c6d2-406a-a352-63a6fa4237dc","Amerbach, Boniface"
"d2f71edb-a414-45ae-9284-a871a4481e1a","Amberbach, Bruno"
"8f45efae-f9fc-4c28-9ae8-e39cb5bf2bda","Harcaneus, J. // Hérinnes, John of,"
"209003e9-81b5-4414-afd7-03e8c2f44b53","Ammonius, Levinus (Livinus)"
