"correspondents_id","name_in_coe","name_in_cwe","name_in_allen","name_in_cde","name_in_dcve","wikidata_id","coe_volume","page_range","first_page","last_page"
"6f63bbd3-e2ca-4c88-abca-8cd5c2be51c3","Mariano ACCARDO","Mariano Accardo","Marian Accard","Mariano Accardo","Mariano Accardo","Q11769854","1","3","3","3"
"8e337b13-a43c-4100-81c0-7ee324f61eb0","Pope ADRIAN VI","Adrian VI","Pope Adrian VI (Adrian of Utrecht)","Adrien VI","Adriaan VI","Q57087","1","5-9","5","9"
"d0f24494-1fdc-4f1f-af62-eaa39fb9f1dd","ADRIANUS","Adrian of Saint-Omer","Adrian of St. Omer","Adrien de St Omer","Adriaan van Sint-Omaars","Q114323924","1","9","9","9"
"5b39e0da-fbc0-467e-a65b-901353f35879","Wolfgang von AFFENSTEIN","Wolfgang von Affenstein","Wolfgang von Affenstein","Wolfgang von Affenstein","Wolfgang von Affenstein","Q95296852","1","10-12","10","12"
"7503a7be-c746-42ac-a313-58effb67965a","Henricus AFINIUS","Henricus Afinius","Henricus Afinius","Henri Afinius","Henricus Afinius","Q114237408","1","12","12","12"
"fa00c782-da06-4d8d-a604-6fdd8bd83540","Augustijn AGGE","Augustinus Aggeus","Augustinus Agge (Aggeus)","Augustin Agge","Augustijn Agge","Q114237050","1","13","13","13"
"57cbdc43-7883-4d6a-9621-8c3645d470b7","Georgius AGRICOLA","Georgius Agricola","Georgius Agricola","Georges Agricola","Georgius Agricola","Q76579","1","13-14","13","14"
"7fa3f278-2bf3-4364-a825-bf51ef2bd8da","Johannes AGRICOLA","Johannes Agricola","John Agricola","Jean Agricola","Johannes Agricola","Q1671363","1","15","15","15"
"f23d4906-b75d-4e3a-8835-02ef28238cd3","Henricus Cornelius AGRIPPA","Henricus Cornelius Agrippa","Cornelius Agrippa (von Nettesheim)","Cornelius Agrippa","Henricus Cornelius Agrippa","Q76568","1","17-19","17","19"
"114e993b-10b8-40d1-b547-f6157671e1ec","Girolamo AIAZZA","Girolamo Aiazza","Jerome Agathius","Jérôme Agathius","Girolamo Aiazza","Q114323925","1","19","19","19"
"3b36145e-510a-4c4e-b786-45e5eb962ce3","ALAARD of Amsterdam","Alaard of Amsterdam","Alard of Amsteram","Alard d'Amsterdam","Alardus van Amsterdam","Q16146649","1","19-21","19","21"
"c656e5bf-70f5-45c4-b582-a2c4247c71dd","Stanislaw AICHLER","Stanislaw Aichler","Stanislas Aychler","Stanislas Aychler","Stanislaw Aichler","Q94931260","1","19","19","19"
"17414ef1-be4c-4c45-ae1c-fd7454222cf5","Amblard ALARDET","Amblard Alardet","Ambolard Alardet","Amblard Alardet","Amblard Alardet","Q114323926","1","21-22","21","22"
"418c8216-9942-4bed-a0ab-e647caa99fe7","Claude-Louis ALARDET","Claude-Louis Alardet","Louis Alardet","Louis Alardet","Claude-Louis Alardet","Q96253242","1","21-22","21","22"
"4d1cc198-928c-46e6-8d8e-ad240639f5c3","Antoine d'ALBON","Antoine d'Albon","Antony Dalban","Antoine Dalban","Antoine d' Albon","Q2854077","1","22-23","22","23"
"639f3ce8-be9f-4993-b200-3fcde3a3b4e9","Andrea ALCIATI","Andrea Alciati","Andrea Alciati","André Alciati // André Alciat","Andrea Alciati","Q464471","1","23-26","23","26"
"a1ee55e4-208d-4150-8b1e-8848f8dba7c8","Robert ALDRIDGE","Robert Aldridge","Robert Aldridge","Robert Aldridge","Robert Aldridge","Q3938198","1","27-28","27","28"
"bdba997b-1e7c-485c-b8c1-8a9a12fe9986","Girolamo ALEANDRO","Girolamo Aleandro","Jerome Aleander","Jérôme Aléandre","Gironimo Aleandro","Q918330","1","28-32","28","32"
"261ce577-d2bd-4ff2-beef-7a6fcd5e3256","Lieven ALGOET","Lieven Algoet","Levinus (Livinus) Algoet (Omnibinus Algoet)","Liévin Algoet","Lieven Algoet","Q98522572","1","35-36","35","36"
"69f6d19c-a959-4777-bb5b-baaf425da484","Georgius AMELIUS","Georgius Amelius","Georgius Amelius","Georges Amelius","Georgius Amelius","Q55123322","1","41","41","41"
"ab2c289d-79f7-4f1c-992f-7ea1afb6fa1f","Basilius AMERBACH","Basilius Amerbach","Basilius Amerbach","Basile Amerbach","Basilius Amerbach","Q9166639","1","42","42","42"
"d86e9fb0-c6d2-406a-a352-63a6fa4237dc","Bonifacius AMERBACH","Bonifacius Amerbach","Boniface Amerbach","Boniface Amerbach","Bonifacius Amerbach","Q892504","1","42-46","42","46"
"d2f71edb-a414-45ae-9284-a871a4481e1a","Bruno AMERBACH","Bruno Amerbach","Bruno Amberbach","Bruno Amerbach","Bruno Amerbach","Q20605120","1","46","46","46"
"e2e52f17-4ec3-4693-9a63-c6f8e5b1cd33","Andrea AMMONIO","Andrea Ammonio","Andrea Ammonius","André Ammonius","Andrea Ammonio","Q3615677","1","48-50","48","50"
"8f45efae-f9fc-4c28-9ae8-e39cb5bf2bda","Johannes AMMONIUS","Johannes Ammonius","John Harcaneus (John of Hérinnes)","Jean Ammonius","Johannes Ammonius","Q114237574","1","50","50","50"
"209003e9-81b5-4414-afd7-03e8c2f44b53","Levinus AMMONIUS","Levinus Ammonius","Levinus (Livinus) Ammonius","Liévin Ammonius","Lieven van den Zande","Q114237780","1","50-51","50","51"
"a89f8328-a75d-4bae-98c9-6ff8ad7c5a95","Fausto ANDRELINI","Fausto Andrelini","Fausto Andrelini","Fausto Andrelini","Fausto Andrelini","Q3067464","1","53-56","53","56"
"db35ffde-b2c6-499d-bb4b-c92d0f793447","Eustachius ANDREAS","Eustachius Andreas","Eustace Andreas","Eustache Andréas","Eustachius Andreas","Q114323973","1","53","53","53"
"5751e796-b06a-4104-9a41-90dac38528cf","Tranquillus ANDRONICUS Parthenius","Tranquillus Andronicus Parthenius","Tranquillus Andronicus","Tranquillus Andronicus","Tranquillus Andronicus Parthenius","Q16115490","1","56-57","56","57"
"88b62496-717f-403c-a1e9-47f4219f102f","Jean Pyrrhus d'ANGLEBERME","Jean Pyrrhus d'Angleberme","John Phyrus d' Angleberme","Jean-Pyrrhus d'Angleberme","Jean Pyrrhus d' Angleberme","Q41559554","1","57-58","57","58"
"ea9318da-20b9-4877-8336-5da1690e3610","Pierre d'ANGLEBERME","Pierre d'Angleberme","Peter d' Angleberme","Pierre d'Angleberme","Pierre d' Angleberme","Q114323927","1","57-58","57","58"
"07190f7e-4013-46ce-b85e-0ed68362c0b8","Wolfgang ANGST","Wolfgang Angst","Wolfgang Angst","Wolfgang Angst","Wolfgang Angst","Q55122595","1","58-59","58","59"
"2a3c55f0-a6fb-44b6-9e27-7199e00256b8","Thomas ANSHELM","Thomas Anshelm","Thomas Anshelm","Thomas Anshelm","Thomas Anshelm","Q1271148","1","61","61","61"
"a8de18a0-dfaf-4331-8489-e50bacc5c106","Jacob ANTHONISZOON","Jacob Anthoniszoon","Iacobus Anthonisz","Jacques Anthonisz","Jacob Antonisz","Q41616389","1","61-62","61","62"
"d17481b2-e3fc-4882-8c20-4bf2ed881bfa","Jan ANTONIN","Jan Antonin","John Antoninus","Jean Antonin // Jean Antonin de Cassovie // Jean Antoninus","Jan Antonin","Q104715400","1","63-64","63","64"
"5383c812-0044-47a0-8b34-f736e317c2b3","ANTONIUS of Luxembourg","Antonius of Luxembourg","Antony of Luxemburg","Antoine de Luxembourg // Secrétaire de la ville de Dunkerque","Anton van Luxemburg","Q114323928","1","66","66","66"
"244158e1-14dc-421b-bf28-dee48e1e2128","Jacobus APOCELLUS","Jacobus Apocellus","James Apocellus","Jacques Appozeller","Jacobus Apocellus","Q114323929","1","67-68","67","68"
"5473f315-77da-4b76-9d54-9493de118054","Arsenius APOSTOLIUS","Arsenius Apostolius","","Arsenius Apostolius","Arsenius Apostolius","Q4796489","1","68-69","68","69"
"f9e11bac-0cae-4e9e-acb8-6b67480b2ad6","Georges d'ARMAGNAC","Georges d'Armagnac","Georges d' Armagnac","Georges d'Armagnac","Georges d' Armagnac","Q1772423","1","72","72","72"
"d5b7bd92-e754-49d0-a8ce-b06a6935cc5c","Hieronymus ARTOLF","Hieronymus Artolf","Hieronymus Artolbius of Chur (Rhetus Artolbius)","Jérôme Artolbius","Hieronymus Artolf","Q114323930","1","73-74","73","74"
"6468bc3f-1e61-4811-8cfd-b17dc3cad6e1","Gerrit van ASSENDELFT","Gerrit van Assendelft","Gerard of Assendelft","Gérard d'Assendelft","Gerrit van Assendelft","Q1835656","1","74","74","74"
"0b477328-56bc-47b5-ac8d-2ba1355ed4c4","Bernard Bucho van AYTTA","Bernard Bucho van Aytta","Bernard Bucho","Bernard Bucho","Bernard Bucho van Aytta","Q13134788","1","77-78","77","78"
"0cc04891-a71c-49f5-84f1-e322c37652a3","John BABHAM","John Babham","John Babham","John Babham","John Babham","Q114323931","1","78","78","78"
"38695a47-fe76-4441-94e5-119c8c2c06c4","Gerard BACHUUS","Gerard Bachuus","Bacchusius","Bacchasius","Gerard Bachuus","Q114323932","1","78","78","78"
"cacec994-3346-4081-bd41-7c3dd391e8e3","Josse BADE","Josse Bade","Josse Bade","Josse Bade","Joost Bade","Q942766","1","79-81","79","81"
"10117a4a-fafc-49e2-8a08-af0206b28af5","Ludwig BAER","Ludwig Baer","Louis Ber","Louis Ber","Ludwig Baer","Q1419526","1","84-86","84","86"
"8f6f6124-b9a0-4678-bb3b-39cce1fdae4f","Lazare de BAÏF","Lazare de Baïf","Lazarus Baif","Lazare de Baïf","Lazare de Baïf","Q1640529","1","87-88","87","88"
"99c6a530-7893-4bad-b94e-5acf72e86d62","Pius Hieronymus BALDUNG","Pius Hieronymus Baldung","Jerome Baldung","Jérôme Baldung","Pius Hieronymus Baldung","Q55123395","1","89","89","89"
"8444896d-fb1b-4eb5-9f39-39b1e78d470c","Jacopo BANNISIO","Jacopo Bannisio","Jacobus Banisius","Jacques Banisius // Jacques Manisius","Jacopo Bannisio","Q47489015","1","90-91","90","91"
"6ad65b32-0c34-4f83-986e-60847d5caa5f","Nicolas BARBIER","Nicolas Barbier","Nicolaus Barbirius","Nicolas Barbier","Nicolas Barbier","Q114323933","1","93","93","93"
"1faa67ba-9b05-46e9-9690-8b6b3bc29829","Pierre BARBIER","Pierre Barbier","Petrus Barbirius (Barbier)","Pierre Barbier","Pierre Barbier","Q114323934","1","93-94","93","94"
"58f8d059-cb2e-4566-b9a7-302a082c4723","Adrianus Cornelii BARLANDUS","Adrianus Cornelii Barlandus","Adrian Barland","Adrien Barland // Adrien Barlandus","Adriaan van Baerland","Q2067100","1","95-96","95","96"
"465b6b43-2a14-4e9e-83d6-32d550144720","Hubertus BARLANDUS","Hubertus Barlandus","Hubert of Barland","Hubert Barland","Hubert van Baerland","Q114238771","1","96-97","96","97"
"1646bd57-ed82-4a33-bbea-da1139218274","Lorenzo BARTOLINI Salimbeni","Lorenzo Bartolini","Lorenzo Bartolini","Laurent Bartolini","Lorenzo Bartolini","Q114239105","1","97","97","97"
"9e8d2751-22c3-4ab9-a621-38d897993416","Riccardo BARTOLINI","Riccardo Bartolini","Richardus Bartholinus","Richard Bartholinus","Riccardo Bartolini","Q86919399","1","97-98","97","98"
"7c21ae3e-a7f0-46a8-8ebb-db3dabe6de21","Nicolaus BASELLIUS","Nikolaus Basellius","Nicholas Basell","Nicolas Basell","Nicolaus Basellius","Q19958916","1","98-99","98","99"
"2664f782-3e78-47fb-b52f-1a50251f5f03","Lucas BATHODIUS","Lucas Bathodius","Lucas Bathodius","Lucas Bathodius","Lucas Bathodius","Q114239339","1","99","99","99"
"a7b2d609-5845-4ac3-9cce-fe11c06302ee","Cornelis BATT","Cornelis Batt","Cornelius Batt","Corneille Batt","Cornelis Battus","Q114323935","1","100","100","100"
"f0a5b2fe-0cdc-4bbd-9a0b-5e40b955107e","Jacob BATT","Jacob Batt","James Batt","Jacques Batt","Jacob Batt","Q47408738","1","100-101","100","101"
"68f64a84-5587-4a5b-990a-8e6b0533a614","Ernest, duke of BAVARIA","Duke Ernest of Bavaria","Duke of Bavaria Ernest","Duc Ernest de Bavière","Ernst van Beieren","Q541271","1","101-102","101","102"
"0ec03581-0e29-4e21-88cd-139033fd0f9e","BEATUS Rhenanus","Beatus Rhenanus","Beatus Rhenanus (Beat Bild)","Beatus Rhenanus","Beatus Rhenanus","Q646092","1","104-109","104","109"
"a2c98230-0b4d-4f38-8fab-d7bb44e1e473","Heinrich BEBEL","Heinrich Bebel","Henry Bebel","Heinrich Bebel","Heinrich Bebel","Q454824","1","112","112","112"
"b0c14844-ea6c-47f7-b9c3-22484bbe9cd6","Petr BECHYNĚ","Petr Bechyně","Peter Bechinius","Pierre Bechinius","Petr Bechyne","Q114323936","1","114","114","114"
"51e6d4f5-2b99-45c7-aab9-0bb8f4caec2b","Jan BECKER","Jan Becker of Borsele","John Becar","Jan Becker de Borsselen // Jean Becker de Borsselen","Jan van Becker","Q114239476","1","115-116","115","116"
