"Location Name Modern"	"Latitude"	"Longitude"	"Number of Letters sent from this location TO Budé from mutual correspondents of Erasmus and Budé"
"Padova"	"45.40797"	"11.88586"	"3"
"Paris"	"48.85341"	"2.3488"	"2"
"Brugge"	"51.20892"	"3.22424"	"2"
"Unknown Location in England"	NULL	NULL	"2"
"Calais"	"50.95194"	"1.85635"	"2"
"Venice"	"45.43713"	"12.33265"	"1"
"Antwerpen"	"51.21989"	"4.40346"	"1"
"Unknown Location in Italy"	NULL	NULL	"1"
"Bonnefont"	"43.24983"	"0.34476"	"1"
"Milano"	"45.46427"	"9.18951"	"1"
"Unknown Location in France"	NULL	NULL	"1"
"Fontenay"	"46.46667"	"-0.81667"	"1"
