"Id","locations_name_modern","locations_modern_state","locations_modern_province","locations_lat","locations_lng"
"amboise_FR_gid_3037902","Amboise","France","Centre","47.41249","0.98266"
"antwerpen_BE_gid_2803138","Antwerpen","Belgium","Flemish","51.21989","4.40346"
"avignon_FR_gid_3035681","Avignon","France","Provence-Alpes-Côte d'Azur","43.94834","4.80892"
"basel_CH_gid_2661604","Basel","Switzerland","Basel-City","47.5584","7.57327"
"blois_FR_gid_3032213","Blois","France","Centre","47.58333","1.33333"
"bourges_FR_gid_3031005","Bourges","France","Centre","47.08333","2.4"
"brussels_BE_gid_2800866","Brussels","Belgium","Brussels Capital","50.85045","4.34878"
"cambridge_GB_gid_2653941","Cambridge","United Kingdom","England","52.2","0.11667"
"carpentras_FR_gid_3028542","Carpentras","France","Provence-Alpes-Côte d'Azur","44.05","5.05"
"châtillon_sur_seine_FR_gid_3026046","Châtillon-sur-Seine","France","Bourgogne-Franche-Comté","47.85851","4.57375"
"dijon_FR_gid_3021372","Dijon","France","Bourgogne-Franche-Comté","47.31667","5.01667"
"fontenay_le_comte_FR_gid_3017921","Fontenay","France","Pays de la Loire","46.46667","-0.81667"
"frankfurt_am_main_DE_gid_2925533","Frankfurt am Main","Germany","Hesse","50.11552","8.68417"
"freiburg_DE_gid_2925177","Freiburg","Germany","Baden-Württemberg","47.9959","7.85222"
"köln_DE_gid_2886242","Köln","Germany","North Rhine-Westphalia","50.93333","6.95"
"la_villeneuve_sur_vingeanne_FR_gid_3005488","La Villeneuve-sur-Vingeanne","France","Bourgogne-Franche-Comté","47.56314","5.42329"
"leuven_BE_gid_2792482","Leuven","Belgium","Flemish","50.87959","4.70093"
"london_GB_gid_2643743","London","United Kingdom","England","51.50853","-0.12574"
"lyon_FR_gid_2996944","Lyon","France","Auvergne-Rhône-Alpes","45.74846","4.84671"
"marly_la_ville_FR_gid_2995653","Marly-la-Ville","France","Île-de-France","49.08201","2.50347"
"mechelen_BE_gid_2791537","Mechelen","Belgium","Flemish","51.02574","4.47762"
"milano_IT_gid_3173435","Milano","Italy","Lombardy","45.46427","9.18951"
"montpellier_FR_gid_2992166","Montpellier","France","Languedoc-Roussillon-Midi-Pyrénées","43.61092","3.87723"
"nuits_saint_georges_FR_gid_2989837","Nuits-Saint-Georges","France","Bourgogne-Franche-Comté","47.13683","4.949"
"orléans_FR_gid_2989317","Orléans","France","Centre","47.90289","1.90389"
"padova_IT_gid_3171728","Padova","Italy","Veneto","45.40797","11.88586"
"paris_FR_gid_2988507","Paris","France","Île-de-France","48.85341","2.3488"
"reims_FR_gid_2984114","Reims","France","Alsace-Champagne-Ardenne-Lorraine","49.25","4.03333"
"rodez_FR_gid_2983154","Rodez","France","Languedoc-Roussillon-Midi-Pyrénées","44.35258","2.57338"
"rome_IT_gid_3169070","Rome","Italy","Latium","41.89193","12.51133"
"romorantin_lanthenay_FR_gid_2982967","Romorantin-Lanthenay","France","Centre","47.36667","1.75"
"saint_germain_en_laye_FR_gid_2979783","Saint-Germain-en-Laye","France","Île-de-France","48.9","2.08333"
"troyes_FR_gid_2971549","Troyes","France","Alsace-Champagne-Ardenne-Lorraine","48.3","4.08333"
"venice_IT_gid_3164603","Venice","Italy","Veneto","45.43713","12.33265"
