"Source","Target"
"freiburg_DE_gid_2925177","bourges_FR_gid_3031005"
"basel_CH_gid_2661604","avignon_FR_gid_3035681"
"basel_CH_gid_2661604","avignon_FR_gid_3035681"
"basel_CH_gid_2661604","milano_IT_gid_3173435"
"basel_CH_gid_2661604","avignon_FR_gid_3035681"
"freiburg_DE_gid_2925177","bourges_FR_gid_3031005"
"freiburg_DE_gid_2925177","paris_FR_gid_2988507"
"freiburg_DE_gid_2925177","paris_FR_gid_2988507"
"freiburg_DE_gid_2925177","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"basel_CH_gid_2661604","gentilly_FR_gid_3016292"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"basel_CH_gid_2661604","gentilly_FR_gid_3016292"
"basel_CH_gid_2661604","gentilly_FR_gid_3016292"
"freiburg_DE_gid_2925177","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"basel_CH_gid_2661604","blois_FR_gid_3032213"
"basel_CH_gid_2661604","blois_FR_gid_3032213"
"basel_CH_gid_2661604","angoulême_FR_gid_3037598"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","london_GB_gid_2643743"
"basel_CH_gid_2661604","london_GB_gid_2643743"
"basel_CH_gid_2661604","london_GB_gid_2643743"
"freiburg_DE_gid_2925177","london_GB_gid_2643743"
"leuven_BE_gid_2792482","gent_BE_gid_2797656"
"leuven_BE_gid_2792482","middelburg_NL_gid_2750896"
"leuven_BE_gid_2792482","middelburg_NL_gid_2750896"
"leuven_BE_gid_2792482","brugge_BE_gid_2800931"
"leuven_BE_gid_2792482","london_GB_gid_2643743"
"leuven_BE_gid_2792482","london_GB_gid_2643743"
"leuven_BE_gid_2792482","milano_IT_gid_3173435"
"freiburg_DE_gid_2925177","köln_DE_gid_2886242"
"freiburg_DE_gid_2925177","freiburg_DE_gid_2925177"
"basel_CH_gid_2661604","freiburg_DE_gid_2925177"
"basel_CH_gid_2661604","freiburg_DE_gid_2925177"
"basel_CH_gid_2661604","freiburg_DE_gid_2925177"
"basel_CH_gid_2661604","freiburg_DE_gid_2925177"
"basel_CH_gid_2661604","freiburg_DE_gid_2925177"
"basel_CH_gid_2661604","freiburg_DE_gid_2925177"
"basel_CH_gid_2661604","freiburg_DE_gid_2925177"
"basel_CH_gid_2661604","freiburg_DE_gid_2925177"
"basel_CH_gid_2661604","freiburg_DE_gid_2925177"
"antwerpen_BE_gid_2803138","greenwich_GB_gid_2647937"
"antwerpen_BE_gid_2803138","greenwich_GB_gid_2647937"
"leuven_BE_gid_2792482","greenwich_GB_gid_2647937"
"oxford_GB_gid_2640729","london_GB_gid_2643743"
"leuven_BE_gid_2792482","greenwich_GB_gid_2647937"
"anderlecht_BE_gid_2803201","greenwich_GB_gid_2647937"
"basel_CH_gid_2661604","greenwich_GB_gid_2647937"
"basel_CH_gid_2661604","greenwich_GB_gid_2647937"
"freiburg_DE_gid_2925177","cambrai_FR_gid_3029030"
"paris_FR_gid_2988507","london_GB_gid_2643743"
"cambridge_GB_gid_2653941","london_GB_gid_2643743"
"brussels_BE_gid_2800866","london_GB_gid_2643743"
"antwerpen_BE_gid_2803138","london_GB_gid_2643743"
"antwerpen_BE_gid_2803138","london_GB_gid_2643743"
"antwerpen_BE_gid_2803138","london_GB_gid_2643743"
"antwerpen_BE_gid_2803138","london_GB_gid_2643743"
"leuven_BE_gid_2792482","brugge_BE_gid_2800931"
"antwerpen_BE_gid_2803138","brugge_BE_gid_2800931"
"leuven_BE_gid_2792482","brugge_BE_gid_2800931"
"leuven_BE_gid_2792482","calais_FR_gid_3029162"
"antwerpen_BE_gid_2803138","london_GB_gid_2643743"
"leuven_BE_gid_2792482","london_GB_gid_2643743"
"leuven_BE_gid_2792482","london_GB_gid_2643743"
"basel_CH_gid_2661604","london_GB_gid_2643743"
"leuven_BE_gid_2792482","london_GB_gid_2643743"
"leuven_BE_gid_2792482","cambridge_GB_gid_2653941"
"leuven_BE_gid_2792482","oxford_GB_gid_2640729"
"leuven_BE_gid_2792482","oxford_GB_gid_2640729"
"brugge_BE_gid_2800931","oxford_GB_gid_2640729"
"basel_CH_gid_2661604","padova_IT_gid_3171728"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","rome_IT_gid_3169070"
"basel_CH_gid_2661604","vic_sur_seille_FR_gid_2969364"
"freiburg_DE_gid_2925177","carpentras_FR_gid_3028542"
"freiburg_DE_gid_2925177","carpentras_FR_gid_3028542"
"freiburg_DE_gid_2925177","carpentras_FR_gid_3028542"
"basel_CH_gid_2661604","rome_IT_gid_3169070"
"basel_CH_gid_2661604","rome_IT_gid_3169070"
"basel_CH_gid_2661604","carpentras_FR_gid_3028542"
"freiburg_DE_gid_2925177","carpentras_FR_gid_3028542"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"anderlecht_BE_gid_2803201","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"brussels_BE_gid_2800866","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"mechelen_BE_gid_2791537","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"brugge_BE_gid_2800931","london_GB_gid_2643743"
"paris_FR_gid_2988507","london_GB_gid_2643743"
"saint_omer_FR_gid_2977845","london_GB_gid_2643743"
"freiburg_DE_gid_2925177","paris_FR_gid_2988507"
"freiburg_DE_gid_2925177","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"mechelen_BE_gid_2791537","liège_BE_gid_2792413"
"leuven_BE_gid_2792482","brugge_BE_gid_2800931"
"leuven_BE_gid_2792482","brugge_BE_gid_2800931"
"london_GB_gid_2643743","brugge_BE_gid_2800931"
"basel_CH_gid_2661604","brugge_BE_gid_2800931"
"basel_CH_gid_2661604","brugge_BE_gid_2800931"
"basel_CH_gid_2661604","brugge_BE_gid_2800931"
"mechelen_BE_gid_2791537","leuven_BE_gid_2792482"
"freiburg_DE_gid_2925177","padova_IT_gid_3171728"
"freiburg_DE_gid_2925177","padova_IT_gid_3171728"
