"Source","Target"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","marly_la_ville_FR_gid_2995653"
"leuven_BE_gid_2792482","romorantin_lanthenay_FR_gid_2982967"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"basel_CH_gid_2661604","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"brussels_BE_gid_2800866","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"mechelen_BE_gid_2791537","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"avignon_FR_gid_3035681","paris_FR_gid_2988507"
"paris_FR_gid_2988507","paris_FR_gid_2988507"
"venice_IT_gid_3164603","marly_la_ville_FR_gid_2995653"
"paris_FR_gid_2988507","paris_FR_gid_2988507"
"london_GB_gid_2643743","paris_FR_gid_2988507"
"rome_IT_gid_3169070","marly_la_ville_FR_gid_2995653"
"freiburg_DE_gid_2925177","marly_la_ville_FR_gid_2995653"
"milano_IT_gid_3173435","paris_FR_gid_2988507"
"padova_IT_gid_3171728","romorantin_lanthenay_FR_gid_2982967"
"fontenay_le_comte_FR_gid_3017921","romorantin_lanthenay_FR_gid_2982967"
"paris_FR_gid_2988507","blois_FR_gid_3032213"
"paris_FR_gid_2988507","romorantin_lanthenay_FR_gid_2982967"
"leuven_BE_gid_2792482","marly_la_ville_FR_gid_2995653"
"brugge_BE_gid_2800931","paris_FR_gid_2988507"
"brugge_BE_gid_2800931","paris_FR_gid_2988507"
