"Id","letter_no_in_edition","Source","sender_inferred","sender_uncertain","Target","recipient_inferred","recipient_uncertain","Label","send_date_year1","send_date_computable1","send_date_has_range","send_date_year2","send_date_computable2","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x"
"era_augustijn_1429a","1429A [Augustijn]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","afaa3b9b-f67d-466c-967f-f45873e354b3","0","0","À Gaspard Hédion [Augustijn]","1524","1524-03-01","1","1524","1524-03-31","1","0","0","basel_CH_gid_2661604","0","0","strasbourg_FR_gid_2973783","1","0","latin","familiar letter","letter_1_to_1"
"era_cde_2980a","2980A [CDE]","3bac408c-12d2-4a66-a566-c5f8d048c1c2","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","De Aonio Paleario Sienne, le 5 décembre <1534/5>","1534","1534-12-05","1","1535","1535-12-05","1","0","0","siena_IT_gid_3166548","0","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1","1 [CWE] // 1 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","549fb059-0cb0-4de3-8e8e-733292d31640","0","0","1 To Pieter Winckel [Gouda, end of 1484] [CWE]","1484","1484-11-01","1","1484","1484-12-31","1","0","0","gouda_NL_gid_2755420","1","0","gouda_NL_gid_2755420","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_10","10 [CWE] // 10 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","948e62e0-5202-4694-ab2c-ee1f69477d3e","0","0","10 To Franciscus Theodoricus [Steyn, c 1487] [CWE]","1487","1487-01-01","1","1487","1487-12-31","1","1","0","steyn_monastery_NL_gid_unknown","1","0","steyn_monastery_NL_gid_unknown","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_100","100 [CWE] // 100 [ALLEN]","a89f8328-a75d-4bae-98c9-6ff8ad7c5a95","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","100 From Fausto Andrelini [Paris, May 1499?] [CWE]","1499","1499-05-01","1","1499","1499-05-31","1","0","1","paris_FR_gid_2988507","1","0","paris_FR_gid_2988507","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1000","1000 [CWE] // 1000 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","e6a3ff1a-b285-46d9-b53c-e569c51f02db","0","0","1000 To Lorenzo Pucci Louvain, 31 July 1519 [CWE]","1519","1519-07-31","0","1519","1519-07-31","0","0","0","leuven_BE_gid_2792482","0","0","rome_IT_gid_3169070","1","0","latin","dedicatory letter","letter_1_to_1"
"era_cwe_1000a","1000A [CWE] // 1035 [ALLEN]","285e3bbd-d087-46d6-ad31-2e07a29fa69e","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1000A From Maarten Lips [Louvain, July-early August 1519] [CWE]","1519","1519-07-01","1","1519","1519-08-10","1","0","0","leuven_BE_gid_2792482","1","0","leuven_BE_gid_2792482","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1000b","1000B [CWE] // 1036 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","285e3bbd-d087-46d6-ad31-2e07a29fa69e","0","0","1000B To Maarten Lips [Louvain, July-early August 1519] [CWE]","1519","1519-07-01","1","1519","1519-08-10","1","0","0","leuven_BE_gid_2792482","1","0","leuven_BE_gid_2792482","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1001","1001 [CWE] // 1001 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","e921d3e6-9dc2-40e7-9fe6-902dcd5cfe9b","0","0","1001 To Georgius Spalatinus Antwerp, 7 August 1519 [CWE]","1519","1519-08-07","0","1519","1519-08-07","0","0","0","antwerpen_BE_gid_2803138","0","0","torgau_DE_gid_2821807","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1002","1002 [CWE] // 1002 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","5375f20d-1943-4735-b423-abf59baadfaa","0","0","1002 To Nicolas Bérault Antwerp, 9 August [1519] [CWE]","1519","1519-08-09","0","1519","1519-08-09","1","0","0","antwerpen_BE_gid_2803138","0","0","paris_FR_gid_2988507","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1003","1003 [CWE] // 1003 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","af943e14-c6b9-4b9c-a381-288781498bbf","0","0","1003 To Guillaume Hué Antwerp, 9 August [1519] [CWE]","1519","1519-08-09","0","1519","1519-08-09","1","0","0","antwerpen_BE_gid_2803138","0","0","paris_FR_gid_2988507","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1004","1004 [CWE] // 1004 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","0","0","1004 To Guillaume Budé [Antwerp, c 9 August 1519] [CWE]","1519","1519-08-09","0","1519","1519-08-09","1","1","0","antwerpen_BE_gid_2803138","1","0","paris_FR_gid_2988507","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1005","1005 [CWE] // 1005 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","bec1e8a6-abb9-449f-81de-4a9e8d1b3ef6","0","0","1005 To Pieter Zuutpene Antwerp, 10 August 1519 [CWE]","1519","1519-08-10","0","1519","1519-08-10","0","0","0","antwerpen_BE_gid_2803138","0","0","veere_NL_gid_2745739","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1006","1006 [CWE] // 1006 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","a63b9501-d66e-4f8c-82e1-2074cc9a3bbe","0","0","1006 To Jacob of Hoogstraten Antwerp, 11 August 1519 [CWE]","1519","1519-08-11","0","1519","1519-08-11","0","0","0","antwerpen_BE_gid_2803138","0","0","köln_DE_gid_2886242","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1007","1007 [CWE] // 1007 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","d2fe0216-e9b0-4077-ba21-251d1ff16084","0","0","1007 To Pope Leo X Louvain, 13 August 1519 [CWE]","1519","1519-08-13","0","1519","1519-08-13","0","0","0","leuven_BE_gid_2792482","0","0","rome_IT_gid_3169070","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1008","1008 [CWE] // 1008 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","cc563d7d-51df-4fd5-9128-f0d9969cccc7","0","0","1008 To Christoph Hack Antwerp, 13 August 1519 [CWE]","1519","1519-08-13","0","1519","1519-08-13","0","0","0","antwerpen_BE_gid_2803138","0","0","erfurt_DE_gid_2929670","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1009","1009 [CWE] // 1009 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","7f27a8d3-dcd2-47ff-a8eb-8476f8d29c30","0","0","1009 To Albert of Brandenburg Antwerp, 15 August 1519 [CWE]","1519","1519-08-15","0","1519","1519-08-15","0","0","0","antwerpen_BE_gid_2803138","0","0","unknown_location_in_germany_DE_gid_unknown","1","0","latin","familiar letter","letter_1_to_1"
