"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2","colour"
"accardo_mariano_viaf_90314047","individual","male","Mariano ACCARDO","noto_IT_gid_2523998","Noto, Sicily",1450,"1450-01-01",1,1500,"1499-12-31","noto_IT_gid_2523998","Noto",1521,"1521-01-01",1,1521,"#525252"
"adrianus_[corpus_era]_viaf_unknown","individual","male","ADRIANUS","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"#525252"
"adrian_vi_ pope_ viaf_76430137","individual","male","Pope ADRIAN VI","utrecht_NL_gid_2745912","Utrecht",1454,"1454-03-02",0,1545,"1454-03-02","rome_IT_gid_3169070","Rome",1523,"1523-09-14",0,1523,"#525252"
"affenstein_ wolfgang_von_viaf_231943211","individual","male","Wolfgang von AFFENSTEIN","unknown_location_in_germany_DE_gid_unknown","Unknown",1501,"1501-01-01",1,1501,"1501-01-31","dirmstein_DE_gid_2936822","Dirmstein",NA,"0000-00-00",1,1556,"#525252"
"afinius_ henricus_viaf_220463086","individual","male","Henricus AFINIUS","lier_BE_gid_2792397","Lier, near Antwerp",NA,"0000-00-00",1,NA,"0000-00-00","antwerpen_BE_gid_2803138","Antwerp",NA,"0000-00-00",1,1520,"#525252"
"aggaeus_augustinus_viaf_30349638","individual","male","Augustijn AGGE","the_hague_NL_gid_2747373","The Hague",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"#525252"
"agricola_georg_viaf_100164815","individual","male","Georgius AGRICOLA","glauchau_DE_gid_2920020","Glauchau/Sachsen",1490,"1490-03-24",0,1490,"1490-03-24","chemnitz_DE_gid_2940132","Chemnitz",1555,"1555-11-21",0,1555,"#525252"
"agricola_johann_viaf_72187518","individual","male","Johannes AGRICOLA","gunzenhausen_DE_gid_2913537","Gunzenhausen/Mittelfranken",1496,"1496-01-01",1,1496,"1496-12-31","ingolstadt_DE_gid_2895992","Ingolstadt",1570,"1570-03-06",0,1570,"#525252"
"agrippa_von_nettsheim_heinrich_cornelius_viaf_24596804","individual","male","Henricus Cornelius AGRIPPA","köln_DE_gid_2886242","Köln",1486,"1486-09-14",0,1486,"1486-09-14","grenoble_FR_gid_3014728","Grenoble",1535,"1535-02-18",0,1535,"#525252"
"aiazza_girolamo_viaf_unknown","individual","male","Girolamo AIAZZA","vercelli_IT_gid_3164565","Vercelli",1472,"1472-01-01",1,1472,"1472-12-31","vercelli_IT_gid_3164565","prob. Vercelli",1538,"1538-01-01",1,1538,"#525252"
"alardet_amblard_viaf_unknown","individual","male","Amblard ALARDET","genève_CH_gid_2660646","Geneva",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"#525252"
"alardet_claude_louis_viaf_314873892","individual","male","Claude-Louis ALARDET","genève_CH_gid_2660646","Geneva",NA,"0000-00-00",1,NA,"0000-00-00","chambéry_FR_gid_3027422","Chambéry",NA,"0000-00-00",1,NA,"#525252"
"alardus_amstelredamus_viaf_85054604","individual","male","ALAARD of Amsterdam","amsterdam_NL_gid_2759794","Amsterdam",1491,"1491-01-01",1,1491,"1491-12-31","leuven_BE_gid_2792482","Louvain",1544,"1544-08-28",0,1544,"#525252"
"albert_of_brandenburg_archbischop_and_elector_of_mainz_cardinal_viaf_42631444","individual","male","Albert of BRANDENBURG","alt_kölln_DE_gid_7576815","Cölln an der Spree",1490,"1490-06-28",0,1490,"1490-06-28","mainz_DE_gid_2874225","Mainz",1545,"1545-09-24",0,1545,"#525252"
"albon_antoine_de_viaf_304010662","individual","male","Antoine d'ALBON","unknown_location_in_france_FR_gid_unknown","Unknown",1507,"1507-01-01",1,1507,"1507-12-31","unknown_location_XX_gid_unknown","Unknown",1574,"1574-09-01",1,1574,"#525252"
"alciati_andrea_viaf_51699991","individual","male","Andrea ALCIATI","alzate_brianza_IT_gid_6535114","Alzate Brianza bei Como",1492,"1492-05-08",0,1492,"1492-05-08","pavia_IT_gid_3171366","Pavia",1550,"1550-01-12",0,1550,"#fdb863"
"aldrich_robert_viaf_14638314","individual","male","Robert ALDRIDGE","burnham_GB_gid_2654274","Burnham, Buckinghamshire",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1556,"1556-03-05",0,1556,"#525252"
"aleandro_girolamo_viaf_17319843","individual","male","Girolamo ALEANDRO","motta_di_livenza_IT_gid_3172508","Motta di Livenza/Treviso",1480,"1480-02-13",0,1480,"1480-02-13","rome_IT_gid_3169070","Rom",1542,"1542-02-01",0,1542,"#525252"
"amelius_georg_viaf_57427674","individual","male","Georgius AMELIUS","unknown_location_in_moravia_CZ_gid_unknown","Unknown, in Moravia",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1541,"1541-10-28",0,1541,"#525252"
"amerbach_basilius_viaf_3283723","individual","male","Basilius AMERBACH","basel_CH_gid_2661604","Basel",1488,"1488-03-28",0,1488,"1488-03-28","basel_CH_gid_2661604","Basel",1535,"1535-04-05",0,1535,"#525252"
"amerbach_bonifacius_viaf_34528701","individual","male","Bonifacius AMERBACH","basel_CH_gid_2661604","Basel",1495,"1495-10-11",0,1495,"1495-10-11","basel_CH_gid_2661604","Basel",1562,"1535-04-24",1,1562,"#525252"
"amerbach_bruno_viaf_56641742","individual","male","Bruno AMERBACH","basel_CH_gid_2661604","Basel",1484,"1484-12-09",0,1484,"1484-12-09","unknown_location_XX_gid_unknown","Unknown",1519,"1519-10-22",0,1519,"#525252"
