"Id","letter_no_in_edition","Source","sender_inferred","sender_uncertain","Target","recipient_inferred","recipient_uncertain","Label","send_date_year1","send_date_computable1","send_date_has_range","send_date_year2","send_date_computable2","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x"
"era_cwe_100","100 [CWE] // 100 [ALLEN]","a89f8328-a75d-4bae-98c9-6ff8ad7c5a95",0,0,"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"100 From Fausto Andrelini [Paris, May 1499?] [CWE]",1499,"1499-05-01",1,1499,"1499-05-31",1,0,1,"paris_FR_gid_2988507",1,0,"paris_FR_gid_2988507",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_101","101 [CWE] // 101 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"f0a5b2fe-0cdc-4bbd-9a0b-5e40b955107e",0,0,"101 To Jacob Batt Paris [May 1499] [CWE]",1499,"1499-05-01",1,1499,"1499-05-31",1,0,0,"paris_FR_gid_2988507",0,0,"tournehem_sur_la_hem_FR_gid_2972235",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_102","102 [CWE] // 102 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"f0a5b2fe-0cdc-4bbd-9a0b-5e40b955107e",0,0,"102 To Jacob Batt Paris [May 1499] [CWE]",1499,"1499-05-01",1,1499,"1499-05-31",1,0,0,"paris_FR_gid_2988507",0,0,"tournehem_sur_la_hem_FR_gid_2972235",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_103","103 [CWE] // 103 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"a89f8328-a75d-4bae-98c9-6ff8ad7c5a95",0,0,"103 To Fausto Andrelini England [summer] 1499 [CWE]",1499,"1499-06-01",1,1499,"1499-08-31",1,0,0,"unknown_location_in_england_GB_gid_unknown",0,1,"paris_FR_gid_2988507",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_104","104 [CWE] // 104 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"a75baa72-e468-4efb-977e-c0e9a218cf30",0,0,"104 To Prince Henry [Greenwich? autumn] 1499 [CWE]",1499,"1499-09-01",1,1499,"1499-11-30",1,0,0,"greenwich_GB_gid_2647937",1,1,"greenwich_GB_gid_2647937",1,0,"latin","dedicatory letter","letter_1_to_1"
"era_cwe_105","105 [CWE] // 105 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"ee272595-c784-447c-a46c-0bf458438fef",0,0,"105 To William Blount, Lord Mountjoy Oxford [October] 1499 [CWE]",1499,"1499-10-01",1,1499,"1499-10-31",1,0,0,"oxford_GB_gid_2640729",0,0,"greenwich_GB_gid_2647937",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_106","106 [CWE] // 106 [ALLEN]","970aec7e-c773-4c16-8ac1-fb12315b9d1c",0,0,"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"106 From John Colet Oxford [October 1499] [CWE]",1499,"1499-10-01",1,1499,"1499-10-31",1,0,0,"oxford_GB_gid_2640729",0,0,"oxford_GB_gid_2640729",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_107","107 [CWE] // 107 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"970aec7e-c773-4c16-8ac1-fb12315b9d1c",0,0,"107 To John Colet [Oxford, October 1499] [CWE]",1499,"1499-10-01",1,1499,"1499-10-31",1,0,0,"oxford_GB_gid_2640729",1,0,"oxford_GB_gid_2640729",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_108","108 [CWE] // 108 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"970aec7e-c773-4c16-8ac1-fb12315b9d1c",0,0,"108 To John Colet St Mary's College, Oxford [October 1499] [CWE]",1499,"1499-10-01",1,1499,"1499-10-31",1,0,0,"oxford_GB_gid_2640729",0,0,"oxford_GB_gid_2640729",1,0,"latin","dedicatory letter","letter_1_to_1"
"era_cwe_109","109 [CWE] // 109 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"970aec7e-c773-4c16-8ac1-fb12315b9d1c",0,0,"109 To John Colet Oxford [October 1499] [CWE]",1499,"1499-10-01",1,1499,"1499-10-31",1,0,0,"oxford_GB_gid_2640729",0,0,"oxford_GB_gid_2640729",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_110","110 [CWE] // 110 [ALLEN]","970aec7e-c773-4c16-8ac1-fb12315b9d1c",0,0,"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"110 From John Colet [Oxford, October 1499] [CWE]",1499,"1499-10-01",1,1499,"1499-10-31",1,0,0,"oxford_GB_gid_2640729",1,0,"oxford_GB_gid_2640729",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_111","111 [CWE] // 111 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"970aec7e-c773-4c16-8ac1-fb12315b9d1c",0,0,"111 To John Colet Oxford [October 1499] [CWE]",1499,"1499-10-01",1,1499,"1499-10-31",1,0,0,"oxford_GB_gid_2640729",0,0,"oxford_GB_gid_2640729",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_112","112 [CWE] // 112 [ALLEN]","89448511-269c-45ab-8470-d3cb17483444",0,0,"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"112 From Johannes Sixtinus [Oxford, c 27 October 1499] [CWE]",1499,"1499-10-27",0,1499,"1499-10-27",1,1,0,"oxford_GB_gid_2640729",1,0,"oxford_GB_gid_2640729",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_113","113 [CWE] // 113 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"89448511-269c-45ab-8470-d3cb17483444",0,0,"113 To Johannes Sixtinus Oxford, 28 October [1499] [CWE]",1499,"1499-10-28",0,1499,"1499-10-28",1,0,0,"oxford_GB_gid_2640729",0,0,"oxford_GB_gid_2640729",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_114","114 [CWE] // 114 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"763f4d64-dffb-40eb-bc45-2fde4992223e",0,0,"114 To Thomas More Oxford, 28 October 1499 [CWE]",1499,"1499-10-28",0,1499,"1499-10-28",0,0,0,"oxford_GB_gid_2640729",0,0,"london_GB_gid_2643743",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_115","115 [CWE] // 115 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"ee272595-c784-447c-a46c-0bf458438fef",0,0,"115 To William Blount, Lord Mountjoy Oxford [November 1499] [CWE]",1499,"1499-11-01",1,1499,"1499-11-30",1,0,0,"oxford_GB_gid_2640729",0,0,"greenwich_GB_gid_2647937",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_116","116 [CWE] // 116 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"89448511-269c-45ab-8470-d3cb17483444",0,0,"116 To Johannes Sixtinus Oxford [November 1499] [CWE]",1499,"1499-11-01",1,1499,"1499-11-30",1,0,0,"oxford_GB_gid_2640729",0,0,"oxford_GB_gid_2640729",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_117","117 [CWE] // 117 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"ee272595-c784-447c-a46c-0bf458438fef",0,0,"117 To William Blount, Lord Mountjoy [Oxford, November 1499] [CWE]",1499,"1499-11-01",1,1499,"1499-11-30",1,0,0,"oxford_GB_gid_2640729",1,0,"greenwich_GB_gid_2647937",1,0,"latin","dedicatory letter","letter_1_to_1"
"era_cwe_118","118 [CWE] // 118 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"b43f00b7-1c5f-4980-8173-2b469d88859b",0,0,"118 To Robert Fisher London, 5 December [1499] [CWE]",1499,"1499-12-05",0,1499,"1499-12-05",1,0,0,"london_GB_gid_2643743",0,0,"unknown_location_in_italy_IT_gid_unknown",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_87","87 [CWE] // 87 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"62b9d18e-616e-4018-b700-7c7c1ce30f10",0,0,"87 To Johannes Falco Tournehem, 3 February [1499] [CWE]",1499,"1499-02-03",0,1499,"1499-02-03",1,0,0,"tournehem_sur_la_hem_FR_gid_2972235",0,0,"paris_FR_gid_2988507",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_88","88 [CWE] // 88 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"ee272595-c784-447c-a46c-0bf458438fef",0,0,"88 To William Blount, Lord Mountjoy Tournehem, 4 February [1499] [CWE]",1499,"1499-02-04",0,1499,"1499-02-04",1,0,0,"tournehem_sur_la_hem_FR_gid_2972235",0,0,"greenwich_GB_gid_2647937",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_89","89 [CWE] // 89 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"5a53668b-98e8-4006-aecf-1d4d8123dc75",0,0,"89 To Richard Whitford [Tournehem, 4 February 1499] [CWE]",1499,"1499-02-04",0,1499,"1499-02-04",1,0,0,"tournehem_sur_la_hem_FR_gid_2972235",1,0,"cambridge_GB_gid_2653941",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_90","90 [CWE] // 90 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"f0a5b2fe-0cdc-4bbd-9a0b-5e40b955107e",0,0,"90 To Jacob Batt [Steyn? February] 1499? [CWE]",1499,"1499-02-01",1,1499,"1499-02-28",1,0,1,"steyn_monastery_NL_gid_unknown",1,1,"tournehem_sur_la_hem_FR_gid_2972235",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_91","91 [CWE] // 91 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"f0a5b2fe-0cdc-4bbd-9a0b-5e40b955107e",0,0,"91 To Jacob Batt Antwerp, 12 February 1499 [CWE]",1499,"1499-02-12",0,1499,"1499-02-12",0,0,0,"antwerpen_BE_gid_2803138",0,0,"tournehem_sur_la_hem_FR_gid_2972235",1,0,"latin","familiar letter","letter_1_to_1"
