"Id","letter_no_in_edition","Source","sender_inferred","sender_uncertain","Target","recipient_inferred","recipient_uncertain","Label","send_date_year1","send_date_computable1","send_date_has_range","send_date_year2","send_date_computable2","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x"
"era_cwe_320","320 [CWE] // 320 [ALLEN]","becker_jan_viaf_unknown",0,0,"erasmus_desiderius_viaf_95982394",0,0,"320 From Jan Becker van Borssele Arlon, Luxembourg, 4 January 1515 [CWE]",1515,"1515-01-04",0,1515,"1515-01-04",0,0,0,"arlon_BE_gid_2803073",0,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_321","321 [CWE] // 321 [ALLEN]","bebel_heinrich_viaf_24719906",0,0,"erasmus_desiderius_viaf_95982394",0,0,"321 From Heinrich Bebel Tübingen, 20 January 1515 [CWE]",1515,"1515-01-20",0,1515,"1515-01-20",0,0,0,"tübingen_DE_gid_2820860",0,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_322","322 [CWE] // 322 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"pirckheimer_willibald_viaf_27173507",0,0,"322 To Willibald Pirckheimer Basel, 24 January [1515] [CWE]",1515,"1515-01-24",0,1515,"1515-01-24",1,0,0,"basel_CH_gid_2661604",0,0,"nürnberg_DE_gid_2861650",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_323","323 [CWE] // 323 [ALLEN]","sapidus_johannes_viaf_24771033",0,0,"erasmus_desiderius_viaf_95982394",0,0,"323 From Johann Witz Sélestat, 31 January 1515 [CWE]",1515,"1515-01-31",0,1515,"1515-01-31",0,0,0,"sélestat_FR_gid_2975233",0,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_324","324 [CWE] // 324 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"reuchlin_johann_viaf_66542815",0,0,"324 To Johann Reuchlin [Basel], 1 March [1515] [CWE]",1515,"1515-03-01",0,1515,"1515-03-01",1,0,0,"basel_CH_gid_2661604",1,0,"stuttgart_DE_gid_2825297",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_325","325 [CWE] // 325 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"ruthall_thomas_viaf_21976614",0,0,"325 To Thomas Ruthall Basel, 7 March 1515 [CWE]",1515,"1515-03-07",0,1515,"1515-03-07",0,0,0,"basel_CH_gid_2661604",0,0,"london_GB_gid_2643743",1,0,"latin","dedicatory letter","letter_1_to_1"
"era_cwe_326a","326A [CWE] // 326a [ALLEN]","pirckheimer_willibald_viaf_27173507",0,0,"erasmus_desiderius_viaf_95982394",0,0,"326A From Willibald Pirckheimer [Nürnberg? April 1515] [CWE]",1515,"1515-04-01",1,1515,"1515-04-30",1,0,0,"nürnberg_DE_gid_2861650",1,1,"frankfurt_am_main_DE_gid_2925533",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_326b","326B [CWE] // 326B [CDE]","erasmus_desiderius_viaf_95982394",0,0,"wimpheling_jakob_viaf_19699237",0,0,"326B To Jakob Wimpfeling [Frankfurt, March/ April 1515] [CWE]",1515,"1515-03-01",1,1515,"1515-04-12",1,0,0,"frankfurt_am_main_DE_gid_2925533",1,0,"strasbourg_FR_gid_2973783",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_327","327 [CWE] // 327 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"rhenanus_beatus_viaf_39415982",0,0,"327 To Beatus Rhenanus Saint-Omer, 13 April 1515 [CWE]",1515,"1515-04-13",0,1515,"1515-04-13",0,0,0,"saint_omer_FR_gid_2977845",0,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_328","328 [CWE] // 328 [ALLEN]","rhenanus_beatus_viaf_39415982",0,0,"erasmus_desiderius_viaf_95982394",0,0,"328 From Beatus Rhenanus Basel, 17 April 1515 [CWE]",1515,"1515-04-17",0,1515,"1515-04-17",0,0,0,"basel_CH_gid_2661604",0,0,"saint_omer_FR_gid_2977845",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_329","329 [CWE] // 329 [ALLEN]","nesen_wilhelm_viaf_59901043",0,0,"erasmus_desiderius_viaf_95982394",0,0,"329 From Wilhelm Nesen Basel, [c 17 April 1515] [CWE]",1515,"1515-04-17",0,1515,"1515-04-17",1,1,0,"basel_CH_gid_2661604",0,0,"saint_omer_FR_gid_2977845",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_330","330 [CWE] // 330 [ALLEN]","rhenanus_beatus_viaf_39415982",0,0,"erasmus_desiderius_viaf_95982394",0,0,"330 From Beatus Rhenanus Basel, 30 April 1515 [CWE]",1515,"1515-04-30",0,1515,"1515-04-30",0,0,0,"basel_CH_gid_2661604",0,0,"london_GB_gid_2643743",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_331","331 [CWE] // 331 [ALLEN]","amerbach_bruno_viaf_56641742",0,0,"erasmus_desiderius_viaf_95982394",0,0,"331 From Bruno Amerbach Basel, 1 May 1515 [CWE]",1515,"1515-05-01",0,1515,"1515-05-01",0,0,0,"basel_CH_gid_2661604",0,0,"london_GB_gid_2643743",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_332","332 [CWE] // 332 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"gillis_pierre_viaf_12425170",0,0,"332 To Pieter Gillis London, 7 May [1515] [CWE]",1515,"1515-05-07",0,1515,"1515-05-07",1,0,0,"london_GB_gid_2643743",0,0,"antwerpen_BE_gid_2803138",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_333","333 [CWE] // 333 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"riario_raffaello_viaf_25474452",0,0,"333 To Raffaele Riario, Cardinal of San Giorgio London, 15 May 1515 [CWE]",1515,"1515-05-15",0,1515,"1515-05-15",0,0,0,"london_GB_gid_2643743",0,0,"rome_IT_gid_3169070",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_334","334 [CWE] // 334 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"grimani_domenico_viaf_67314831",0,0,"334 To Domenico Grimani London, [15 May] 1515 [CWE]",1515,"1515-05-15",0,1515,"1515-05-15",1,0,0,"london_GB_gid_2643743",0,0,"rome_IT_gid_3169070",1,0,"latin","dedicatory letter","letter_1_to_1"
"era_cwe_335","335 [CWE] // 335 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"leo_x_pope_viaf_316407579",0,0,"335 To Leo X London, 21 May 1515 [CWE]",1515,"1515-05-21",0,1515,"1515-05-21",0,0,0,"london_GB_gid_2643743",0,0,"rome_IT_gid_3169070",1,0,"latin","familiar letter","letter_1_to_1"
