"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2","colour"
"accardo_mariano_viaf_90314047","individual","male","Mariano ACCARDO","noto_IT_gid_2523998","Noto, Sicily",1450,"1450-01-01",1,1500,"1499-12-31","noto_IT_gid_2523998","Noto",1521,"1521-01-01",1,1521,"#525252"
"afinius_ henricus_viaf_220463086","individual","male","Henricus AFINIUS","lier_BE_gid_2792397","Lier, near Antwerp",NA,"0000-00-00",1,NA,"0000-00-00","antwerpen_BE_gid_2803138","Antwerp",NA,"0000-00-00",1,1520,"#525252"
"aggaeus_augustinus_viaf_30349638","individual","male","Augustijn AGGE","the_hague_NL_gid_2747373","The Hague",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"#525252"
"alardus_amstelredamus_viaf_85054604","individual","male","ALAARD of Amsterdam","amsterdam_NL_gid_2759794","Amsterdam",1491,"1491-01-01",1,1491,"1491-12-31","leuven_BE_gid_2792482","Louvain",1544,"1544-08-28",0,1544,"#525252"
"albert_of_brandenburg_archbischop_and_elector_of_mainz_cardinal_viaf_42631444","individual","male","Albert of BRANDENBURG","alt_kölln_DE_gid_7576815","Cölln an der Spree",1490,"1490-06-28",0,1490,"1490-06-28","mainz_DE_gid_2874225","Mainz",1545,"1545-09-24",0,1545,"#525252"
"amerbach_bruno_viaf_56641742","individual","male","Bruno AMERBACH","basel_CH_gid_2661604","Basel",1484,"1484-12-09",0,1484,"1484-12-09","unknown_location_XX_gid_unknown","Unknown",1519,"1519-10-22",0,1519,"#525252"
"ammonius_jean_viaf_122081603","individual","male","Johannes AMMONIUS","gent_BE_gid_2797656","Ghent",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1535,"1535-01-01",1,NA,"#525252"
"angleberme_jean_pyrrhus_de_viaf_59228519","individual","male","Jean Pyrrhus d'ANGLEBERME","orléans_FR_gid_2989317","Orléans",1470,"1470-01-01",1,1475,"1475-12-31","milano_IT_gid_3173435","Milan",NA,"0000-00-00",1,NA,"#525252"
"angst_wolfgang_viaf_107637903","individual","male","Wolfgang ANGST","kayserberg_FR_gid_3011969","Kayserberg in Upper Alsace",1485,"1485-01-01",1,1485,"1485-12-31","unknown_location_XX_gid_unknown","Unknown",1523,"1523-01-01",1,1523,"#525252"
"antonius_of_luxembourg_viaf_unknown","individual","male","ANTONIUS of Luxembourg","unknown_location_in_luxembourg_LU_gid_unknown","Unknown, in Luxembourg",NA,"0000-00-00",0,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"#525252"
"auerbach_heinrich_viaf_69872391","individual","male","Heinrich STROMER","auerbach_DE_gid_2954603","Auerbach",1482,"1482-01-01",1,1482,"1482-12-31","leipzig_DE_gid_2879139","Leipzig",1542,"1541-11-26",0,1542,"#525252"
