"Id","letter_no_in_edition","Source","sender_inferred","sender_uncertain","Target","recipient_inferred","recipient_uncertain","Label","send_date_year1","send_date_computable1","send_date_has_range","send_date_year2","send_date_computable2","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x"
"era_cwe_1019","1019 [CWE] // 1019 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"285e3bbd-d087-46d6-ad31-2e07a29fa69e",0,0,"1019 To Maarten Lips [Louvain, c November 1518-October 1519] [CWE]",1518,"1518-11-01",1,1519,"1519-10-31",1,1,0,"leuven_BE_gid_2792482",1,0,"leuven_BE_gid_2792482",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_1130","1130 [CWE] // 1130 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"991917f7-8dd1-477b-81d3-a8231abf48e2",0,0,"1130 To Jan van Merleberghe [Louvain, c 1518-20] [CWE]",1518,"1518-01-01",1,1520,"1520-12-31",1,1,0,"leuven_BE_gid_2792482",1,0,"leuven_BE_gid_2792482",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_748","748 [CWE] // 748 [ALLEN]","f53440af-9f18-46b2-9ad9-826e57783b19",0,0,"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"748 From Paschasius Berselius Liège, 7 January [1518] [CWE]",1518,"1518-01-07",0,1518,"1518-01-07",1,0,0,"liège_BE_gid_2792413",0,0,"leuven_BE_gid_2792482",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_749","749 [CWE] // 749 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"a03d2599-dd42-479d-971b-5e4c375fa76c",1,1,"749 To Jan [Bijl?] of Louvain Louvain, 2 January 1518 [CWE]",1518,"1518-01-02",0,1518,"1518-01-02",0,0,0,"leuven_BE_gid_2792482",0,0,"amsterdam_NL_gid_2759794",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_750","750 [CWE] // 750 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"285e3bbd-d087-46d6-ad31-2e07a29fa69e",0,0,"750 To Maarten Lips [Louvain, January 1518?] [CWE]",1518,"1518-01-01",1,1518,"1518-01-31",1,0,1,"leuven_BE_gid_2792482",1,0,"leuven_BE_gid_2792482",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_751","751 [CWE] // 751 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"77c727bc-3e7f-4608-8845-485b177518c1",0,0,"751 To Jan de Hondt [Louvain, 5 January 1518] [CWE]",1518,"1518-01-05",0,1518,"1518-01-05",1,0,0,"leuven_BE_gid_2792482",1,0,"kortrijk_BE_gid_2794055",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_752","752 [CWE] // 752 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"1faa67ba-9b05-46e9-9690-8b6b3bc29829",0,0,"752 To Pierre Barbier Louvain, 6 January 1518 [CWE]",1518,"1518-01-06",0,1518,"1518-01-06",0,0,0,"leuven_BE_gid_2792482",0,0,"unknown_location_in_spain_ES_gid_unknown",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_753","753 [CWE] // 753 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"7503a7be-c746-42ac-a313-58effb67965a",0,0,"753 To Henricus Afinius Louvain, 6 January 1518 [CWE]",1518,"1518-01-06",0,1518,"1518-01-06",0,0,0,"leuven_BE_gid_2792482",0,0,"antwerpen_BE_gid_2803138",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_754","754 [CWE] // 754 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"7f518b08-f2e6-4b50-841d-241067830f86",0,0,"754 To Pieter Gillis [Louvain, c 6 January 1518] [CWE]",1518,"1518-01-06",0,1518,"1518-01-06",1,1,0,"leuven_BE_gid_2792482",1,0,"antwerpen_BE_gid_2803138",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_755","755 [CWE] // 755 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"d20bdfea-c337-4919-81fa-31c6fbc622c1",1,0,"755 To [Johannes de Molendino] [Louvain, c January 1518] [CWE]",1518,"1518-01-01",1,1518,"1518-01-31",1,1,0,"leuven_BE_gid_2792482",1,0,"tournai_BE_gid_2785341",1,0,"latin","familiar letter","letter_1_to_1"
