"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2","colour"
"00dc7284-3fae-4578-8278-ab0aff03a50a","individual","male","Luis Núñez CORONEL","segovia_ES_gid_3109256","Segovia",1470,"1470-01-01",1,1470,"1470-12-31","unknown_location_in_spain_ES_gid_unknown","Unknown, in Spain",1531,"1531-03-01",1,1531,"#525252"
"07b5c6de-a62a-43de-8a14-77715805617e","individual","male","Stanislaus THURZO","kraków_PL_gid_3094802","Cracow",1470,"1470-01-01",1,1470,"1470-12-31","olomouc_CZ_gid_3069011","Olmütz",1540,"1540-04-16",0,1540,"#525252"
"0f0ebd37-0f93-4645-a73a-3c9be94677ef","group","male","[Theologians of Louvain","unknown_location_XX_gid_unknown","not applicable",NA,NA,1,NA,NA,"unknown_location_XX_gid_unknown","not applicable",NA,NA,1,NA,"#525252"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","individual","male","Erasmus Desiderius","rotterdam_NL_gid_2747891","bei Rotterdam",1469,"1469-01-01",1,1469,"1469-12-31","basel_CH_gid_2661604","Basel",1536,"1536-01-01",1,1536,"#3C93AF"
"185d8355-de68-4303-90f5-cbdbf37a9778","individual","male","Maarten DAVIDTS","unknown_location_diocese_of_cambrai_FR_gid_unknown","diocese of Cambrai",NA,NA,1,NA,NA,"unknown_location_XX_gid_unknown","Unknown",1535,"1535-01-12",0,1535,"#525252"
"1ac5ba29-b684-4cea-aab0-23a9d291b6b1","individual","male","Joost LAUWEREYNS","brugge_BE_gid_2800931","prob. Bruges",NA,NA,1,NA,NA,"mechelen_BE_gid_2791537","Mechelen",1527,"1527-11-06",0,1527,"#525252"
"1e1ae6f2-0914-44b8-8154-f5ac9365b28a","individual","male","Jean GLAPION","la_ferté_bernard_FR_gid_3009494","La Ferté-Bernard",1460,"1460-01-01",1,1460,"1460-12-31","valladolid_ES_gid_3106672","Valladolid",1522,"1522-09-14",0,1522,"#525252"
"1faa67ba-9b05-46e9-9690-8b6b3bc29829","individual","male","Pierre BARBIER","arras_FR_gid_3036784","prob. Arras",NA,NA,1,NA,NA,"tournai_BE_gid_2785341","Tournai",1551,"1551-12-07",1,1552,"#525252"
"20d5dcfe-959c-482b-a8ed-255fdc56890c","individual","male","Johannes CAESARIUS","jülich_DE_gid_2894553","Jülich",1468,"1468-01-01",1,1468,"1468-12-31","fraterhaus_weidenbach_DE_gid_unknown","Weidenbach, near Cologne",1550,"1550-12-19",0,1550,"#525252"
"2b73d8d8-43b2-4832-8375-808743b92687","individual","male","Emperor FERDINAND I","alcalá_de_henares_ES_gid_3130616","Alcala de Henares, Castile",1503,"1503-03-10",0,1503,"1503-03-10","vienna_AT_gid_2761369","Wien",1564,"1564-07-25",0,1564,"#525252"
"313d5e42-31ce-44fe-9832-eb4da2e49fcb","individual","male","Wolfgang Faber CAPITO","haguenau_FR_gid_3014078","Hagenau/Elsaß",1478,"1478-01-01",1,1478,"1478-12-31","strasbourg_FR_gid_2973783","Straßburg",1541,"1541-11-02",0,1541,"#525252"
"38695a47-fe76-4441-94e5-119c8c2c06c4","individual","male","Gerard BACHUUS","unknown_location_XX_gid_unknown","Unknown",NA,NA,1,NA,NA,"brugge_BE_gid_2800931","Bruges",1569,"1569-06-29",0,1569,"#525252"
"3a5d3120-bccc-4763-ab3f-7d5400358f8c","individual","male","Conradus GOCLENIUS","mengeringhausen_DE_gid_2871962","Mengeringhausen, in the county of Waldeck( Westphalia)",1499,"1499-01-01",1,1499,"1499-12-31","leuven_BE_gid_2792482","Louvain",1539,"1539-01-25",0,1539,"#525252"
"3cd7810f-4b4f-4d4f-829e-a1a44ca4764c","individual","male","Erasmius FROBEN","basel_CH_gid_2661604","Basel",1515,"1515-01-01",1,1515,"1515-12-31","basel_CH_gid_2661604","prob. Basel",1549,"1549-01-01",1,1549,"#525252"
"4c3e117b-0d82-459a-9034-e3548d2b0981","individual","male","Juan de VERGARA","toledo_ES_gid_2510409","Toledo",1492,"1492-09-04",0,1492,"1492-09-04","toledo_ES_gid_2510409","Toledo",1557,"1557-02-20",0,1557,"#525252"
"4de6dad8-84ae-4acd-9b76-0e2064602f71","individual","male","Germain de BRIE","auxerre_FR_gid_3035843","Auxerre",1490,"1490-01-01",1,1490,"1490-12-31","paris_FR_gid_2988507","Paris",1538,"1538-07-22",0,1538,"#C3161F"
"5018f2e3-f742-4d75-a617-10e968497901","individual","male","Nikolaus von WATTENWYL","bern_CH_gid_2661552","Bern",1492,"1492-01-01",1,1492,"1492-12-31","unknown_location_XX_gid_unknown","Unknown",1551,"1551-03-12",0,1551,"#525252"
"51e6d4f5-2b99-45c7-aab9-0bb8f4caec2b","individual","male","Jan BECKER","borssele_NL_gid_2758587","Borsele, in Zeeland",1475,"1475-01-01",1,1475,"1475-12-31","unknown_location_XX_gid_unknown","Unknown",1536,"1536-05-01",1,1536,"#525252"
"53648df4-11ea-4f39-ba20-cfe42a15237e","individual","male","Maternus HATTEN","speyer_DE_gid_2830582","Speyer",1470,"1470-01-01",1,1470,"1470-12-31","strasbourg_FR_gid_2973783","Strasbourg",1546,"1546-03-04",0,1546,"#525252"
"5375f20d-1943-4735-b423-abf59baadfaa","individual","male","Nicolas BÉRAULT","orléans_FR_gid_2989317","Orléans",1470,"1470-01-01",1,1470,"1470-12-31","unknown_location_XX_gid_unknown","Unknown",1545,"1545-01-01",1,1545,"#C3161F"
"58d839b4-7010-4072-b494-90a51cb6ec6e","individual","male","Matthäus SCHINER","mühlebach_CH_gid_2659562","Mühlebach, near Ernen",1465,"1465-01-01",1,1465,"1465-12-31","rome_IT_gid_3169070","Rome",1522,"1522-10-01",0,1522,"#525252"
"5de89ee0-c88e-4ef7-94a0-3ef4ece27471","individual","male","Emperor CHARLES V","gent_BE_gid_2797656","Ghent",1500,"1500-02-24",0,1500,"1500-02-24","monasterio_de_yuste_ES_gid_6452898","San Jerónimo de Yuste",1558,"1558-09-21",0,1558,"#525252"
"5fc7b5ba-15e5-4b6c-a90d-14ecb734b9ea","individual","male","Leonhard MÜLLER","unknown_location_XX_gid_unknown","Unknown",NA,NA,1,NA,NA,"unknown_location_XX_gid_unknown","Unknown",1525,"1525-04-10",1,1525,"#525252"
"626c0dde-e152-4394-87c3-8a0ede0a683c","individual","male","Konrad HERESBACH","mettmann_DE_gid_2871535","Heresbach, near Düsseldorf",1496,"1496-08-02",0,1496,"1496-08-02","rees_DE_gid_2849548","Lorward",1576,"1576-10-14",0,1576,"#525252"
"639f3ce8-be9f-4993-b200-3fcde3a3b4e9","individual","male","Andrea ALCIATI","alzate_brianza_IT_gid_6535114","Alzate Brianza bei Como",1492,"1492-05-08",0,1492,"1492-05-08","pavia_IT_gid_3171366","Pavia",1550,"1550-01-12",0,1550,"#C3161F"
"6a49315c-d60d-4bdf-b0cd-1a1c7daa3394","individual","male","Jan STERCKE","meerbeke_BE_gid_2791507","Meerbeke",NA,NA,1,NA,NA,"unknown_location_XX_gid_unknown","Unknown",1535,"1535-04-05",0,1535,"#525252"
"87af3740-6b36-4e29-b4eb-b699da0ee2ab","individual","male","Heinrich STROMER","auerbach_DE_gid_2954603","Auerbach",1482,"1482-01-01",1,1482,"1482-12-31","leipzig_DE_gid_2879139","Leipzig",1542,"1542-11-26",0,1542,"#525252"
"8dc7197f-121c-4fcd-861f-cc4461a907ed","individual","male","Francesco CHIERIGATI","vicenza_IT_gid_3164419","Vicenza",1478,"1478-01-01",1,1478,"1478-12-31","bologna_IT_gid_3181928","Bologna",1539,"1539-12-05",0,1539,"#525252"
"8defe3cc-a123-4f0d-9ba5-09267e4d6809","individual","male","Battista CASALI","rome_IT_gid_3169070","Rome",1473,"1473-01-01",1,1473,"1473-12-31","rome_IT_gid_3169070","Rome",1525,"1525-04-13",0,1525,"#525252"
"8e337b13-a43c-4100-81c0-7ee324f61eb0","individual","male","Pope ADRIAN VI","utrecht_NL_gid_2745912","Utrecht",1459,"1459-03-02",0,1459,"1459-03-02","rome_IT_gid_3169070","Rome",1523,"1523-09-14",0,1523,"#525252"
"962ffe89-1ebc-4438-bed7-384d01116748","individual","male","John FISHER","beverley_GB_gid_2655785","Beverley/Yorkshire",1469,"1469-01-01",1,1469,"1469-12-31","london_GB_gid_2643743","London",1535,"1535-06-22",0,1535,"#525252"
