"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2","colour"
"0235d3d2-1490-4a5d-bc9b-32b82ace7456","individual","male","Adolf van der NOOT","brussels_BE_gid_2800866","Brussels",1486,"1486-06-03",0,1486,"1486-06-03","brussels_BE_gid_2800866","Brussels",1543,"1543-03-31",0,1543,"#525252"
"0905df4c-eca7-4ac5-ae45-3bb42f294686","individual","male","Johann Georg HÖRMANN","augsburg_DE_gid_2954172","Augbsurg",1513,"1513-06-06",0,1513,"1513-06-06","augsburg_DE_gid_2954172","Augsburg",1562,"1562-04-05",0,1562,"#525252"
"14f05533-45b4-4b87-a313-d16b5c8506ae","individual","male","Paul VOLZ","offenburg_DE_gid_2857798","Offenburg (i. Baden)",1480,"1480-01-01",1,1480,"1480-12-31","strasbourg_FR_gid_2973783","Strasbourg",1544,"1544-07-06",0,1544,"#525252"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","individual","male","Erasmus Desiderius","rotterdam_NL_gid_2747891","bei Rotterdam",1469,"1469-01-01",1,1469,"1469-12-31","basel_CH_gid_2661604","Basel",1536,"1536-01-01",1,1536,"#3C93AF"
"2b33f692-a515-4aeb-8397-04c88fd45b36","individual","male","Tielmannus GRAVIUS","köln_DE_gid_2886242","Köln",1474,"1474-01-01",1,1474,"1474-12-31","köln_DE_gid_2886242","prob. Cologne",1545,"1545-01-01",1,1545,"#525252"
"2b73d8d8-43b2-4832-8375-808743b92687","individual","male","Emperor FERDINAND I","alcalá_de_henares_ES_gid_3130616","Alcala de Henares, Castile",1503,"1503-03-10",0,1503,"1503-03-10","vienna_AT_gid_2761369","Wien",1564,"1564-07-25",0,1564,"#525252"
"2bf9cc2d-d91a-4d46-b38a-c2c0584f1ab0","individual","male","Philippus MELANCHTHON","bretten_DE_gid_2944200","Bretten",1497,"1497-02-16",0,1497,"1497-02-16","wittenberg_DE_gid_7303020","Wittenberg",1560,"1560-04-19",0,1560,"#525252"
"2fea7f06-e9fd-4cee-8fab-a7c93d64b8ec","individual","male","Pierre RICHARDOT","la_roche_morey_FR_gid_2991835","Morey, near Vesoul (Département de la Haute-Saône)",NA,NA,1,NA,NA,"besançon_FR_gid_3033123","prob. Besançon",1541,"1541-12-25",0,1541,"#525252"
"3a18f520-8241-4b95-b128-bdd62bc0a03e","individual","male","Charles BLOUNT","tournai_BE_gid_2785341","Tournai",1516,"1516-06-28",0,1516,"1516-06-28","unknown_location_XX_gid_unknown","Unknown",1544,"1544-10-10",0,1544,"#525252"
"3a5d3120-bccc-4763-ab3f-7d5400358f8c","individual","male","Conradus GOCLENIUS","mengeringhausen_DE_gid_2871962","Mengeringhausen, in the county of Waldeck( Westphalia)",1499,"1499-01-01",1,1499,"1499-12-31","leuven_BE_gid_2792482","Louvain",1539,"1539-01-25",0,1539,"#525252"
"407693e6-5dbb-4615-94a2-898bf71a7226","individual","male","Daniel STIEBAR von Buttenheim","rabeneck_DE_gid_2851241","Rabeneck, between Bamberg and Bayreuth",1503,"1503-01-01",1,1503,"1503-12-31","würzburg_DE_gid_2805615","Würzburg",1555,"1555-08-07",0,1555,"#525252"
"46b0ef23-7df0-4783-a965-37ef9c6eed3c","individual","male","Gilbert COUSIN","nozeroy_FR_gid_2989871","Nozeroy, between Pontarlier and Lons-le-Saunier",1506,"1506-01-21",0,1506,"1506-01-21","besançon_FR_gid_3033123","Besançon",1572,"1572-05-22",0,1572,"#525252"
"5375f20d-1943-4735-b423-abf59baadfaa","individual","male","Nicolas BÉRAULT","orléans_FR_gid_2989317","Orléans",1470,"1470-01-01",1,1470,"1470-12-31","unknown_location_XX_gid_unknown","Unknown",1545,"1545-01-01",1,1545,"#C3161F"
"5babd1e2-2f18-4e3c-aed8-6a890da577a0","individual","male","Eustache CHAPUYS","annency_FR_gid_3037543","Annecy, in Savoy",1490,"1490-01-01",1,1492,"1492-12-31","leuven_BE_gid_2792482","Leuven",1556,"1556-01-21",0,1556,"#525252"
"5f4d5e89-d3fe-44b0-899f-8d10839e4908","individual","male","Léonard de GRUYÈRES","neuchâtel_CH_gid_2659496","Neuchâtel",NA,NA,1,NA,NA,"gent_BE_gid_2797656","Ghent",1540,"1540-04-02",1,1540,"#525252"
"60fc3005-ee0b-47c9-adb7-0dc21f3c5381","individual","male","Juan Ginés de SEPÚLVEDA","pozoblanco_ES_gid_2512340","Pozoblanco",1490,"1490-01-01",1,1490,"1490-12-31","pozoblanco_ES_gid_2512340","Pozoblanco",1573,"1573-11-17",0,1573,"#525252"
"627c1776-db7d-4571-84ce-eb47c9e0a596","individual","male","Damião de GOIS","alenquer_PT_gid_2272036","Alenquer",1502,"1502-02-02",0,1502,"1502-02-02","alcobac¸a_PT_gid_2272147","Alcobac¸a",1574,"1574-01-30",0,1574,"#525252"
