"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2"
"95a7c0a6-f582-4b68-b2d5-6fe4f238fb08","individual","male","Pope JULIUS II [COE] // Julius II [CWE] // Julius II, Pope [ALLEN]","albisola_superiore_IT_gid_6534243","Albisola Superiore","1443","1443-12-05","0","1443","1443-12-05","rome_IT_gid_3169070","Rome","1513","1513-02-21","0","1513"
"639f3ce8-be9f-4993-b200-3fcde3a3b4e9","individual","male","Andrea ALCIATI [COE] // Andrea Alciati [CWE] // Alciati, Andrea [ALLEN]","alzate_brianza_IT_gid_6535114","Alzate Brianza bei Como","1492","1492-05-08","0","1492","1492-05-08","pavia_IT_gid_3171366","Pavia","1550","1550-01-12","0","1550"
"cacec994-3346-4081-bd41-7c3dd391e8e3","individual","male","Josse BADE [COE] // Josse Bade [CWE] // Bade, Josse [ALLEN]","asse_BE_gid_2803033","d'Asche bei Brüssel","1461","1461-01-01","1","1462","1462-12-31","paris_FR_gid_2988507","Paris","1535","1535-12-01","1","1535"
"4de6dad8-84ae-4acd-9b76-0e2064602f71","individual","male","Germain de BRIE [COE] // Germain de Brie [CWE] // Brie, Germain de [ALLEN]","auxerre_FR_gid_3035843","Auxerre","1490","1490-01-01","1","1490","1490-12-31","paris_FR_gid_2988507","Paris","1538","1538-07-22","0","1538"
"96b34928-b9ad-4622-a9e5-2bc06a5895ef","individual","male","Guillaume COP [COE] // Guillaume Cop [CWE] // Cop, William [ALLEN]","basel_CH_gid_2661604","Basel","1461","1461-01-01","1","1461","1461-12-31","paris_FR_gid_2988507","Paris","1532","1532-12-02","0","1532"
"10f58e5e-e43a-405e-901a-3633cbf82bc9","individual","male","François DELOYNES [COE] // François Deloynes [CWE] // Deloynes, François [ALLEN]","beaugency_FR_gid_3034297","Beaugency, near Orléans","1468","1468-01-01","1","1468","1468-12-31","unknown_location_XX_gid_unknown","Unknown","1524","1524-07-01","1","1524"
"323b3987-6b7c-4bbd-853b-abe1dd1f85dd","individual","male","Thomas LINACRE [COE] // Thomas Linacre [CWE] // Linacre, Thomas [ALLEN]","canterbury_GB_gid_2653877","Canterbury","1460","1460-01-01","1","1460","1460-12-31","london_GB_gid_2643743","prob. London","1524","1524-10-20","0","1524"
"702846d2-4b22-4fc3-90f2-ae30d88d23c5","individual","male","FRANCIS I [COE] // Francis I [CWE] // Francis I, King of France [ALLEN]","cognac_FR_gid_3024440","Cognac","1494","1494-09-12","0","1494","1494-09-12","rambouillet_FR_gid_2984513","Rambouillet","1547","1547-03-31","0","1547"
"cf3972c3-9700-467a-be0e-d8b2ed95486c","individual","male","Jacques LEFÈVRE d'Etaples [COE] // Jacques Lefèvre d'Etaples [CWE] // Faber Stapulensis, Jacobus [ALLEN]","étaples_FR_gid_3019441","Étaples in Picardy","1460","1460-01-01","1","1460","1460-12-31","nérac_DE_gid_2990780","Nérac","1536","1536-01-01","1","1536"
"0f7bc43b-c60d-4261-a19a-e1e559dc8873","individual","male","Cuthbert TUNSTALL [COE] // Cuthbert Tunstall [CWE] // Tunstall, Cuthbert [ALLEN]","hackforth_GB_gid_2647701","Hackforth, near Catterick","1474","1474-01-01","1","1474","1474-12-31","lambeth_GB_gid_6545250","Lambeth Palace","1559","1559-11-18","0","1559"
