"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"gbudé_gueudet_01","","budé_guillaume_viaf_105878228","Guillaume Budé [Gueudet]","0","0","alciati_andrea_viaf_51699991","Andrea Alciat [Gueudet]","0","0","Guillaume Budé à Andrea Alciat. Paris, le 21 juin 1530 [Gueudet]","1530","06","21","1530-06-21","0","1530","06","21","1530-06-21","21 juin 1530 [Gueudet]","0","0","0","paris_FR_gid_2988507","Paris [Gueudet]","0","0","bourges_FR_gid_3031005","[Bourges]","1","0","latin","familiar letter","letter_1_to_1","published in Gueudet 1968 - Une lettre inédite de Budé a Alciat"
"gbudé_rep_164","164 [Répertoire]","budé_guillaume_viaf_105878228","Guillaume Budé","0","0","alciati_andrea_viaf_51699991","André Alciat","0","0","Ep 164 A André Alciat. Paris, 24 septembre [1529]","1529","09","24","1529-09-24","0","1529","09","24","1529-09-24","24 septembre [1529]","1","0","0","paris_FR_gid_2988507","Paris","0","0","bourges_FR_gid_3031005","[Bourges]","0","1","latin","familiar letter","letter_1_to_1",""
"gbudé_rep_86","86 [Répertoire]","budé_guillaume_viaf_105878228","Guillaume Budé","0","0","alciati_andrea_viaf_51699991","André Alciat","0","0","Ep 86 A André Alciat. 17 mars 1521, à la suite du Roi","1521","03","17","1521-03-17","0","1521","03","17","1521-03-17","17 mars 1521","0","0","0","romorantin_lanthenay_FR_gid_2982967","à la suite du Roi [= Romorantin :CK]","0","0","avignon_FR_gid_3035681","[Avignon]","0","1","latin","familiar letter","letter_1_to_1",""
"era_allen_2468","2468 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [ALLEN]","0","0","alciati_andrea_viaf_51699991","Andrew Alciati [ALLEN]","0","0","2468 To Andrew Alciati, Freiburg, 31 March 1531 [ALLEN]","1531","03","31","1531-03-31","0","1531","03","31","1531-03-31","31 March 1531 [ALLEN]","0","0","0","freiburg_DE_gid_2925177","Freiburg [ALLEN]","0","0","bourges_FR_gid_3031005","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1250","1250 [CWE] // 1250 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","alciati_andrea_viaf_51699991","Andrea Alciati [CWE]","0","0","1250 To Andrea Alciati Basel, 14 December 1521 [CWE]","1521","12","14","1521-12-14","0","1521","12","14","1521-12-14","14 December 1521 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","avignon_FR_gid_3035681","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1278","1278 [CWE] // 1278 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","alciati_andrea_viaf_51699991","Andrea Alciati [CWE]","0","0","1278 To Andrea Alciati Basel, 23 April 1522 [CWE]","1522","04","25","1522-04-25","0","1522","04","25","1522-04-25","25 April 1522 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","avignon_FR_gid_3035681","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1706","1706 [CWE] // 1706 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","alciati_andrea_viaf_51699991","Andrea Alciati [CWE]","0","0","1706 To Andrea Alciati Basel, [c 6 May 1526] [CWE]","1526","05","06","1526-05-06","0","1526","05","06","1526-05-06","[c 6 May 1526] [CWE]","1","1","0","basel_CH_gid_2661604","Basel [CWE]","0","0","milano_IT_gid_3173435","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_2051","2051 [CWE] // 2051 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","alciati_andrea_viaf_51699991","Andrea Alciati [CWE]","0","0","2051 To Andrea Alciati Basel, 16 September 1528 [CWE]","1528","09","16","1528-09-16","0","1528","09","16","1528-09-16","16 September 1528 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","avignon_FR_gid_3035681","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_2329","2329 [CWE] // 2329 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","alciati_andrea_viaf_51699991","Andrea Alciati [CWE]","0","0","2329 To Andrea Alciati Freiburg, [c 24 June] 1530 [CWE]","1530","06","24","1530-06-24","0","1530","06","24","1530-06-24","[c 24 June] 1530 [CWE]","1","1","0","freiburg_DE_gid_2925177","Freiburg [CWE]","0","0","bourges_FR_gid_3031005","","1","0","latin","familiar letter","letter_1_to_1",""
"gbudé_rep_103","10 [Budé lettres grecques] // 103 [Répertoire]","budé_guillaume_viaf_105878228","Guillaume Budé","0","0","brie_germain_de_viaf_227062191","Germain de Brie","0","0","Ep 103 A Germain de Brie. De Dijon, ville près de la résidence de la cour, 18 juin 1521","1521","06","18","1521-06-18","0","1521","06","18","1521-06-18","18 juin 1521","0","0","0","dijon_FR_gid_3021372","De Dijon, ville près de la résidence de la cour","0","0","paris_FR_gid_2988507","[Paris]","0","1","greek","familiar letter","letter_1_to_1","this is also Budé lettres grecques No. 10"
