"Id","letter_no_in_edition","Source","sender_inferred","sender_uncertain","Target","recipient_inferred","recipient_uncertain","Label","send_date_year1","send_date_computable1","send_date_has_range","send_date_year2","send_date_computable2","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x"
"era_allen_2394","2394 [ALLEN]","639f3ce8-be9f-4993-b200-3fcde3a3b4e9","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2394 From Andrew Alciati, Bourges, 7 Oct. 1530 [ALLEN]","1530","1530-10-07","0","1530","1530-10-07","0","0","0","bourges_FR_gid_3031005","0","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1261","1261 [CWE] // 1261 [ALLEN]","639f3ce8-be9f-4993-b200-3fcde3a3b4e9","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1261 From Andrea Alciati Avignon, 24 February 1522 [CWE]","1522","1522-02-24","0","1522","1522-02-24","0","0","0","avignon_FR_gid_3035681","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1288","1288 [CWE] // 1288 [ALLEN]","639f3ce8-be9f-4993-b200-3fcde3a3b4e9","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1288 From Andrea Alciati [Noves, c 29 May 1522] [CWE]","1522","1522-05-29","0","1522","1522-05-29","1","1","0","noves_FR_gid_2989935","1","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_2276","2276 [CWE] // 2276 [ALLEN]","639f3ce8-be9f-4993-b200-3fcde3a3b4e9","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2276 From Andrea Alciati Bourges, 1 March 1530 [CWE]","1530","1530-03-01","0","1530","1530-03-01","0","0","0","bourges_FR_gid_3031005","0","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_allen_2405","2405 [ALLEN]","4de6dad8-84ae-4acd-9b76-0e2064602f71","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2405 From Germanus Brixius, the Court, 8 Nov. 1530 [ALLEN]","1530","1530-11-08","0","1530","1530-11-08","0","0","0","unknown_location_XX_gid_unknown","0","1","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_allen_2727","2727 [ALLEN]","4de6dad8-84ae-4acd-9b76-0e2064602f71","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2727 From Germanus Brixius, Paris, 1 Oct. 1532 [ALLEN]","1532","1532-10-01","0","1532","1532-10-01","0","0","0","paris_FR_gid_2988507","0","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1045","1045 [CWE] // 1045 [ALLEN]","4de6dad8-84ae-4acd-9b76-0e2064602f71","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1045 From Germain de Brie Paris, [c December] 1519 [CWE]","1519","1519-12-01","1","1519","1519-12-31","1","1","0","paris_FR_gid_2988507","0","0","leuven_BE_gid_2792482","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1733","1733 [CWE] // 1733 [ALLEN]","4de6dad8-84ae-4acd-9b76-0e2064602f71","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1733 From Germain de Brie Gentilly, 11 August 1526 [CWE]","1526","1526-08-11","0","1526","1526-08-11","0","0","0","gentilly_FR_gid_3016292","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1817","1817 [CWE] // 1817 [ALLEN]","4de6dad8-84ae-4acd-9b76-0e2064602f71","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1817 From Germain de Brie Paris, 10 May 1527 [CWE]","1527","1527-05-10","0","1527","1527-05-10","0","0","0","paris_FR_gid_2988507","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_2021","2021 [CWE] // 2021 [ALLEN]","4de6dad8-84ae-4acd-9b76-0e2064602f71","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2021 From Germain de Brie Gentilly, 12 August 1528 [CWE]","1528","1528-08-12","0","1528","1528-08-12","0","0","0","gentilly_FR_gid_3016292","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_2340","2340 [CWE] // 2340 [ALLEN]","4de6dad8-84ae-4acd-9b76-0e2064602f71","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2340 From Germain de Brie [?], 6 July 1530 [CWE]","1530","1530-07-06","0","1530","1530-07-06","0","0","0","unknown_location_XX_gid_unknown","0","1","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_569","569 [CWE] // 569 [ALLEN]","4de6dad8-84ae-4acd-9b76-0e2064602f71","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","569 From Germain de Brie Paris, 6 April 1517 [CWE]","1517","1517-04-06","0","1517","1517-04-06","0","0","0","paris_FR_gid_2988507","0","0","antwerpen_BE_gid_2803138","1","0","latin","familiar letter","letter_1_to_1"
"gbudé_lg_7","7 [Budé lettres grecques]","4de6dad8-84ae-4acd-9b76-0e2064602f71","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","0","0","Ep 7 De Brie à Budé. Paris, 20 décembre 1520 [Budé lettres grecques]","1520","1520-12-20","0","1520","1520-12-20","0","0","0","paris_FR_gid_2988507","0","0","blois_FR_gid_3032213","1","0","greek","familiar letter","letter_1_to_1"
"gbudé_lg_9","9 [Budé lettres grecques]","4de6dad8-84ae-4acd-9b76-0e2064602f71","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","0","0","Ep 9 De Brie à Budé. Paris, 31 janvier 1521 [Budé lettres grecques]","1521","1521-01-31","0","1521","1521-01-31","0","0","0","paris_FR_gid_2988507","0","0","romorantin_lanthenay_FR_gid_2982967","1","0","greek","familiar letter","letter_1_to_1"
