"Id","letter_no_in_edition","Source","sender_inferred","sender_uncertain","Target","recipient_inferred","recipient_uncertain","Label","send_date_year1","send_date_computable1","send_date_has_range","send_date_year2","send_date_computable2","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x"
"era_cwe_344","344 [CWE] // 344 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c",0,0,"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"344 From Udalricus Zasius Freiburg im Breisgau, 9 August 1515 [CWE]",1515,"1515-08-09",0,1515,"1515-08-09",0,0,0,"freiburg_DE_gid_2925177",0,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_357","357 [CWE] // 357 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c",0,0,"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"357 From Udalricus Zasius Freiburg im Breisgau, 21 September [1515] [CWE]",1515,"1515-09-21",0,1515,"1515-09-21",1,0,0,"freiburg_DE_gid_2925177",0,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_367","367 [CWE] // 367 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c",0,0,"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"367 From Udalricus Zasius Freiburg im Breisgau, 30 October 1515 [CWE]",1515,"1515-10-30",0,1515,"1515-10-30",0,0,0,"freiburg_DE_gid_2925177",0,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_376","376 [CWE] // 376 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c",0,0,"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"376 From Udalricus Zasius Freiburg im Breisgau, 16 December 1515 [CWE]",1515,"1515-12-16",0,1515,"1515-12-16",0,0,0,"freiburg_DE_gid_2925177",0,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_380","380 [CWE] // 380 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c",0,0,"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"380 From Udalricus Zasius [Freiburg im Breisgau], 26 December 1515 [CWE]",1515,"1515-12-26",0,1515,"1515-12-26",0,0,0,"freiburg_DE_gid_2925177",1,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_345","345 [CWE] // 345 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"a9779b0b-cb2b-4a48-84c4-940449ef5c3c",0,0,"345 To Udalricus Zasius [Basel, beginning of August 1515] [CWE]",1515,"1515-08-01",1,1515,"1515-08-10",1,0,0,"basel_CH_gid_2661604",1,0,"freiburg_DE_gid_2925177",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_350","350 [CWE] // 350 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"eeb88e60-ea26-4029-9e0c-77a8f3f58e5c",0,0,"350 To Richard Pace Basel, 4 September [1515] [CWE]",1515,"1515-09-04",0,1515,"1515-09-04",1,0,0,"basel_CH_gid_2661604",0,0,"unknown_location_XX_gid_unknown",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_358","358 [CWE] // 358 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"a9779b0b-cb2b-4a48-84c4-940449ef5c3c",0,0,"358 To Udalricus Zasius [Basel, end of September 1515] [CWE]",1515,"1515-09-22",1,1515,"1515-09-30",1,0,0,"basel_CH_gid_2661604",1,0,"freiburg_DE_gid_2925177",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_366","366 [CWE] // 366 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"a9779b0b-cb2b-4a48-84c4-940449ef5c3c",0,0,"366 To Udalricus Zasius [Basel, October 1515] [CWE]",1515,"1515-10-01",1,1515,"1515-10-31",1,0,0,"basel_CH_gid_2661604",1,0,"freiburg_DE_gid_2925177",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_379","379 [CWE] // 379 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf",0,0,"a9779b0b-cb2b-4a48-84c4-940449ef5c3c",0,0,"379 To Udalricus Zasius [Basel], [December 1515 ?] [CWE]",1515,"1515-12-01",1,1515,"1515-12-31",1,0,1,"basel_CH_gid_2661604",1,0,"freiburg_DE_gid_2925177",1,0,"latin","familiar letter","letter_1_to_1"
