"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2","colour"
"alciati_andrea_viaf_51699991","individual","male","Andrea ALCIATI","alzate_brianza_IT_gid_6535114","Alzate Brianza bei Como",1492,"1492-05-08",0,1492,"1492-05-08","pavia_IT_gid_3171366","Pavia",1550,"1550-01-12",0,1550,"#C3161F"
"béraud_nicolas_viaf_9955323","individual","male","Nicolas BÉRAULT","orléans_FR_gid_2989317","Orléans",1470,"1470-01-01",1,1470,"1470-12-31","unknown_location_XX_gid_unknown","Unknown",1545,"1545-01-01",1,1545,"#C3161F"
"brie_germain_de_viaf_227062191","individual","male","Germain de BRIE","auxerre_FR_gid_3035843","Auxerre",1490,"1490-01-01",1,1490,"1490-12-31","paris_FR_gid_2988507","Paris",1538,"1538-07-22",0,1538,"#C3161F"
"budé_guillaume_viaf_105878228","individual","male","Guillaume BUDÉ","paris_FR_gid_2988507","Paris",1468,"1468-01-26",0,1468,"1468-01-26","paris_FR_gid_2988507","Paris",1540,"1540-08-22",0,1540,"#D5AB5B"
"cochlæus_johannes_viaf_121589726","individual","male","Johannes COCHLAEUS","wendelstein_DE_gid_2811292","Wendelstein bei Schwabach/Mittelfranken",1479,"1479-01-01",1,1479,"1479-12-31","wrocław_PL_gid_3081368","Breslau",1552,"1552-01-10",0,1552,"#C3161F"
"deloynes_françois_viaf_212150646","individual","male","François DELOYNES","beaugency_FR_gid_3034297","Beaugency, near Orléans",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1524,"1524-07-01",1,1524,"#C3161F"
"erasmus_desiderius_viaf_95982394","individual","male","Erasmus Desiderius","rotterdam_NL_gid_2747891","bei Rotterdam",1469,"1469-01-01",1,1469,"1469-12-31","basel_CH_gid_2661604","Basel",1536,"1536-01-01",1,1536,"#3C93AF"
"lascaris_janus_viaf_32142389","individual","male","Janus LASCARIS","İstanbul_TR_gid_745044","Constantinople",1445,"1445-01-01",1,1445,"1445-12-31","rome_IT_gid_3169070","Rome",1534,"1534-12-07",0,1534,"#C3161F"
"linacre_thomas_viaf_59233331","individual","male","Thomas LINACRE","unknown_location_diocese_of_canterbury_GB_gid_unknown","probably born in the diocese of Canterbury",1460,"1460-01-01",1,1460,"1460-12-31","london_GB_gid_2643743","prob. London",1524,"1524-10-20",0,1524,"#C3161F"
"longolius_christopherus_viaf_12405190","individual","male","Christophe de LONGUEIL","mechelen_BE_gid_2791537","Mechelen",1488,"1488-01-01",1,1488,"1488-12-31","padova_IT_gid_3171728","Padua",1522,"1522-09-11",0,1522,"#C3161F"
"lupset_thomas_viaf_89034021","individual","male","Thomas LUPSET","london_GB_gid_2643743","London",1498,"1498-01-01",1,1498,"1498-12-31","london_GB_gid_2643743","London",1530,"1530-12-27",0,1530,"#C3161F"
"more_thomas_sir_saint_viaf_29541174","individual","male","Thomas MORE","london_GB_gid_2643743","London",1477,"1477-02-06",1,1478,"1478-02-07","london_GB_gid_2643743","London",1535,"1535-07-06",0,1535,"#C3161F"
"pace_richard_viaf_62360861","individual","male","Richard PACE","unknown_location_in_hampshire_GB_gid_unknown","prob. Hampshire, in/near Winchester",NA,"0000-00-00",1,NA,"0000-00-00","london_GB_gid_2643743","London",1536,"1536-06-28",0,1536,"#C3161F"
"rabelais_françois_viaf_24606939","individual","male","François RABELAIS","unknown_location_in_france_FR_gid_unknown","La Devinière, near Chinon",NA,"0000-00-00",1,NA,"0000-00-00","paris_FR_gid_2988507","Paris",1553,"1553-04-09",0,1553,"#C3161F"
"ruzé_louis_viaf_306487693","individual","male","Louis RUZÉ","unknown_location_in_france_FR_gid_unknown","Unknown",1468,"1468-01-01",1,1468,"1468-12-31","unknown_location_XX_gid_unknown","Unknown",1526,"1526-01-01",1,1526,"#C3161F"
"tusanus_jacobus_viaf_221293349","individual","male","Jacques TOUSSAIN","unknown_location_diocese_of_troyes_FR_gid_unknown","Unknown, in the diocese of Troyes",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1547,"1547-03-15",0,1547,"#C3161F"
"vives_juan_luis_viaf_71399403","individual","male","Juan Luis VIVES","valencia_ES_gid_2509954","Valencia",1492,"1492-03-06",0,1492,"1492-03-06","brugge_BE_gid_2800931","Bruges",1540,"1540-05-06",0,1540,"#C3161F"
