"Id","letter_no_in_edition","Source","sender_inferred","sender_uncertain","Target","recipient_inferred","recipient_uncertain","Label","send_date_year1","send_date_computable1","send_date_has_range","send_date_year2","send_date_computable2","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x"
"era_cwe_1400","1400 [CWE] // 1400 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"francis_i_king_of_france_viaf_21677",0,0,"1400 To Francis I [Basel], 1 December 1523 [CWE]",1523,"1523-12-01",0,1523,"1523-12-01",0,0,0,"basel_CH_gid_2661604",1,0,"blois_FR_gid_3032213",1,0,"latin","dedicatory letter","letter_1_to_1"
"era_cwe_1403","1403 [CWE] // 1403 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"francis_i_king_of_france_viaf_21677",0,0,"1403 To Francis I Basel, 17 December 1523 [CWE]",1523,"1523-12-17",0,1523,"1523-12-17",0,0,0,"basel_CH_gid_2661604",0,0,"blois_FR_gid_3032213",1,0,"latin","dedicatory letter","letter_1_to_1"
"era_cwe_1369","1369 [CWE] // 1369 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"tunstall_cuthbert_viaf_22160214",0,0,"1369 To Cuthbert Tunstall Basel, [end of June 1523] [CWE]",1523,"1523-06-20",1,1523,"1523-06-30",1,0,0,"basel_CH_gid_2661604",0,0,"london_GB_gid_2643743",1,0,"latin","familiar letter","letter_1_to_1"
"gbudé_rep_143","33 [Budé lettres grecques] // 143 [Répertoire]","budé_guillaume_viaf_105878228",0,0,"lascaris_janus_viaf_32142389",0,0,"Ep 143 A Janus Lascaris. De Saint-Germain, où réside maintent la cour, 5 mai [1523]",1523,"1523-05-05",0,1523,"1523-05-05",1,0,0,"saint_germain_en_laye_FR_gid_2979783",0,0,"unknown_location_in_italy_IT_gid_unknown",0,1,"greek","familiar letter","letter_1_to_1"
"era_cwe_1353","1353 [CWE] // 1353 [ALLEN]","erasmus_desiderius_viaf_95982394",0,0,"zasius_ulrich_viaf_61645489",0,0,"1353 To Udalricus Zasius Basel, [23 March] 1523 [CWE]",1523,"1523-03-23",0,1523,"1523-03-23",1,0,0,"basel_CH_gid_2661604",0,0,"freiburg_DE_gid_2925177",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_1375","1375 [CWE] // 1375 [ALLEN]","francis_i_king_of_france_viaf_21677",0,0,"erasmus_desiderius_viaf_95982394",0,0,"1375 From Francis I Saint-Germain-en-Laye, 7 July [1523] [CWE]",1523,"1523-07-07",0,1523,"1523-07-07",1,0,0,"saint_germain_en_laye_FR_gid_2979783",0,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_1367","1367 [CWE] // 1367 [ALLEN]","tunstall_cuthbert_viaf_22160214",0,0,"erasmus_desiderius_viaf_95982394",0,0,"1367 From Cuthbert Tunstall London, 3 June 1523 [CWE]",1523,"1523-06-05",0,1523,"1523-06-05",0,0,0,"london_GB_gid_2643743",0,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_1360","1360 [CWE] // 1360 [ALLEN]","lupset_thomas_viaf_89034021",0,0,"erasmus_desiderius_viaf_95982394",0,0,"1360 From Thomas Lupset Constance, 21 April [1523] [CWE]",1523,"1523-04-21",0,1523,"1523-04-21",1,0,0,"konstanz_DE_gid_2885679",0,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_1370","1370 [CWE] // 1370 [ALLEN]","budé_guillaume_viaf_105878228",0,0,"erasmus_desiderius_viaf_95982394",0,0,"1370 From Guillaume Budé [Paris, c June 1523] [CWE]",1523,"1523-06-01",1,1523,"1523-06-30",1,1,0,"paris_FR_gid_2988507",1,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"era_cwe_1362","1362 [CWE] // 1362 [ALLEN]","vives_juan_luis_viaf_71399403",0,0,"erasmus_desiderius_viaf_95982394",0,0,"1362 From Juan Luis Vives Bruges, 10 May 1523 [CWE]",1523,"1523-05-10",0,1523,"1523-05-10",0,0,0,"brugge_BE_gid_2800931",0,0,"basel_CH_gid_2661604",1,0,"latin","familiar letter","letter_1_to_1"
"gbudé_rep_141","68 [Budé lettres grecques] // 141 [Répertoire]","budé_guillaume_viaf_105878228",0,0,"rabelais_françois_viaf_24606939",0,0,"Ep 141 A François Rabelais, franciscain. Paris, 27 janvier [1523]",1523,"1523-01-27",0,1523,"1523-01-27",1,0,0,"paris_FR_gid_2988507",0,0,"fontenay_le_comte_FR_gid_3017921",0,1,"greek","familiar letter","letter_1_to_1"
