"correspondents_id","type","gender","viaf_id","wikidata_id","gnd_id","cerl_id","emlo_person_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotation","dob_annotation_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotation","dod_annotation_ref","further_annotation"
"0f7bc43b-c60d-4261-a19a-e1e559dc8873","individual","male","115145857798523020318","Q725592","124653138","cnp01137823","02ef744e-cf11-49f1-9b14-f9b7cd7eb7b0","Cuthbert TUNSTALL [COE] // Cuthbert Tunstall [CWE] // Tunstall, Cuthbert [ALLEN]","Tonstal // Donstall // Tonstallus // Tunstelus","COE III, 349-354","hackforth_GB_gid_2647701","Hackforth, near Catterick","COE III, 349-354","1474","NULL","NULL","1474-01-01","1","1474","NULL","NULL","1474-12-31","1474","COE III, 349-354","lambeth_GB_gid_6545250","Lambeth Palace","COE III, 349-354","1559","11","18","1559-11-18","0","1559","11","18","1559-11-18","18 November 1559","COE III, 349-354","NULL"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","individual","male","87673996","Q43499","118530666","cnp01259600","3d57cf71-45af-4e07-a6bd-d83773da9c21","[Erasmus Desiderius] [COE] // Erasmus [CWE] // Erasmus [ALLEN]","NULL","NULL","rotterdam_NL_gid_2747891","bei Rotterdam","HGK I, 250","1469","NULL","NULL","1469-01-01","1","1469","NULL","NULL","1469-12-31","1469","HGK I, 250","basel_CH_gid_2661604","Basel","HGK I, 250","1536","NULL","NULL","1536-01-01","1","1536","NULL","NULL","1536-12-31","1536","HGK I 250","NULL"
"fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","individual","male","32142389","Q498547","100939503","cnp01089031","NULL","Janus LASCARIS [COE] // Johannes Lascaris [CWE] // Lascaris, John (Janus) [ALLEN]","Lascarius // Laskaris","GND","İstanbul_TR_gid_745044","Constantinople","COE II, 292-294","1445","NULL","NULL","1445-01-01","1","1445","NULL","NULL","1445-12-31","1445","COE II, 292-294","rome_IT_gid_3169070","Rome","COE II, 292-294","1534","12","07","1534-12-07","0","1534","12","07","1534-12-07","7 December 1534","COE II, 292-294","NULL"
"a9779b0b-cb2b-4a48-84c4-940449ef5c3c","individual","male","61645489","Q69024","118772295","cnp01163813","NULL","Udalricus ZASIUS [COE] // Udalricus Zasius [CWE] // Zasius, Ulrich [ALLEN]","Zasy // Zäsy // Zazius","GND // COE III, 469-473","konstanz_DE_gid_2885679","Konstanz","HDS","1461","01","NULL","1461-01-01","1","1461","01","NULL","1461-01-31","Januar 1461","HDS","freiburg_DE_gid_2925177","Freiburg im Breisgau","GND","1535","11","24","1535-11-24","0","1535","11","24","1535-11-24","24 November 1535","COE III, 469-473","NULL"
"763f4d64-dffb-40eb-bc45-2fde4992223e","individual","male","29541174","Q42544","118641158","cnp01875422","393deb08-36f9-408d-a794-ffd06a661f9c","Thomas MORE [COE] // Thomas More [CWE] // More, Sir Thomas [ALLEN]","Morus // Baravellus","GND","london_GB_gid_2643743","London","COE II, 456-459","1477","02","06","1477-02-06","1","1478","02","07","1478-02-07","6/7 February 1477/8","COE II, 456-459","london_GB_gid_2643743","London","COE II, 456-459","1535","07","06","1535-07-06","0","1535","07","06","1535-07-06","6 July 1535","COE II, 456-459","NULL"
"ce2e340e-9f50-4bd1-95e0-4ab14eaa0d09","individual","male","67250364","Q2149257","117731528","cnp01021691","NULL","Richard CROKE [COE] // Richard Croke [CWE] // Croke, Richard [ALLEN]","Crocus","COE I, 359-360","london_GB_gid_2643743","London","COE I, 359-360","1489","NULL","NULL","1489-01-01","1","1489","NULL","NULL","1489-12-31","c 1489","COE I, 359-360","london_GB_gid_2643743","London","BBA","1558","08","NULL","1558-08-20","1","1558","08","NULL","1558-08-31","late August 1558","COE I, 359-360","NULL"
"c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","individual","male","105878228","Q353668","118516868","cnp01323750","7044f479-cca1-41c1-ac10-af753f35f9fc","Guillaume BUDÉ [COE] // Guillaume Budé [CWE] // Budaeus, Guilhelmus (Budé, Guillaume) [ALLEN]","Budaeus","COE I, 212-217","paris_FR_gid_2988507","Paris","HGK I, 140","1468","01","26","1468-01-26","0","1468","01","26","1468-01-26","26 January 1468","COE I, 212-217","paris_FR_gid_2988507","Paris","HGK I, 140","1540","08","22","1540-08-22","0","1540","08","22","1540-08-22","22 August 1540","COE I, 212-217","NULL"
"323b3987-6b7c-4bbd-853b-abe1dd1f85dd","individual","male","59233331","Q730540","118780018","cnp01364845","3cb181f6-9de9-4ad9-8ef7-da2d04ab0551","Thomas LINACRE [COE] // Thomas Linacre [CWE] // Linacre, Thomas [ALLEN]","Linacer","COE II, 331-332","canterbury_GB_gid_2653877","Canterbury","BBA","1460","NULL","NULL","1460-01-01","1","1460","NULL","NULL","1460-12-31","c 1460","COE II, 331-332","london_GB_gid_2643743","prob. London","COE II, 331-332","1524","10","20","1524-10-20","0","1524","10","20","1524-10-20","20 October 1524","COE II, 331-","NULL"
"eeb88e60-ea26-4029-9e0c-77a8f3f58e5c","individual","male","62360861","Q1245672","11955044X","cnp01238053","NULL","Richard PACE [COE] // Richard Pace [CWE] // Pace, Richard [ALLEN]","Paceus","COE III, 37-39","unknown_location_in_hampshire_GB_gid_unknown","prob. Hampshire, in/near Winchester","COE III, 37-39","1482","NULL","NULL","1482-01-01","1","1482","NULL","NULL","1482-12-31","1482","GND","london_GB_gid_2643743","London","COE III, 37-39","1536","06","28","1536-06-28","0","1536","06","28","1536-06-28","28 June 1536","COE III, 37-39","NULL"
"a20b6be9-28f9-46c7-b8cd-b6a0014d7d15","individual","male","100187526","Q17302897","100118720","cnp01348219","NULL","Giambattista EGNAZIO [COE] // Giambattista Egnazio [CWE] // Egnatius, Johannes Baptista [ALLEN]","Cipelli // Cipolles // Aegnatius // Egnatius // Egnace // Egnatio","GND","venice_IT_gid_3164603","Venice","COE I, 424-425","1478","NULL","NULL","1478-01-01","1","1478","NULL","NULL","1478-12-31","1478","COE I, 424-425","venice_IT_gid_3164603","Venice","Dizionario Biografico degli Italiani","1553","07","04","1553-07-04","0","1553","07","04","1553-07-04","4 July 1553","COE I, 424-425","NULL"
