"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"era_cwe_1595","1595 [CWE] // 1595 [ALLEN]","lupset_thomas_viaf_89034021","Thomas Lupset [CWE]","0","0","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","1595 From Thomas Lupset Padua, 23 August 1525 [CWE]","1525","08","23","1525-08-23","0","1525","08","23","1525-08-23","23 August 1525 [CWE]","0","0","0","padova_IT_gid_3171728","Padua [CWE]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1555","1555 [CWE] // 1555 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","sadoleto_jacopo_viaf_76326881","Jacopo Sadoleto [CWE]","0","0","1555 To Jacopo Sadoleto Basel, 25 February 1525 [CWE]","1525","02","25","1525-02-25","0","1525","02","25","1525-02-25","25 February 1525 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","rome_IT_gid_3169070","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1586","1586 [CWE] // 1586 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","sadoleto_jacopo_viaf_76326881","Jacopo Sadoleto [CWE]","0","0","1586 To Jacopo Sadoleto Basel, 2 July 1525 [CWE]","1525","07","02","1525-07-02","0","1525","07","02","1525-07-02","2 July 1525 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","rome_IT_gid_3169070","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1597","1597 [CWE] // 1597 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","brie_germain_de_viaf_227062191","Germain de Brie [CWE]","0","0","1597 To Germain de Brie Basel, 25 August 1525 [CWE]","1525","08","25","1525-08-25","0","1525","08","25","1525-08-25","25 August 1525 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","paris_FR_gid_2988507","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1601","1601 [CWE] // 1601 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","1601 To Guillaume Bude Basel, 25 August 1525 [CWE]","1525","08","25","1525-08-25","0","1525","08","25","1525-08-25","25 August 1525 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","paris_FR_gid_2988507","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1616","1616 [CWE] // 1616 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","cantiuncula_claudius_viaf_74646923","Claudius Cantiuncula [CWE]","0","0","1616 To Claudius Cantiuncula [Basel, c September 1525] [CWE]","1525","09","","1525-09-01","1","1525","09","","1525-09-30","[c September 1525] [CWE]","1","1","0","basel_CH_gid_2661604","[Basel] [CWE]","1","0","vic_sur_seille_FR_gid_2969364","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1619","1619 [CWE] // 1619 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","1619 To Guillaume Bude Basel, 2 October 1525 [CWE]","1525","10","02","1525-10-02","0","1525","10","02","1525-10-02","2 October 1525 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","paris_FR_gid_2988507","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1623","1623 [CWE] // 1623 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","egnazio_giovanni_battista_viaf_100187526","Giambattista Egnazio [CWE]","0","0","1623 To Giambattista Egnazio Basel, 3 October 1525 [CWE]","1525","10","03","1525-10-03","0","1525","10","03","1525-10-03","3 October 1525 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","venice_IT_gid_3164603","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1624","1624 [CWE] // 1624 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","lupset_thomas_viaf_89034021","Thomas Lupset [CWE]","0","0","1624 To Thomas Lupset Basel, [c 4 October] 1525 [CWE]","1525","10","04","1525-10-04","0","1525","10","04","1525-10-04","[c 4 October] 1525 [CWE]","1","1","0","basel_CH_gid_2661604","Basel [CWE]","0","0","padova_IT_gid_3171728","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1613","1613 [CWE] // 1613 [ALLEN]","vives_juan_luis_viaf_71399403","Juan Luis Vives [CWE]","0","0","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","1613 From Juan Luis Vives Bruges, 20 September 1525 [CWE]","1525","09","20","1525-09-20","0","1525","09","20","1525-09-20","20 September 1525 [CWE]","0","0","0","brugge_BE_gid_2800931","Bruges [CWE]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1",""
