"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"era_cwe_1792","1792 [CWE] // 1792 [ALLEN]","a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","Juan Luis Vives [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1792 From Juan Luis Vives Bruges, 18 March [1527] [CWE]","1527","3","18","1527-03-18","0","1527","3","18","1527-03-18","18 March [1527] [CWE]","1","0","0","brugge_BE_gid_2800931","Bruges [CWE]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1794","1794 [CWE] // 1794 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé [CWE]","0","0","1794 To Guillaume Budé Basel, 23 March 1527 [CWE]","1527","3","23","1527-03-23","0","1527","3","23","1527-03-23","23 March 1527 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","paris_FR_gid_2988507","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1804","1804 [CWE] // 1804 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","763f4d64-dffb-40eb-bc45-2fde4992223e","Thomas More [CWE]","0","0","1804 To Thomas More Basel, 30 March 1527 [CWE]","1527","3","30","1527-03-30","0","1527","3","30","1527-03-30","30 March 1527 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","greenwich_GB_gid_2647937","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1812","1812 [CWE] // 1812 [ALLEN]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1812 From Guillaume Budé Paris, 22 April 1527 [CWE]","1527","4","22","1527-04-22","0","1527","4","22","1527-04-22","22 April 1527 [CWE]","0","0","0","paris_FR_gid_2988507","Paris [CWE]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1817","1817 [CWE] // 1817 [ALLEN]","4de6dad8-84ae-4acd-9b76-0e2064602f71","Germain de Brie [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1817 From Germain de Brie Paris, 10 May 1527 [CWE]","1527","5","10","1527-05-10","0","1527","5","10","1527-05-10","10 May 1527 [CWE]","0","0","0","paris_FR_gid_2988507","Paris [CWE]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1830","1830 [CWE] // 1830 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","Juan Luis Vives [CWE]","0","0","1830 To Juan Luis Vives Basel, 29 May 1527 [CWE]","1527","5","29","1527-05-29","0","1527","5","29","1527-05-29","29 May 1527 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","brugge_BE_gid_2800931","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1835","1835 [CWE] // 1835 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","4de6dad8-84ae-4acd-9b76-0e2064602f71","Germain de Brie [CWE]","0","0","1835 To Germain de Brie Basel, 10 June 1527 [CWE]","1527","6","10","1527-06-10","0","1527","6","10","1527-06-10","10 June 1527 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","paris_FR_gid_2988507","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1836","1836 [CWE] // 1836 [ALLEN]","a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","Juan Luis Vives [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1836 From Juan Luis Vives Bruges, 13 June 1527 [CWE]","1527","6","13","1527-06-13","0","1527","6","13","1527-06-13","13 June 1527 [CWE]","0","0","0","brugge_BE_gid_2800931","Bruges [CWE]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1840","1840 [CWE] // 1840 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé [CWE]","0","0","1840 To Guillaume Budé [Basel], 22 June 1527 [CWE]","1527","6","22","1527-06-22","0","1527","6","22","1527-06-22","22 June 1527 [CWE]","0","0","0","basel_CH_gid_2661604","[Basel] [CWE]","1","0","paris_FR_gid_2988507","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1842","1842 [CWE] // 1842 [ALLEN]","47a073b9-cc8e-4ec4-9ab0-b9ba289db498","Jacques Toussain [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1842 From Jacques Toussain Paris, 29 June [1527] [CWE]","1527","6","29","1527-06-29","0","1527","6","29","1527-06-29","29 June [1527] [CWE]","1","0","0","paris_FR_gid_2988507","Paris [CWE]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1","NULL"
