"recipient_id","name_in_edition","Number of letters sent by Budé per mutual correspondent"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","[Desiderius ERASMUS] [COE] // Erasmus [CWE] // Erasmus [ALLEN]","23"
"4de6dad8-84ae-4acd-9b76-0e2064602f71","Germain de BRIE [COE] // Germain de Brie [CWE] // Brie, Germain de [ALLEN]","12"
"fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","Janus LASCARIS [COE] // Johannes Lascaris [CWE] // Lascaris, John (Janus) [ALLEN]","9"
"a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","Juan Luis VIVES [COE] // Juan Luis Vives [CWE] // Vives, John Louis [ALLEN]","6"
"763f4d64-dffb-40eb-bc45-2fde4992223e","Thomas MORE [COE] // Thomas More [CWE] // More, Sir Thomas [ALLEN]","5"
"47a073b9-cc8e-4ec4-9ab0-b9ba289db498","Jacques TOUSSAIN [COE] // Jacques Toussain [CWE] // Tusanus [ALLEN]","4"
"eeb88e60-ea26-4029-9e0c-77a8f3f58e5c","Richard PACE [COE] // Richard Pace [CWE] // Pace, Richard [ALLEN]","4"
"96a63010-6201-4f01-a82f-e6108cb30f08","Jacopo SADOLETO [COE] // Jacopo Sadoleto [CWE] // Sadoleto, Jacopo [ALLEN]","4"
"5375f20d-1943-4735-b423-abf59baadfaa","Nicolas BÉRAULT [COE] // Nicolas Bérault [CWE] // Beraldus, Nicolaus (Bérault) [ALLEN]","4"
"a5f0ec00-9ab8-4195-99fa-3bdeb77e082c","Louis RUZÉ [COE] // Louis Ruzé [CWE] // Ruzé, Louis [ALLEN]","3"
"10f58e5e-e43a-405e-901a-3633cbf82bc9","François DELOYNES [COE] // François Deloynes [CWE] // Deloynes, François [ALLEN]","3"
"ab74d6de-13e3-4b8b-909a-b9471a2d75f3","Christophe de LONGUEIL [COE] // Chistophe de Longueil [CWE] // Longolius, Christopher [ALLEN]","3"
"639f3ce8-be9f-4993-b200-3fcde3a3b4e9","Andrea ALCIATI [COE] // Andrea Alciati [CWE] // Alciati, Andrea [ALLEN]","3"
"702846d2-4b22-4fc3-90f2-ae30d88d23c5","FRANCIS I [COE] // Francis I [CWE] // Francis I, King of France [ALLEN]","3"
"323b3987-6b7c-4bbd-853b-abe1dd1f85dd","Thomas LINACRE [COE] // Thomas Linacre [CWE] // Linacre, Thomas [ALLEN]","2"
"3b4c81b2-e0d5-4b14-868d-dfc3b629558b","Pietro BEMBO [COE] // Pietro Bembo [CWE] // Bembo, Pietro [ALLEN]","2"
"968b6cc9-aee2-446a-a3e1-665fb91f4aab","Claudius CANTIUNCULA [COE] // Claudius Cantiuncula [CWE] // Cantiuncula, Claudius [ALLEN]","2"
"96b34928-b9ad-4622-a9e5-2bc06a5895ef","Guillaume COP [COE] // Guillaume Cop [CWE] // Cop, William [ALLEN]","2"
"f9e11bac-0cae-4e9e-acb8-6b67480b2ad6","Georges d'ARMAGNAC [COE] // Georges d'Armagnac [CWE] // Armagnac, Georges d' [ALLEN]","2"
"08bc2797-a901-4407-8c0d-e39b72becf3f","François RABELAIS [COE] // François Rabelais [CWE] // Rabelais, François [ALLEN]","2"
"fca3ef2d-681d-49ff-b700-1929e91f81a1","Thomas LUPSET [COE] // Thomas Lupset [CWE] // Lupset, Thomas [ALLEN]","2"
"0f7bc43b-c60d-4261-a19a-e1e559dc8873","Cuthbert TUNSTALL [COE] // Cuthbert Tunstall [CWE] // Tunstall, Cuthbert [ALLEN]","1"
"b38af319-02eb-4159-8579-4e864c755667","Guy MORILLON [COE] // Guy Morillon [CWE] // Morillon, Guy [ALLEN]","1"
"ce2e340e-9f50-4bd1-95e0-4ab14eaa0d09","Richard CROKE [COE] // Richard Croke [CWE] // Croke, Richard [ALLEN]","1"
"a20b6be9-28f9-46c7-b8cd-b6a0014d7d15","Giambattista EGNAZIO [COE] // Giambattista Egnazio [CWE] // Egnatius, Johannes Baptista [ALLEN]","1"
"a9779b0b-cb2b-4a48-84c4-940449ef5c3c","Udalricus ZASIUS [COE] // Udalricus Zasius [CWE] // Zasius, Ulrich [ALLEN]","1"
"8ad99d13-2ff3-4b64-b5aa-253a2613dc74","Johannes COCHLAEUS [COE] // Johannes Cochlaeus [CWE] // Cochlaeus, Joannes (Dobneck) [ALLEN]","1"
"95a7c0a6-f582-4b68-b2d5-6fe4f238fb08","Pope JULIUS II [COE] // Julius II [CWE] // Julius II, Pope [ALLEN]","1"
"abe3a7de-94f2-4ff0-9a0a-54cf05c651db","Adolf EICHHOLZ [COE] // Adolf Eichholz [CWE] // Eichholz, Adolphus (Roboreus Dryoxylus) [ALLEN]","1"
