"Location Name Modern","Latitude","Longitude","Number of letters sent from this location to Budé from mutual correspondents of his and Erasmus (incl. Erasmus)"
"Leuven","50.87959","4.70093","11"
"Antwerp","51.21989","4.40346","6"
"Basel","47.5584","7.57327","4"
"Paris","48.85341","2.3488","4"
"Bruges","51.20892","3.22424","2"
"Brussels","50.85045","4.34878","1"
"Mechelen","51.02574","4.47762","1"
"Avignon","43.94834","4.80892","1"
"Venice","45.43713","12.33265","1"
"Rome","41.89193","12.51133","1"
"Freiburg im Breisgau","47.9959","7.85222","1"
"Milan","45.46427","9.18951","1"
"Padua","45.40797","11.88586","1"
"Fontenay-le-Comte","46.46667","-0.81667","1"
